URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight,nexrad_sites,aws_files
T,CRJ9,LIT UUA /OV 5 NE LIT/TM 1212/FL040/TP CRJ9/TB EXTRM TB @ 040/RM DURC,EXTRM TB @ 040,,4000.0,34.786230338074425,-92.16402748688397,2021-03-25 12:12:00+00:00,7.0,1,U,"('KLZK', 'KSRX', 'KNQA', 'KSGF', 'KSHV')","['s3://unidata-nexrad-level2/2021/03/25/KLZK/KLZK20210325_121104_V06', 's3://unidata-nexrad-level2/2021/03/25/KSRX/KSRX20210325_120856_V06', 's3://unidata-nexrad-level2/2021/03/25/KNQA/KNQA20210325_121132_V06', 's3://unidata-nexrad-level2/2021/03/25/KSGF/KSGF20210325_120947_V06', 's3://unidata-nexrad-level2/2021/03/25/KSHV/KSHV20210325_120726_V06']"
T,B350,BTV UUA /OV BTV/TM 0005/FL035/TP B350/TB LGT-MOD/IC LGT RIME 035-UKN/RM +/- 10KTS ON FNL RWY 33,LGT-MOD,,3500.0,44.47,-73.15,2021-03-13 00:05:00+00:00,2.0,0,M,"('KCXX', 'KTYX', 'KENX', 'KGYX', 'KBOX')","['s3://unidata-nexrad-level2/2021/03/13/KCXX/KCXX20210313_000150_V06', 's3://unidata-nexrad-level2/2021/03/13/KTYX/KTYX20210313_000009_V06', 's3://unidata-nexrad-level2/2021/03/13/KENX/KENX20210313_000159_V06', 's3://unidata-nexrad-level2/2021/03/13/KGYX/KGYX20210313_000137_V06', 's3://unidata-nexrad-level2/2021/03/13/KBOX/KBOX20210313_000044_V06']"
T,P28A,CGZ UUA /OV TFD135016 /TM 2016 /FL065 /TP P28A /TB SEV,SEV,,6500.0,32.70142291816184,-111.68542718703776,2021-03-11 20:16:00+00:00,5.0,0,L,"('KIWA', 'KEMX', 'KFSX', 'KFSX', 'KYUX')","['s3://unidata-nexrad-level2/2021/03/11/KIWA/KIWA20210311_200916_V06', 's3://unidata-nexrad-level2/2021/03/11/KFSX/KFSX20210311_201448_V06', 's3://unidata-nexrad-level2/2021/03/11/KFSX/KFSX20210311_201448_V06', 's3://unidata-nexrad-level2/2021/03/11/KYUX/KYUX20210311_201100_V06']"
F,SR22,FMM UA /OV FMM186009 /TM 2148 /FL105 /TP SR22 /SK SCT120 /TA M04 /WV 17018KT /TB LGT-MOD,LGT-MOD,,10500.0,40.18480963224165,-103.82467045883276,2021-03-11 21:48:00+00:00,2.0,0,L,"('KFTG', 'KCYS', 'KPUX', 'KGLD', 'KLNX')","['s3://unidata-nexrad-level2/2021/03/11/KCYS/KCYS20210311_214357_V06', 's3://unidata-nexrad-level2/2021/03/11/KPUX/KPUX20210311_214436_V06', 's3://unidata-nexrad-level2/2021/03/11/KGLD/KGLD20210311_214616_V06', 's3://unidata-nexrad-level2/2021/03/11/KLNX/KLNX20210311_214542_V06']"
F,B763,UUA /OV 52N032W /TM 1949 /FL280 /TP B763 /TB MDT - SEV /RM CONT MDT - SEV TURB,MDT - SEV,,28000.0,52.0,-32.0,2021-03-20 19:49:00+00:00,5.0,0,H,"('LPLA', 'KCBW', 'KGYX', 'KBOX', 'KCXX')","['s3://unidata-nexrad-level2/2021/03/20/KCBW/KCBW20210320_194243_V06', 's3://unidata-nexrad-level2/2021/03/20/KGYX/KGYX20210320_194641_V06', 's3://unidata-nexrad-level2/2021/03/20/KBOX/KBOX20210320_194815_V06', 's3://unidata-nexrad-level2/2021/03/20/KCXX/KCXX20210320_194359_V06']"
F,E75S,CLT UA /OV CLT300010/TM 1535/FL280/TP E75S/TB MOD CONS CHOP/RM ZTLFD,MOD CONS CHOP,,28000.0,35.30589008334008,-81.13100982101093,2021-03-11 15:35:00+00:00,3.0,0,U,"('KCAE', 'KGSP', 'KFCX', 'KRAX', 'KLTX')","['s3://unidata-nexrad-level2/2021/03/11/KCAE/KCAE20210311_152812_V06', 's3://unidata-nexrad-level2/2021/03/11/KRAX/KRAX20210311_152656_V06', 's3://unidata-nexrad-level2/2021/03/11/KLTX/KLTX20210311_153402_V06']"
F,B737,VCV UA /OV PMD070040/TM 1452/FL295/TP B737/TB MOD 280-310/RM DURC. COR SA-ID AND TURB. ZLA CWSU,MOD 280-310,,29500.0,34.85742189798999,-117.32315204146408,2021-03-25 14:52:00+00:00,3.0,0,M,"('KEYX', 'KSOX', 'KVTX', 'KNKX', 'KESX')","['s3://unidata-nexrad-level2/2021/03/25/KEYX/KEYX20210325_145157_V06', 's3://unidata-nexrad-level2/2021/03/25/KSOX/KSOX20210325_145118_V06', 's3://unidata-nexrad-level2/2021/03/25/KVTX/KVTX20210325_144235_V06', 's3://unidata-nexrad-level2/2021/03/25/KNKX/KNKX20210325_144724_V06', 's3://unidata-nexrad-level2/2021/03/25/KESX/KESX20210325_145145_V06']"
T,E145,BWD UUA /OV KSEP270015 /TM 1141 /FL150 /TP E145 /TA M03 /TB SEV 150-140 /IC LGT RIME /RM ZFW AWC-WEB,SEV 150-140,,15000.0,32.21533,-98.47318454941068,2021-03-25 11:41:00+00:00,5.0,0,M,"('KDYX', 'KFWS', 'KGRK', 'KSJT', 'KFDR')","['s3://unidata-nexrad-level2/2021/03/25/KDYX/KDYX20210325_113729_V06', 's3://unidata-nexrad-level2/2021/03/25/KFWS/KFWS20210325_114040_V06', 's3://unidata-nexrad-level2/2021/03/25/KSJT/KSJT20210325_114021_V06', 's3://unidata-nexrad-level2/2021/03/25/KFDR/KFDR20210325_114059_V06']"
T,C560,BKE UUA /OV BKE/TM 1900/FL430/TP C560/TB SEV MTW +/-20/RM ZLC,SEV MTW +,,43000.0,44.83735,-117.80914,2021-03-18 19:00:00+00:00,5.0,0,M,"('KPDT', 'KCBX', 'KOTX', 'KMSX', 'KLRX')","['s3://unidata-nexrad-level2/2021/03/18/KPDT/KPDT20210318_185245_V06', 's3://unidata-nexrad-level2/2021/03/18/KCBX/KCBX20210318_185200_V06', 's3://unidata-nexrad-level2/2021/03/18/KOTX/KOTX20210318_185739_V06', 's3://unidata-nexrad-level2/2021/03/18/KMSX/KMSX20210318_185721_V06', 's3://unidata-nexrad-level2/2021/03/18/KLRX/KLRX20210318_185835_V06']"
F,RV6,CNO UA /OV CNO/TM 1617/FL020/TP RV6/TB NEG,NEG,,2000.0,33.97528,-117.63611,2021-03-06 16:17:00+00:00,0.0,0,L,"('KSOX', 'KEYX', 'KNKX', 'KVTX', 'KVBX')","['s3://unidata-nexrad-level2/2021/03/06/KSOX/KSOX20210306_161117_V06', 's3://unidata-nexrad-level2/2021/03/06/KNKX/KNKX20210306_161140_V06', 's3://unidata-nexrad-level2/2021/03/06/KVTX/KVTX20210306_161523_V06', 's3://unidata-nexrad-level2/2021/03/06/KVBX/KVBX20210306_161429_V06']"
