Site Name,Site Code,Latitude,Longitude,Elevation
NEW ORLEANS,KLIX,30.336667,-89.825417,179.0
OKLAHOMA CITY,KTLX,35.333361,-97.277761,1278.0
BETHEL FAA,PABC,60.791944,-161.876389,193.0
MIDDLETON IS,PAIH,59.460767,-146.303447,132.0
CINCINNATI,KILN,39.420483,-83.82145,1170.0
BEALE AFB,KBBX,39.495639,-121.631611,221.0
CHARLESTON,KCLX,32.655528,-81.042194,229.0
BURLINGTON,KCXX,44.511,-73.166431,431.0
DODGE CITY,KDDC,37.760833,-99.968889,2671.0
GLASGOW,KGGW,48.206361,-106.624694,2384.0
SAN DIEGO,KNKX,32.919017,-117.0418,1052.0
S SHORE,PHWA,19.095,-155.568889,1461.0
AMARILLO,KAMA,35.233333,-101.709278,3703.0
BOISE,KCBX,43.490217,-116.236033,3172.0
DES MOINES,KDMX,41.7312,-93.722869,1095.0
LAS VEGAS,KESX,35.70135,-114.89165,4948.0
HASTINGS,KUEX,40.320833,-98.441944,2057.0
KADENA,RODN,26.3078,127.903469,412.0
BISMARCK,KBIS,46.770833,-100.760556,1755.0
DAVENPORT,KDVN,41.611667,-90.580833,851.0
FT RUCKER,KEOX,31.460556,-85.459389,537.0
FT POLK,KPOE,31.155278,-92.976111,473.0
ANDERSEN AFB AGANA,PGUA,13.455833,144.811111,386.0
BOSTON,KBOX,41.955778,-71.136861,232.0
DYESS AFB,KDYX,32.5385,-99.254333,1582.0
GRAND JUNCTION,KGJX,39.062169,-108.213761,10101.0
MIDDLETON IS,PAIH,59.460767,-146.303447,132.0
MOLOKAI,PHMO,21.132778,-157.180278,1444.0
DULUTH,KDLH,46.836944,-92.209722,1542.0
N PLATTE,KLNX,41.957944,-100.576222,3113.0
WILMINGTON,KLTX,33.98915,-78.429108,145.0
MARQUETTE,KMQT,46.531111,-87.548333,1525.0
SPRINGFIELD,KSGF,37.235239,-93.400419,1375.0
PHILA,KDIX,39.947089,-74.410731,230.0
MISSOULA,KMSX,47.041,-113.986222,7978.0
PORTLAND,KRTX,45.715039,-122.965,1728.0
NORFOLK RICH,KAKQ,36.98405,-77.007361,255.0
TOPEKA,KTWX,38.99695,-96.23255,1415.0
CHICAGO,KLOT,41.604444,-88.084444,760.0
HOLLOMAN AFB,KHDX,33.077,-106.120033,4270.0
ELKO,KLRX,40.73955,-116.8027,6895.0
VANDENBERG AFB,KVBX,34.83855,-120.397917,1354.0
NYC,KOKX,40.865528,-72.863917,199.0
HOUSTON,KHGX,29.4719,-95.078733,115.0
WICHITA,KICT,37.654444,-97.443056,1400.0
CHEYENNE,KCYS,41.151919,-104.806031,6193.0
ALTUS AFB,KFDR,34.362194,-98.976667,1315.0
ABERDEEN,KABR,45.455833,-98.413333,1383.0
MIAMI,KAMX,25.611083,-80.412667,111.0
MINNEAPOLIS,KMPX,44.848889,-93.565528,1101.0
LITTLE ROCK,KLZK,34.8365,-92.262194,649.0
SAN FRANCISCO,KMUX,37.155222,-121.898444,3550.0
DENVER FRONT RANGE AP,KFTG,39.786639,-104.545806,5611.0
AUSTIN SAN ANTONIO,KEWX,29.704056,-98.028611,767.0
