URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
T,E145,SDF UUA /OV ABB248040/TM 0127/FL210/TP E145/TB SEV/RM WAVW ACTION +OR - 500FT,SEV,,21000.0,38.34024204227979,-86.43087695367986,2012-01-28 01:27:00,5.0,M,"('KLVX', 'KVWX', 'KIND', 'KHPX', 'KOHX')","['s3://unidata-nexrad-level2/2012/01/28/KLVX/KLVX20120128_011924_V03.gz', 's3://unidata-nexrad-level2/2012/01/28/KVWX/KVWX20120128_012623_V03.gz', 's3://unidata-nexrad-level2/2012/01/28/KIND/KIND20120128_011740_V03.gz', 's3://unidata-nexrad-level2/2012/01/28/KOHX/KOHX20120128_012347_V06.gz']"
F,B737,BLM UA /OV JFK180040 /TM 2301 /FL360 /TP B737 /SK SKC /TA M57 /WV 30082KT /TB NEG,NEG,,36000.0,39.971889333279336,-73.76222,2012-01-06 23:01:00,0.0,M,"('KDIX', 'KOKX', 'KDOX', 'KENX', 'KLWX')","['s3://unidata-nexrad-level2/2012/01/06/KDIX/KDIX20120106_225929_V03.gz', 's3://unidata-nexrad-level2/2012/01/06/KOKX/KOKX20120106_225759_V03.gz', 's3://unidata-nexrad-level2/2012/01/06/KDOX/KDOX20120106_225750_V04.gz', 's3://unidata-nexrad-level2/2012/01/06/KENX/KENX20120106_230035_V03.gz', 's3://unidata-nexrad-level2/2012/01/06/KLWX/KLWX20120106_225414_V03.gz']"
T,B772,BOS UUA /OV 4143N 06230W/TM 2225/FL370/TP B772/TB SEV/RM IMPROVED ASAIRCRAFT DESCENDED THRU FL330 SMOOTH AT FL300,SEV,,37000.0,41.7166,-62.5,2012-01-21 22:25:00,5.0,H,"('KCBW', 'KGYX', 'KBOX', 'KOKX', 'KCXX')","['s3://unidata-nexrad-level2/2012/01/21/KCBW/KCBW20120121_222349_V03.gz', 's3://unidata-nexrad-level2/2012/01/21/KGYX/KGYX20120121_221833_V03.gz', 's3://unidata-nexrad-level2/2012/01/21/KBOX/KBOX20120121_221605_V06.gz', 's3://unidata-nexrad-level2/2012/01/21/KOKX/KOKX20120121_222318_V06.gz', 's3://unidata-nexrad-level2/2012/01/21/KCXX/KCXX20120121_222039_V03.gz']"
F,B752,EEO UA /OV EKR 250060/TM 1459/FL290/TP B752/TB MOD CHOP/RM ZDV; LGT MTN WAVE,MOD CHOP,,29000.0,39.72795215301502,-109.14804080484588,2012-01-22 14:59:00,3.0,M,"('KGJX', 'KMTX', 'KRIW', 'KFTG', 'KICX')","['s3://unidata-nexrad-level2/2012/01/22/KGJX/KGJX20120122_145757_V03.gz', 's3://unidata-nexrad-level2/2012/01/22/KMTX/KMTX20120122_145616_V03.gz', 's3://unidata-nexrad-level2/2012/01/22/KRIW/KRIW20120122_145025_V06.gz', 's3://unidata-nexrad-level2/2012/01/22/KFTG/KFTG20120122_145705_V03.gz', 's3://unidata-nexrad-level2/2012/01/22/KICX/KICX20120122_145754_V03.gz']"
T,B737,RNO UUA /OV RNO /TM 1948 /FL080 /TP B737 /TB SEV 080-120,SEV 080-120,201201191955-KWBC-UBNV91-PIREP,8000.0,39.5,-119.77,2012-01-19 19:48:00,5.0,M,"('KRGX', 'KBBX', 'KDAX', 'KMUX', 'KHNX')","['s3://unidata-nexrad-level2/2012/01/19/KRGX/KRGX20120119_194513_V03.gz', 's3://unidata-nexrad-level2/2012/01/19/KBBX/KBBX20120119_194614_V04.gz', 's3://unidata-nexrad-level2/2012/01/19/KDAX/KDAX20120119_194704_V03.gz', 's3://unidata-nexrad-level2/2012/01/19/KMUX/KMUX20120119_194627_V03.gz', 's3://unidata-nexrad-level2/2012/01/19/KHNX/KHNX20120119_194446_V03.gz']"
T,MD82,PKB UUA /OV JPU/TM 0111/FL250/TP MD82/TB SEV/RM 250-195,SEV,,25000.0,39.44,-81.37,2012-01-13 01:11:00,5.0,M,"('KRLX', 'KPBZ', 'KILN', 'KCLE', 'KJKL')","['s3://unidata-nexrad-level2/2012/01/13/KRLX/KRLX20120113_010924_V03.gz', 's3://unidata-nexrad-level2/2012/01/13/KPBZ/KPBZ20120113_010952_V06.gz', 's3://unidata-nexrad-level2/2012/01/13/KILN/KILN20120113_011000_V03.gz', 's3://unidata-nexrad-level2/2012/01/13/KCLE/KCLE20120113_010840_V06.gz', 's3://unidata-nexrad-level2/2012/01/13/KJKL/KJKL20120113_010857_V03.gz']"
T,B744,ORF UUA /OV 31N 046W/TM 1623/FL360/TP B744/TB SEV,SEV,,36000.0,36.90333,-76.19222,2012-01-20 16:23:00,5.0,H,"('KAKQ', 'KDOX', 'KLWX', 'KMHX', 'KRAX')","['s3://unidata-nexrad-level2/2012/01/20/KDOX/KDOX20120120_161832_V04.gz', 's3://unidata-nexrad-level2/2012/01/20/KLWX/KLWX20120120_161945_V03.gz', 's3://unidata-nexrad-level2/2012/01/20/KMHX/KMHX20120120_161650_V06.gz', 's3://unidata-nexrad-level2/2012/01/20/KRAX/KRAX20120120_161815_V03.gz']"
F,LEG2,F05 UA /OV 60F270010 /TM 1631 /FL065 /TP LEG2 /WX FV99SM /TA 12 /WV 22536KT /TB NEG /RM CLOUD LYR ABV,NEG,,6500.0,33.64,-99.46020807200546,2012-01-15 16:31:00,0.0,U,"('KFDR', 'KDYX', 'KLBB', 'KFWS', 'KSJT')","['s3://unidata-nexrad-level2/2012/01/15/KFDR/KFDR20120115_162536_V03.gz', 's3://unidata-nexrad-level2/2012/01/15/KDYX/KDYX20120115_162611_V03.gz', 's3://unidata-nexrad-level2/2012/01/15/KLBB/KLBB20120115_162616_V03.gz', 's3://unidata-nexrad-level2/2012/01/15/KFWS/KFWS20120115_162955_V03.gz', 's3://unidata-nexrad-level2/2012/01/15/KSJT/KSJT20120115_162536_V03.gz']"
F,B733,RNO UA /OV KRNO/TM 1950/FL080/TP B733/TB SEV TURB BTWN 080 - 115/RM DURING CLIMB OUT AWC-WEB:SWA,SEV TURB BTWN 080 - 115,201201191953-KKCI-UBUS31-PIREP,8000.0,39.5,-119.77,2012-01-19 19:50:00,5.0,M,"('KRGX', 'KBBX', 'KDAX', 'KMUX', 'KHNX')","['s3://unidata-nexrad-level2/2012/01/19/KRGX/KRGX20120119_194932_V03.gz', 's3://unidata-nexrad-level2/2012/01/19/KBBX/KBBX20120119_194614_V04.gz', 's3://unidata-nexrad-level2/2012/01/19/KDAX/KDAX20120119_194704_V03.gz', 's3://unidata-nexrad-level2/2012/01/19/KMUX/KMUX20120119_194627_V03.gz', 's3://unidata-nexrad-level2/2012/01/19/KHNX/KHNX20120119_194446_V03.gz']"
F,B733,BIH UA /OV KBIH024041/TM 1759/FL330/TP B733/TA M44/WV 271062KT/TB LGT CHOP/RM LGT MTN WAVE AWC-WEB:SWA,LGT CHOP,201201211801-KKCI-UBUS31-PIREP,33000.0,38.00430662751409,-118.020201460924,2012-01-21 17:59:00,1.0,M,"('KRGX', 'KHNX', 'KDAX', 'KLRX', 'KEYX')","['s3://unidata-nexrad-level2/2012/01/21/KRGX/KRGX20120121_175716_V03.gz', 's3://unidata-nexrad-level2/2012/01/21/KHNX/KHNX20120121_175852_V03.gz', 's3://unidata-nexrad-level2/2012/01/21/KDAX/KDAX20120121_175723_V03.gz', 's3://unidata-nexrad-level2/2012/01/21/KLRX/KLRX20120121_175716_V03.gz']"
