URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
F,GLF4,SSC UA /OV CHS350040/TM 0020/FL258/TP GLF4/TB SEV 258/RM AWC-WEB:ZJX,SEV 258,,25800.0,33.555191681679986,-80.17838739837747,2016-01-01 00:20:00,5.0,M,"('KCAE', 'KCLX', 'KLTX', 'KGSP', 'KRAX')","['s3://unidata-nexrad-level2/2016/01/01/KCAE/KCAE20160101_001950_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/KCLX/KCLX20160101_001553_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/KLTX/KLTX20160101_001817_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/KGSP/KGSP20160101_001921_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/KRAX/KRAX20160101_001959_V06.gz']"
T,B06,HOM UUA /OV PGM /TM 1943 /FL004 /TP B06 /TB EXTRM /RM 50KT GUSTS EXTREMELY TURBULENT,EXTRM,,400.0,59.34,-151.83,2016-01-01 19:43:00,7.0,L,"('PAHG', 'PAKC', 'PAIH', 'PAIH', 'PAPD')","['s3://unidata-nexrad-level2/2016/01/01/PAHG/PAHG20160101_193723_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/PAKC/PAKC20160101_193828_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/PAIH/PAIH20160101_193828_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/PAIH/PAIH20160101_193828_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/PAPD/PAPD20160101_193411_V06.gz']"
T,B06,HOM UUA /OV PGM /TM 1943 /FL004 /TP B06 /TB EXTRM /RM 50KT GUSTSEXTREMELY TURBULENT,EXTRM,,400.0,59.34,-151.83,2016-01-01 19:43:00,7.0,L,"('PAHG', 'PAKC', 'PAIH', 'PAIH', 'PAPD')","['s3://unidata-nexrad-level2/2016/01/01/PAHG/PAHG20160101_193723_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/PAKC/PAKC20160101_193828_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/PAIH/PAIH20160101_193828_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/PAIH/PAIH20160101_193828_V06.gz', 's3://unidata-nexrad-level2/2016/01/01/PAPD/PAPD20160101_193411_V06.gz']"
T,B737,ANC UUA /OV TED 180005/TM 0459/FL030/TP B737/TB SEV/RM DURGD 080-030,SEV,,3000.0,61.08665991665992,-149.99,2016-01-02 04:59:00,5.0,M,"('PAHG', 'PAIH', 'PAIH', 'PAPD', 'PAKC')","['s3://unidata-nexrad-level2/2016/01/02/PAHG/PAHG20160102_045359_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/PAIH/PAIH20160102_045559_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/PAIH/PAIH20160102_045559_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/PAPD/PAPD20160102_045149_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/PAKC/PAKC20160102_045640_V06.gz']"
T,B737,ANC UUA /OV TED180005/TM 0459/FL030/TP B737/TB SEV/RM DURGD 080 - 030,SEV,,3000.0,61.08665991665992,-149.99,2016-01-02 04:59:00,5.0,M,"('PAHG', 'PAIH', 'PAIH', 'PAPD', 'PAKC')","['s3://unidata-nexrad-level2/2016/01/02/PAHG/PAHG20160102_045359_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/PAIH/PAIH20160102_045559_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/PAIH/PAIH20160102_045559_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/PAPD/PAPD20160102_045149_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/PAKC/PAKC20160102_045640_V06.gz']"
T,C56X,MYNN UUA /OV ZQA112135/TM 1425/FL320/TP C56X/TB SEV/RM LOST 1000 FT...CWSU ZMA,SEV,,32000.0,24.157066892694274,-75.14798661995015,2016-01-02 14:25:00,5.0,M,"('KAMX', 'KAMX', 'KBYX', 'KMLB', 'KTBW')","['s3://unidata-nexrad-level2/2016/01/02/KAMX/KAMX20160102_142349_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KAMX/KAMX20160102_142349_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KBYX/KBYX20160102_142423_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KMLB/KMLB20160102_142007_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KTBW/KTBW20160102_142018_V06.gz']"
T,E145,HOT UUA /OV TXK014048/TM 1501/FL240/TP E145/TB SEV/RM AWC-WEB:KZFW,SEV,,24000.0,34.23001945624673,-93.75904400518108,2016-01-02 15:01:00,5.0,M,"('KSRX', 'KLZK', 'KSHV', 'KINX', 'KSGF')","['s3://unidata-nexrad-level2/2016/01/02/KSRX/KSRX20160102_145414_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KLZK/KLZK20160102_145806_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KSHV/KSHV20160102_150034_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KINX/KINX20160102_145422_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KSGF/KSGF20160102_145147_V06.gz']"
T,C182,TVL UUA /OV TVL /TM 2155 /FL095 /TP C182 /TB SEV BLO 095 /RM SW BOUND,SEV BLO 095,,9500.0,38.89388,-119.99534,2016-01-02 21:55:00,5.0,L,"('KDAX', 'KBBX', 'KRGX', 'KMUX', 'KHNX')","['s3://unidata-nexrad-level2/2016/01/02/KDAX/KDAX20160102_215315_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KBBX/KBBX20160102_214602_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KRGX/KRGX20160102_215416_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KMUX/KMUX20160102_215241_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KHNX/KHNX20160102_214801_V06.gz']"
T,GLEX,ITO UUA /OV 2900N 14200W/TM 2302/FL450/TP GLEX/TB SEV 450/RM ZOA CWSU AWC-WEB:KZOA,SEV 450,,45000.0,29.0,-142.0,2016-01-02 23:02:00,5.0,M,"('PHKM', 'PHWA', 'PHMO', 'PHKI', 'KBHX')","['s3://unidata-nexrad-level2/2016/01/02/PHKM/PHKM20160102_230046_V07.gz', 's3://unidata-nexrad-level2/2016/01/02/PHWA/PHWA20160102_225929_V07.gz', 's3://unidata-nexrad-level2/2016/01/02/PHMO/PHMO20160102_230136_V07.gz', 's3://unidata-nexrad-level2/2016/01/02/PHKI/PHKI20160102_230023_V07.gz', 's3://unidata-nexrad-level2/2016/01/02/KBHX/KBHX20160102_225919_V06.gz']"
T,GLF4,HNL UUA /OV 3200N 12800W/TM 2333/FL420/TP GLF4/TB SEV 420-430/RM ZOA CWSU AWC-WEB:KZOA,SEV 420-430,,42000.0,32.0,-128.0,2016-01-02 23:33:00,5.0,M,"('KMUX', 'KVBX', 'KDAX', 'KVTX', 'KBHX')","['s3://unidata-nexrad-level2/2016/01/02/KMUX/KMUX20160102_233018_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KVBX/KVBX20160102_232850_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KDAX/KDAX20160102_233026_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KVTX/KVTX20160102_232415_V06.gz', 's3://unidata-nexrad-level2/2016/01/02/KBHX/KBHX20160102_232830_V06.gz']"
F,B737,"UUA /OV VLR 270025 /TM 1440 /FL380 /TP B737 /TB MDT-SEV /RM ""FM F380 DOWN TO F360"" -VIA CZWG-",MDT-SEV,,38000.0,50.33,-99.37276213357572,2016-01-03 14:40:00,5.0,M,"('KMBX', 'KMVX', 'KBIS', 'KABR', 'KUDX')","['s3://unidata-nexrad-level2/2016/01/03/KMBX/KMBX20160103_143214_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KMVX/KMVX20160103_143953_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KBIS/KBIS20160103_143649_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KABR/KABR20160103_143731_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KUDX/KUDX20160103_143805_V06.gz']"
T,C550,6A1 UUA /OV MCN270040 /TM 1450 /FL270 /TP C550 /TB SEV /RM COR TO TIME MOMENTARY SEV PRIOR HAD CONS MOD CHOP,SEV,,27000.0,32.69285,-84.44143664349751,2016-01-03 14:50:00,5.0,L,"('KFFC', 'KJGX', 'KEOX', 'KMXX', 'KVAX')","['s3://unidata-nexrad-level2/2016/01/03/KFFC/KFFC20160103_144930_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KJGX/KJGX20160103_144157_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KEOX/KEOX20160103_144951_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KMXX/KMXX20160103_144623_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KVAX/KVAX20160103_144703_V06.gz']"
T,C550,CSG UUA /OV CSG090020/TM 1453/FL260/TP C550/TB SEV 280-260/RM NO DAMAGE OR INJURIES. CWSU ZTL,SEV 280-260,,26000.0,32.51611,-84.5468874736625,2016-01-03 14:53:00,5.0,L,"('KFFC', 'KJGX', 'KMXX', 'KEOX', 'KBMX')","['s3://unidata-nexrad-level2/2016/01/03/KFFC/KFFC20160103_144930_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KJGX/KJGX20160103_145140_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KMXX/KMXX20160103_144623_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KEOX/KEOX20160103_144951_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KBMX/KBMX20160103_144938_V06.gz']"
T,C550,6A1 UUA /OV MCN270040 /TM 1502 /FL270 /TP C550 /TB SEV /RM MOMENTARY SEV PRIOR HAD CONS MOD CHOP,SEV,,27000.0,32.69285,-84.44143664349751,2016-01-03 15:02:00,5.0,L,"('KFFC', 'KJGX', 'KEOX', 'KMXX', 'KVAX')","['s3://unidata-nexrad-level2/2016/01/03/KFFC/KFFC20160103_145909_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KJGX/KJGX20160103_150123_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KEOX/KEOX20160103_145938_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KMXX/KMXX20160103_145605_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KVAX/KVAX20160103_145734_V06.gz']"
T,BE20,BKL UUA /OV BKL045005 /TM 1550 /FL024 /TP BE20 /TB SEV /RM DURD FA RWY 24R LOSS OF 20KTS,SEV,,2400.0,41.57643033807442,-81.60459538785595,2016-01-03 15:50:00,5.0,M,"('KCLE', 'KPBZ', 'KDTX', 'KBUF', 'KILN')","['s3://unidata-nexrad-level2/2016/01/03/KCLE/KCLE20160103_154050_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KPBZ/KPBZ20160103_154940_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KDTX/KDTX20160103_154830_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KBUF/KBUF20160103_154902_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KILN/KILN20160103_154434_V06.gz']"
T,C177,BFL UUA /OV BFL215025 /TM 1950 /FL080 /TP C177 /TB SEV 080-065 /RM WV WIND SE 50-70KT/BFTT,SEV 080-065,,8000.0,35.09305900180377,-119.34754247693554,2016-01-03 19:50:00,5.0,L,"('KVTX', 'KVBX', 'KHNX', 'KEYX', 'KSOX')","['s3://unidata-nexrad-level2/2016/01/03/KVTX/KVTX20160103_194236_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KVBX/KVBX20160103_194210_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KHNX/KHNX20160103_194819_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KEYX/KEYX20160103_194547_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/KSOX/KSOX20160103_194432_V06.gz']"
T,P28A,ANC UUA /OV TED068005/TM 2115/FL020/TP P28A/TB SEV /RM DURGC 010-020,SEV,,2000.0,61.20121974471503,-149.8297561466327,2016-01-03 21:15:00,5.0,L,"('PAHG', 'PAIH', 'PAIH', 'PAPD', 'PAKC')","['s3://unidata-nexrad-level2/2016/01/03/PAHG/PAHG20160103_211134_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/PAIH/PAIH20160103_211334_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/PAIH/PAIH20160103_211334_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/PAPD/PAPD20160103_211326_V06.gz', 's3://unidata-nexrad-level2/2016/01/03/PAKC/PAKC20160103_211331_V06.gz']"
T,B757,KDBN UUA /OV DBN315015/TM 0043/FL270/TP B757/TB SEV CAT/RM ZTL FD,SEV CAT,,27000.0,32.74120771422328,-83.19504734872669,2016-01-04 00:43:00,5.0,M,"('KJGX', 'KFFC', 'KCLX', 'KVAX', 'KCAE')","['s3://unidata-nexrad-level2/2016/01/04/KJGX/KJGX20160104_003647_V06.gz', 's3://unidata-nexrad-level2/2016/01/04/KFFC/KFFC20160104_004003_V06.gz', 's3://unidata-nexrad-level2/2016/01/04/KCLX/KCLX20160104_004203_V06.gz', 's3://unidata-nexrad-level2/2016/01/04/KVAX/KVAX20160104_004032_V06.gz', 's3://unidata-nexrad-level2/2016/01/04/KCAE/KCAE20160104_003837_V06.gz']"
