URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
F,C560,UUA /OV CYYC 360020 /TM 0050 /FL080 /TP C560 /TB SEV,SEV,,8000.0,51.44725033336033,-114.02028,2014-08-01 00:50:00,5.0,M,"('KMSX', 'KTFX', 'KOTX', 'KPDT', 'KBLX')","['s3://unidata-nexrad-level2/2014/08/01/KMSX/KMSX20140801_004559_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KTFX/KTFX20140801_004844_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KOTX/KOTX20140801_004834_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KPDT/KPDT20140801_004510_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KBLX/KBLX20140801_004905_V06.gz']"
F,AS50,UUA /OV YYC 262023 /TM 0055 /FL045 /TP AS50 /TB SEV /RM SEV TURB OVR COCHRANE,SEV,,4500.0,51.06053598996953,-114.62500922132836,2014-08-01 00:55:00,5.0,L,"('KMSX', 'KOTX', 'KTFX', 'KPDT', 'KCBX')","['s3://unidata-nexrad-level2/2014/08/01/KMSX/KMSX20140801_005032_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KOTX/KOTX20140801_005327_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KTFX/KTFX20140801_005302_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KPDT/KPDT20140801_005034_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KCBX/KCBX20140801_004952_V06.gz']"
T,LJ60,DVT UUA /OV DVT315007 /TM 0140 /FL040 /TP LJ60 /TB SEV 040-050,SEV 040-050,,4000.0,33.7708124733042,-112.18171360499784,2014-08-01 01:40:00,5.0,M,"('KIWA', 'KFSX', 'KFSX', 'KEMX', 'KYUX')","['s3://unidata-nexrad-level2/2014/08/01/KIWA/KIWA20140801_013840_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KFSX/KFSX20140801_013618_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KFSX/KFSX20140801_013618_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KEMX/KEMX20140801_013631_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KYUX/KYUX20140801_013724_V06.gz']"
T,LJ60,DVT UUA /OV DVT315007 /TM 0141 /FL045 /TP LJ60 /TB EXTRM,EXTRM,,4500.0,33.7708124733042,-112.18171360499784,2014-08-01 01:41:00,7.0,M,"('KIWA', 'KFSX', 'KFSX', 'KEMX', 'KYUX')","['s3://unidata-nexrad-level2/2014/08/01/KIWA/KIWA20140801_013840_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KFSX/KFSX20140801_014059_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KFSX/KFSX20140801_014059_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KEMX/KEMX20140801_013631_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KYUX/KYUX20140801_013724_V06.gz']"
F,SR22,UUA /OV CEF4 315003 /TM 0149 /FL065 /TP SR22 /TB SEV,SEV,,6500.0,51.29535820284465,-113.9865019459194,2014-08-01 01:49:00,5.0,L,"('KMSX', 'KTFX', 'KOTX', 'KPDT', 'KBLX')","['s3://unidata-nexrad-level2/2014/08/01/KMSX/KMSX20140801_014820_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KTFX/KTFX20140801_014600_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KOTX/KOTX20140801_014222_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KPDT/KPDT20140801_014439_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KBLX/KBLX20140801_014715_V06.gz']"
F,UNKN,UUA /OV CYYC /TM 0220 /FL100 /TP UNKN /TB SEV /RM MODERATE TO SEVERE TURBULENCE FROM GROUND TO 100 REPORTED BY ALL TYPES,SEV,,10000.0,51.11389,-114.02028,2014-08-01 02:20:00,5.0,U,"('KMSX', 'KTFX', 'KOTX', 'KPDT', 'KBLX')","['s3://unidata-nexrad-level2/2014/08/01/KMSX/KMSX20140801_021838_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KTFX/KTFX20140801_021833_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KOTX/KOTX20140801_021852_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KPDT/KPDT20140801_021903_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KBLX/KBLX20140801_021600_V06.gz']"
T,C680,MDW UUA /OV MDW /TM 1700 /FL030 /TP C680 /TB SEV,SEV,201408011710-KWBC-UBIL90-PIREP,3000.0,41.78,-87.75,2014-08-01 17:00:00,5.0,U,"('KLOT', 'KMKX', 'KIWX', 'KGRR', 'KILX')","['s3://unidata-nexrad-level2/2014/08/01/KLOT/KLOT20140801_165643_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KMKX/KMKX20140801_165906_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KIWX/KIWX20140801_165825_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KGRR/KGRR20140801_165806_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KILX/KILX20140801_165956_V06.gz']"
T,BE35,STE UUA /OV STE135010/TM 2144/FL030/TP BE35/TB SEV,SEV,,3000.0,44.42727932385115,-89.36490746850606,2014-08-01 21:44:00,5.0,L,"('KGRB', 'KARX', 'KMKX', 'KMQT', 'KDVN')","['s3://unidata-nexrad-level2/2014/08/01/KGRB/KGRB20140801_214146_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KARX/KARX20140801_214019_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KMKX/KMKX20140801_214330_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KMQT/KMQT20140801_213600_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KDVN/KDVN20140801_214214_V06.gz']"
F,P28B,PRB UA /OV PRB130020/TM 2254/FL110/TP P28B/TB INTMT SEV 110/RM TB,INTMT SEV 110,,11000.0,35.45513247815501,-120.31478846370668,2014-08-01 22:54:00,5.0,L,"('KVBX', 'KHNX', 'KVTX', 'KMUX', 'KEYX')","['s3://unidata-nexrad-level2/2014/08/01/KVBX/KVBX20140801_224920_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KHNX/KHNX20140801_224622_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KVTX/KVTX20140801_224556_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KMUX/KMUX20140801_225034_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KEYX/KEYX20140801_225249_V06.gz']"
F,P28B,PRB UA /OV PRB130020/TM 2254/FL110/TP P28B/TB INTMT SEV 110/RM TB MOD-SEV @ 110. ZLAWC AWC-WEB:FAAZLA,INTMT SEV 110,,11000.0,35.45513247815501,-120.31478846370668,2014-08-01 22:54:00,5.0,L,"('KVBX', 'KHNX', 'KVTX', 'KMUX', 'KEYX')","['s3://unidata-nexrad-level2/2014/08/01/KVBX/KVBX20140801_224920_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KHNX/KHNX20140801_224622_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KVTX/KVTX20140801_224556_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KMUX/KMUX20140801_225034_V06.gz', 's3://unidata-nexrad-level2/2014/08/01/KEYX/KEYX20140801_225249_V06.gz']"
