URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight,nexrad_sites,aws_files
F,A319,VRB UA /OV VRB042159/TM 2130/FL380/TP A319/TB CONS LGT CHOP,CONS LGT CHOP,,38000.0,29.6250533037114,-78.41587178275141,2023-06-15 21:30:00+00:00,1.0,1,M,"('KMLB', 'KJAX', 'KCLX', 'KLTX', 'KTBW')","['s3://unidata-nexrad-level2/2023/06/15/KMLB/KMLB20230615_212952_V06', 's3://unidata-nexrad-level2/2023/06/15/KJAX/KJAX20230615_212744_V06', 's3://unidata-nexrad-level2/2023/06/15/KCLX/KCLX20230615_212839_V06', 's3://unidata-nexrad-level2/2023/06/15/KLTX/KLTX20230615_212901_V06', 's3://unidata-nexrad-level2/2023/06/15/KTBW/KTBW20230615_212646_V06']"
F,HDJT,SDF UA /OV MYS/TM 1802/FL270/TP HDJT/TB OCNL LGT CHOP,OCNL LGT CHOP,,27000.0,37.89,-86.24,2023-06-28 18:02:00+00:00,1.0,0,U,"('KLVX', 'KVWX', 'KIND', 'KHPX', 'KPAH')","['s3://unidata-nexrad-level2/2023/06/28/KLVX/KLVX20230628_175848_V06', 's3://unidata-nexrad-level2/2023/06/28/KVWX/KVWX20230628_175836_V06', 's3://unidata-nexrad-level2/2023/06/28/KIND/KIND20230628_180112_V06', 's3://unidata-nexrad-level2/2023/06/28/KHPX/KHPX20230628_175911_V06', 's3://unidata-nexrad-level2/2023/06/28/KPAH/KPAH20230628_180032_V06']"
T,PA46,HBR UUA /OV HBR020050 /TM 1620 /FL160 /TP PA46 /TA M07 /TB SEV /IC MOD-SEV /RM ZFW AWC-WEB,SEV,,16000.0,35.774450613303586,-98.70345751326133,2023-06-02 16:20:00+00:00,5.0,0,L,"('KVNX', 'KTLX', 'KOUN', 'KFDR', 'KICT')","['s3://unidata-nexrad-level2/2023/06/02/KVNX/KVNX20230602_161924_V06', 's3://unidata-nexrad-level2/2023/06/02/KTLX/KTLX20230602_161933_V06', 's3://unidata-nexrad-level2/2023/06/02/KFDR/KFDR20230602_161845_V06', 's3://unidata-nexrad-level2/2023/06/02/KICT/KICT20230602_161933_V06']"
T,CRJ9,SYR UUA /OV SYR270040/TM 2040/FL350/TP CRJ9/TB SEV CAT/RM +300-400 FT,SEV CAT,,35000.0,43.11119,-77.0195899288614,2023-06-24 20:40:00+00:00,5.0,1,U,"('KTYX', 'KBGM', 'KBUF', 'KENX', 'KCCX')","['s3://unidata-nexrad-level2/2023/06/24/KTYX/KTYX20230624_203445_V06', 's3://unidata-nexrad-level2/2023/06/24/KBGM/KBGM20230624_203848_V06', 's3://unidata-nexrad-level2/2023/06/24/KBUF/KBUF20230624_203703_V06', 's3://unidata-nexrad-level2/2023/06/24/KENX/KENX20230624_203930_V06', 's3://unidata-nexrad-level2/2023/06/24/KCCX/KCCX20230624_203903_V06']"
T,BE36,TYS UUA /OV 35 SE VXV/TM 1638/FL090/TP BE36/TB SEV TURB @ 090,SEV TURB @ 090,,9000.0,35.48748763347903,-83.38075165284842,2023-06-14 16:38:00+00:00,5.0,0,L,"('KMRX', 'KGSP', 'KJKL', 'KFFC', 'KCAE')","['s3://unidata-nexrad-level2/2023/06/14/KMRX/KMRX20230614_163639_V06', 's3://unidata-nexrad-level2/2023/06/14/KGSP/KGSP20230614_163545_V06', 's3://unidata-nexrad-level2/2023/06/14/KJKL/KJKL20230614_163323_V06', 's3://unidata-nexrad-level2/2023/06/14/KFFC/KFFC20230614_163651_V06', 's3://unidata-nexrad-level2/2023/06/14/KCAE/KCAE20230614_163711_V06']"
F,C130,ANC UA /OV TED2700445/TM 2019/FL114/TP C130/SK BKN032 TOP092/TB NEG/IC NEG/RM DURC,NEG,,11400.0,61.17,-149.99,2023-06-20 20:19:00+00:00,0.0,0,M,"('PAHG', 'PAIH', 'PAIH', 'PAPD', 'PAKC')","['s3://unidata-nexrad-level2/2023/06/20/PAHG/PAHG20230620_201716_V06', 's3://unidata-nexrad-level2/2023/06/20/PAPD/PAPD20230620_201549_V06', 's3://unidata-nexrad-level2/2023/06/20/PAKC/PAKC20230620_201614_V06']"
F,B738,BOS UA /OV BOS220010/TM 2034/FL030/TP B738/TB NEG/IC NEG/RM BASES 025-030  DURD,NEG,,3000.0,42.23288558453652,-71.15472548064527,2023-06-23 20:34:00+00:00,0.0,0,M,"('KBOX', 'KGYX', 'KOKX', 'KENX', 'KCXX')","['s3://unidata-nexrad-level2/2023/06/23/KBOX/KBOX20230623_203308_V06', 's3://unidata-nexrad-level2/2023/06/23/KGYX/KGYX20230623_203207_V06', 's3://unidata-nexrad-level2/2023/06/23/KOKX/KOKX20230623_203138_V06', 's3://unidata-nexrad-level2/2023/06/23/KENX/KENX20230623_203207_V06', 's3://unidata-nexrad-level2/2023/06/23/KCXX/KCXX20230623_202937_V06']"
F,A320,DAG UA /OV DAG245010 /TM 1548 /FL210 /TP A320 /TB LGT/RM AWC-WEB,LGT,,21000.0,34.78316791769098,-116.96991579015688,2023-06-11 15:48:00+00:00,1.0,0,M,"('KEYX', 'KSOX', 'KVTX', 'KNKX', 'KESX')","['s3://unidata-nexrad-level2/2023/06/11/KEYX/KEYX20230611_154706_V06', 's3://unidata-nexrad-level2/2023/06/11/KSOX/KSOX20230611_154505_V06', 's3://unidata-nexrad-level2/2023/06/11/KVTX/KVTX20230611_154529_V06', 's3://unidata-nexrad-level2/2023/06/11/KNKX/KNKX20230611_154534_V06', 's3://unidata-nexrad-level2/2023/06/11/KESX/KESX20230611_154359_V06']"
F,AT75,1F0 UA /OV KGLE180006 /TM 0625 /FL110 /TP AT75 /TB SEV /RM ZFW AWC-WEB:,SEV,,11000.0,33.5513818999919,-97.19694,2023-06-16 06:25:00+00:00,5.0,1,U,"('KFWS', 'KFDR', 'KOUN', 'KTLX', 'KDYX')","['s3://unidata-nexrad-level2/2023/06/16/KFWS/KFWS20230616_062023_V06', 's3://unidata-nexrad-level2/2023/06/16/KFDR/KFDR20230616_062244_V06', 's3://unidata-nexrad-level2/2023/06/16/KTLX/KTLX20230616_062402_V06', 's3://unidata-nexrad-level2/2023/06/16/KDYX/KDYX20230616_061847_V06']"
T,P32,SPS UUA /OV SPS110070 /TM 0036 /FL100 /TP P32 /TB SEV /RM ZFW AWC-WEB,SEV,,10000.0,33.57954417851752,-97.17063942912247,2023-06-18 00:36:00+00:00,5.0,0,L,"('KFWS', 'KOUN', 'KFDR', 'KTLX', 'KDYX')","['s3://unidata-nexrad-level2/2023/06/18/KFWS/KFWS20230618_003536_V06', 's3://unidata-nexrad-level2/2023/06/18/KFDR/KFDR20230618_003100_V06', 's3://unidata-nexrad-level2/2023/06/18/KTLX/KTLX20230618_003558_V06', 's3://unidata-nexrad-level2/2023/06/18/KDYX/KDYX20230618_003415_V06']"
T,737,CVS UUA /OV TXO100020 /TM 1852 /FL380 /TP 737 /TB SEV-EXTRM/RM AWC-WEB:,SEV-EXTRM,,38000.0,34.442112585605535,-102.44164372231768,2023-06-02 18:52:00+00:00,6.0,1,M,"('KLBB', 'KFDX', 'KAMA', 'KMAF', 'KFDR')","['s3://unidata-nexrad-level2/2023/06/02/KLBB/KLBB20230602_184722_V06', 's3://unidata-nexrad-level2/2023/06/02/KFDX/KFDX20230602_184708_V06', 's3://unidata-nexrad-level2/2023/06/02/KAMA/KAMA20230602_185038_V06', 's3://unidata-nexrad-level2/2023/06/02/KMAF/KMAF20230602_184802_V06', 's3://unidata-nexrad-level2/2023/06/02/KFDR/KFDR20230602_184820_V06']"
