label,issue,expire,fl_low,fl_high,polygon
WHISKEY 6,2010-04-01 03:13:00+00:00,2010-04-01 07:15:00+00:00,0,5000,"POLYGON ((-160 22.3, -154 20.2, -155.1 18.1, -160 21.2, -160 22.3))"
WHISKEY 7,2010-04-01 07:12:00+00:00,2010-04-01 11:15:00+00:00,0,5000,"POLYGON ((-160 23, -154 20, -155 18.3, -161 21.3, -160 23))"
CHARLIE 1,2010-04-01 10:30:00+00:00,2010-04-01 14:30:00+00:00,0,35000,"POLYGON ((-56.15 32, -52.45 31.15, -57.3 27.15, -61 26.45, -56.15 32))"
WHISKEY 8,2010-04-01 11:12:00+00:00,2010-04-01 15:15:00+00:00,0,5000,"POLYGON ((-160 23, -154 20, -155 18.3, -161 21.3, -160 23))"
WHISKEY 9,2010-04-01 15:12:00+00:00,2010-04-01 19:15:00+00:00,0,5000,"POLYGON ((-160 23, -154 20, -155 18.3, -161 21.3, -160 23))"
WHISKEY 10,2010-04-01 19:14:00+00:00,2010-04-01 23:15:00+00:00,0,5000,"POLYGON ((-160 23, -154 20, -155 18.3, -161 21.3, -160 23))"
ECHO 1,2010-04-01 19:40:00+00:00,2010-04-01 23:40:00+00:00,30000,41000,"POLYGON ((-46.15 34, -41.3 30.45, -44 28.15, -53.45 29.3, -52.3 32.3, -46.15 34))"
1C,2010-04-01 19:55:00+00:00,2010-04-01 21:55:00+00:00,0,28000,"POLYGON ((-104.21990249702323 41.475677364692366, -104.09064450659902 41.32305897814771, -105.04074793468354 40.51838227706476, -105.17000592510774 40.67100066360942, -104.21990249702323 41.475677364692366))"
2C,2010-04-01 21:55:00+00:00,2010-04-01 23:55:00+00:00,0,30000,"POLYGON ((-104.6700001129028 41.21015026824965, -104.6700001129028 40.544674445304075, -104.8699998870972 40.54437390880478, -104.8699998870972 41.20984973175035, -104.6700001129028 41.21015026824965))"
3C,2010-04-01 22:55:00+00:00,2010-04-02 00:55:00+00:00,0,30000,"POLYGON ((-104.5897444038307 41.6167637976145, -103.72454216092964 41.528081527391215, -103.74493509467422 41.3291239232307, -104.61013733757527 41.41780619345399, -104.5897444038307 41.6167637976145))"
2C,2010-04-02 02:10:00+00:00,2010-04-02 04:55:00+00:00,0,39000,"POLYGON ((-99.73253472070768 39.09390379154607, -99.53963789827388 39.04107561823918, -100.29922212626727 36.26752933073923, -100.49211894870106 36.32035750404612, -99.73253472070768 39.09390379154607))"
1C,2010-04-02 02:10:00+00:00,2010-04-02 03:55:00+00:00,0,28000,"POLYGON ((-100.0805319086796 46.625338176869754, -99.91804064400011 46.50873376484834, -100.22119148608479 46.08628522396514, -100.38368275076428 46.20288963598656, -100.0805319086796 46.625338176869754))"
3C,2010-04-02 02:55:00+00:00,2010-04-02 04:55:00+00:00,0,28000,"POLYGON ((-100.16000000000001 43.72452417705442, -99.46347298258941 43.49103491467323, -100.44180816594131 42.569112506423515, -101.03886078499818 42.88356497299443, -100.16000000000001 43.72452417705442))"
4C,2010-04-02 02:55:00+00:00,2010-04-02 04:55:00+00:00,0,39000,"POLYGON ((-98.94942184819968 40.47931789869083, -98.75461807146309 40.43402453748684, -99.75785633437566 36.11916254917308, -99.95266011111225 36.16445591037707, -98.94942184819968 40.47931789869083))"
5C,2010-04-02 03:55:00+00:00,2010-04-02 05:55:00+00:00,0,28000,"POLYGON ((-99.73074957917157 44.26186178302881, -99.09039847953578 44.0666581891107, -99.7287118508384 43.03081913894418, -100.5165270174106 43.49103491467323, -99.73074957917157 44.26186178302881))"
6C,2010-04-02 03:55:00+00:00,2010-04-02 05:55:00+00:00,0,45000,"POLYGON ((-98.78417864204802 40.784855654843355, -98.58828797962728 40.74452144633035, -99.53273360733597 36.15764379450792, -99.72862426975671 36.19797800302092, -98.78417864204802 40.784855654843355))"
7C,2010-04-02 03:55:00+00:00,2010-04-02 05:55:00+00:00,0,27000,"POLYGON ((-102.29798093864876 43.411629596604406, -102.10320549016645 43.366214569702386, -102.26195514388206 42.68537086866093, -102.45673059236438 42.73078589556295, -102.29798093864876 43.411629596604406))"
8C,2010-04-02 04:55:00+00:00,2010-04-02 06:55:00+00:00,0,39000,"POLYGON ((-97.9411626683527 40.492961682465946, -97.75479741198454 40.420380753711726, -99.88599149901495 34.94813702223953, -100.07235675538311 35.02071795099375, -97.9411626683527 40.492961682465946))"
9C,2010-04-02 05:55:00+00:00,2010-04-02 07:55:00+00:00,0,39000,"POLYGON ((-98.30098955315522 45.320899771230586, -98.1045033483798 45.28357456080994, -98.27175689761229 44.40312366037133, -98.46824310238772 44.440448870791975, -98.30098955315522 45.320899771230586))"
10C,2010-04-02 07:55:00+00:00,2010-04-02 09:55:00+00:00,0,40000,"POLYGON ((-99.38142320217025 34.6398899897718, -99.22732863941712 34.51239541839746, -100.9662122298569 32.41071764765811, -101.12030679261002 32.53821221903245, -99.38142320217025 34.6398899897718))"
11C,2010-04-02 08:55:00+00:00,2010-04-02 10:55:00+00:00,0,40000,"POLYGON ((-99.41214936775285 34.30449477586945, -99.25533010732778 34.18036694031378, -101.06484940342291 31.8942763429211, -101.22166866384798 32.01840417847677, -99.41214936775285 34.30449477586945))"
12C,2010-04-02 08:55:00+00:00,2010-04-02 10:55:00+00:00,0,26000,"POLYGON ((-100.72300024051265 45.415692201840685, -100.95585110233034 44.41043789010399, -100.76591119556984 44.42582173579158, -100.3351485069147 43.375647618361064, -100.7610098366174 44.365306070116546, -100.52815897479971 45.37056038185324, -100.52018705472277 43.29974810699844, -100.9509497433779 44.34992222442896, -100.72300024051265 45.415692201840685))"
14C,2010-04-02 09:55:00+00:00,2010-04-02 11:55:00+00:00,0,26000,"POLYGON ((-100.57014460022548 45.767162057232234, -100.48939502105391 44.26723757467939, -100.68910582060296 44.256485991378234, -100.76985539977453 45.756410473931076, -100.57014460022548 45.767162057232234))"
13C,2010-04-02 09:55:00+00:00,2010-04-02 11:55:00+00:00,0,42000,"POLYGON ((-98.507393628651 35.438702501835465, -99.06789230802677 33.733945115237404, -100.78790789533012 31.658445681420886, -98.32538276349844 35.35580470351478, -99.0538832708871 33.75630495442667, -100.94190068620334 31.786063158120093, -99.22188509889999 33.86156259193662, -99.23589413603966 33.839202752747354, -98.507393628651 35.438702501835465))"
15C,2010-04-02 10:55:00+00:00,2010-04-02 12:55:00+00:00,0,42000,"POLYGON ((-96.98862591800444 37.277956061486584, -97.77352069931364 34.20852210402597, -100.03509570923327 31.72225441977049, -99.02861244032405 35.39158964859917, -96.98862591800444 37.277956061486584))"
16C,2010-04-02 10:55:00+00:00,2010-04-02 12:55:00+00:00,0,27000,"POLYGON ((-100.38690185437329 46.47091699948687, -100.06172165259996 44.74121401583262, -100.25827834740006 44.704261807112964, -100.5834585491734 46.43396479076721, -100.38690185437329 46.47091699948687))"
17C,2010-04-02 11:55:00+00:00,2010-04-02 13:55:00+00:00,0,44000,"POLYGON ((-95.9250718140011 38.90197705906824, -97.17 34.21, -98.44269904503261 31.65463822396303, -99.72797103290736 31.622645070378994, -98.33312540126687 36.34928898651502, -95.9250718140011 38.90197705906824))"
18C,2010-04-02 11:55:00+00:00,2010-04-02 13:55:00+00:00,0,27000,"POLYGON ((-100.1905738114067 48.26021405965969, -100.0601033540404 45.39275907555186, -100.25989664595963 45.38366839328487, -100.39036710332593 48.2511233773927, -100.1905738114067 48.26021405965969))"
19C,2010-04-02 12:55:00+00:00,2010-04-02 14:55:00+00:00,0,44000,"POLYGON ((-95.15589574195585 40.0577887468832, -95.78000000000002 35.51547582294557, -97.81285059182453 31.849851312657627, -99.48581379554406 31.710921348917907, -97.01105285350636 39.398985841447804, -95.15589574195585 40.0577887468832))"
20C,2010-04-02 12:55:00+00:00,2010-04-02 14:55:00+00:00,0,30000,"POLYGON ((-99.04385143369048 48.44452177209083, -98.8298090472111 46.187610543353436, -100.70788776518131 45.78141118654599, -100.95122090793855 47.22077228802461, -99.04385143369048 48.44452177209083))"
21C,2010-04-02 13:55:00+00:00,2010-04-02 15:55:00+00:00,0,43000,"POLYGON ((-94.7550808388016 37.51209190571716, -97.04 32.87, -97.95172791611162 32.54835770245518, -96.98862591800444 37.277956061486584, -94.7550808388016 37.51209190571716))"
22C,2010-04-02 13:55:00+00:00,2010-04-02 15:55:00+00:00,0,43000,"POLYGON ((-95.33241744153506 41.041947541371826, -93.94272498268425 39.54195288461503, -94.7550808388016 37.51209190571716, -96.98862591800444 37.277956061486584, -97.29543119348565 38.31472926093198, -95.33241744153506 41.041947541371826))"
23C,2010-04-02 13:55:00+00:00,2010-04-02 15:55:00+00:00,0,30000,"POLYGON ((-98.81016859828479 48.38434398732028, -98.97028254245531 46.74741595367261, -100.48518020177335 46.45244089512704, -100.67 47.42547582294557, -98.81016859828479 48.38434398732028))"
24C,2010-04-02 14:55:00+00:00,2010-04-02 16:55:00+00:00,0,34000,"POLYGON ((-96.47674616855943 33.33930182712991, -96.12827208388839 32.54835770245518, -98.06555231490383 30.56990798583969, -97.96546372639826 32.246318965309385, -97.59019083274751 33.05979627395309, -96.47674616855943 33.33930182712991))"
25C,2010-04-02 14:55:00+00:00,2010-04-02 16:55:00+00:00,0,43000,"POLYGON ((-94.34040081730656 38.15226434338206, -96.47674616855943 33.33930182712991, -97.59019083274751 33.05979627395309, -95.60356303891807 37.92784318440137, -94.34040081730656 38.15226434338206))"
26C,2010-04-02 14:55:00+00:00,2010-04-02 16:55:00+00:00,0,43000,"POLYGON ((-95.58400094071582 41.0522540398, -93.89547060341522 40.122670506580974, -94.0661874238136 38.26923779493943, -95.60356303891807 37.92784318440137, -96.97841432909453 38.92824405714463, -95.58400094071582 41.0522540398))"
27C,2010-04-02 14:55:00+00:00,2010-04-02 16:55:00+00:00,0,28000,"POLYGON ((-98.43937192095507 48.766788539111644, -97.88622133186533 47.47731980251262, -99.21303915744222 46.75075420740385, -100.19857089591542 47.527566306781694, -98.43937192095507 48.766788539111644))"
28C,2010-04-02 15:55:00+00:00,2010-04-02 17:55:00+00:00,0,40000,"POLYGON ((-96.01755632504353 33.30676399558455, -96.78336451508518 31.941250260006594, -98.1741103302819 30.5617263256605, -95.85695547835871 33.18756933108935, -96.77348775540959 31.952649460038707, -98.31495765761554 30.703719390219923, -96.92421184241881 32.08324332456602, -96.9340886020944 32.071844124533904, -96.01755632504353 33.30676399558455))"
29C,2010-04-02 15:55:00+00:00,2010-04-02 17:55:00+00:00,0,42000,"POLYGON ((-95.51865404399629 37.980668013614284, -94.9636862367913 36.996535299825936, -97.2304584032696 32.58867531854146, -95.68847203383984 37.87501835518845, -95.1375250561008 36.989443241514955, -97.40831805204503 32.68014086034533, -95.14154588556674 37.08800084162981, -94.96770706625725 37.09509289994079, -95.51865404399629 37.980668013614284))"
30C,2010-04-02 15:55:00+00:00,2010-04-02 17:55:00+00:00,0,41000,"POLYGON ((-95.12195364394194 42.35231636126279, -91.98521544796093 40.31942932210203, -93.9042144296635 38.07754216105279, -96.12645486927673 40.353674880903995, -95.12195364394194 42.35231636126279))"
31C,2010-04-02 16:55:00+00:00,2010-04-02 18:55:00+00:00,0,40000,"POLYGON ((-96.02052590524129 33.30253909790887, -96.84369430336984 31.710534332284105, -98.39534730115065 30.39555566719483, -95.85398589816096 33.191794228765026, -96.82507699867902 31.731451009199315, -98.52465269884934 30.5481338901691, -96.97299970106853 31.863112555258375, -96.99161700575935 31.842195878343166, -96.02052590524129 33.30253909790887))"
32C,2010-04-02 16:55:00+00:00,2010-04-02 18:55:00+00:00,0,43000,"POLYGON ((-94.81855763207452 38.29967618553823, -94.5330152779085 37.300153024575415, -97.76944009684766 31.60922458502169, -95.00906752029826 38.238799404340625, -94.71519656455949 37.31914955051112, -97.94329278192589 31.7080944180907, -94.70686796298673 37.39902285764443, -94.52468667633575 37.38002633170873, -94.81855763207452 38.29967618553823))"
33C,2010-04-02 16:55:00+00:00,2010-04-02 18:55:00+00:00,0,34000,"POLYGON ((-94.49190011523642 39.471027671996104, -94.12826375160004 39.471027671996104, -94.12826375160004 39.107391308359745, -94.49190011523642 39.107391308359745, -94.49190011523642 39.471027671996104))"
34C,2010-04-02 16:55:00+00:00,2010-04-02 18:55:00+00:00,0,41000,"POLYGON ((-94.63948538071823 43.22429162434285, -91.53918883788123 42.142338425455, -92.59 39.630893132790824, -95.33241744153506 41.041947541371826, -94.63948538071823 43.22429162434285))"
35C,2010-04-02 16:55:00+00:00,2010-04-02 18:55:00+00:00,0,35000,"POLYGON ((-98.66165855452614 48.89992915975619, -95.28686785736836 49.06419323967243, -97.68678084807001 47.94892885887507, -98.66165855452614 48.89992915975619))"
36C,2010-04-02 17:55:00+00:00,2010-04-02 19:55:00+00:00,0,43000,"POLYGON ((-94.65524697701522 37.51785385337546, -94.60750698983072 36.38806340465088, -96.7562427986059 32.81827330315618, -94.85491470058798 37.50632995805886, -94.79301740353863 36.433872073149836, -96.92759590244894 32.921414535470696, -94.77886009367377 36.49120463696539, -94.59334967996587 36.445395968466435, -94.65524697701522 37.51785385337546))"
37C,2010-04-02 17:55:00+00:00,2010-04-02 19:55:00+00:00,0,41000,"POLYGON ((-93.35963212030002 46.53904599343952, -92.2 45.968155221318035, -91.44073565600988 41.21246582752687, -93.30702509057376 42.05431298282869, -93.35963212030002 46.53904599343952))"
38C,2010-04-02 18:55:00+00:00,2010-04-02 20:55:00+00:00,0,41000,"POLYGON ((-91.48 45.731844778681975, -89.87405363700839 42.65163734701528, -91.1852470353202 42.046093408359944, -94.06156852895802 44.27883194667424, -91.48 45.731844778681975))"
39C,2010-04-02 18:55:00+00:00,2010-04-02 20:55:00+00:00,0,38000,"POLYGON ((-92.49032534038257 40.803535737966754, -92.36704118751179 39.2789159446636, -92.56639050674666 39.26279611462126, -92.68967465961744 40.78741590792441, -92.49032534038257 40.803535737966754))"
40C,2010-04-02 18:55:00+00:00,2010-04-02 20:55:00+00:00,0,43000,"POLYGON ((-94.39046726600617 37.9469179087262, -94.24335207833899 36.19396763118027, -95.96737248018717 33.63374049078762, -94.58953273399382 37.927606268328255, -94.42583172028111 36.240167074491694, -96.13326629608376 33.74545101780841, -94.40924589423558 36.30567815820106, -94.22676625229346 36.25947871488964, -94.39046726600617 37.9469179087262))"
