URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight
T,E135,LAS UUA /OV LAS210040 /TM 1909 /FL200 /TP E135 /TB SEV /RM EXTRM TURB FL210-190 AWC-WEB,SEV,,20000.0,35.502662965391806,-115.56472518267822,2022-04-22 19:09:00,5.0,M
F,C182,PAN UA /OV PAN /TM 1937 /FL085 /TP C182 /TB LGT CHOP,LGT CHOP,,8500.0,34.2568364,-111.3392558,2022-04-08 19:37:00,1.0,L
F,SR22,UBE UA /OV UBE/TM 1319/FL050/TP SR22/TB SEV 059-064,SEV 059-064,,5000.0,45.506,-91.9811,2022-04-21 13:19:00,5.0,L
T,A320,OKC UUA /OV IRW265055 /TM 0022 /FL360 /TP A320 /TB SEV /RM SEV LASTING 30 SECONDS. ZFW AWC-WEB,SEV,,36000.0,35.28010076449428,-98.7298241488826,2022-04-30 00:22:00,5.0,M
F,B77W,UUA /OV 4538N04452W /TM 0340 /FL330 /TP B77W /TB SEV,SEV,,33000.0,45.6333,-44.8666,2022-04-27 03:40:00,5.0,U
T,B737,BOI UUA /OV BOI090030/TM 1634/FL050/TP B737/TB SEV/RM ON SHORT FINAL /ZLC,SEV,,5000.0,43.56667,-115.55044241781567,2022-04-16 16:34:00,5.0,M
F,B7385,MTO UA /OV MTO033010/TM 2313/FL310/TP B7385/TB LGT INTMT CHOP/RM ZKC FDC/AFXJ,LGT INTMT CHOP,,31000.0,39.61772975005489,-88.16162875417189,2022-04-05 23:13:00,1.0,U
T,BE99,RNO UUA /OV FMG120010/TM 1439/FL090/TP BE99/TB SEV/RM DURD,SEV,,9000.0,39.44665991665992,-119.47284731887416,2022-04-14 14:39:00,5.0,L
F,CRJ2,LOZ UA /OV LOZ290020/TM 0006/FL190/TP CRJ2/TB NEG,NEG,,19000.0,37.201015948995,-84.46968909169419,2022-04-27 00:06:00,0.0,M
T,B752,FAM UUA /OV FAM345030/TM 0359/FL310/TP B752/TB SEV CAT/RM COR TIME ZKC/FD1/CJ,SEV CAT,,31000.0,38.244032033179614,-90.5923143224888,2022-04-21 03:59:00,5.0,M
F,PA32,PKB UA /OV JPU270025/TM 1852/FL055/TP PA32/TB LGT,LGT,,5500.0,39.44,-81.90956451146494,2022-04-24 18:52:00,1.0,L
T,C560,SGF UUA /OV DGD/TM 1525/FL410/TP C560/TB SEV/RM /ZKCFDC/AFXJ,SEV,,41000.0,37.02,-92.88,2022-04-13 15:25:00,5.0,M
F,B737,MIA UA /OV MIA130060/TM 1159/FL340/TP B737/TB LGT/RM SMOOTH AT FL360 FROM TJSJ ZMAFD,LGT,,34000.0,25.14521032446501,-79.46608772195759,2022-04-06 11:59:00,1.0,M
T,PA46,DFW UUA /OV CQY090005 /TM 1814 /FL090 /TP PA46 /TB SEV /RM ZFW AWC-WEB,SEV,,9000.0,32.19,-96.12152257297086,2022-04-07 18:14:00,5.0,L
F,A319,OKK UA /OV OKK/TM 1716/FL300/TP A319/TB OCNL LGT CHOP,OCNL LGT CHOP,,30000.0,40.52818,-86.05899,2022-04-05 17:16:00,1.0,M
F,B737,SJT UA /OV SJT180040/TM 0137/FL360/TP B737/TB MOD CHOP/RM ZHU,MOD CHOP,,36000.0,30.68494933327933,-100.495,2022-04-06 01:37:00,3.0,M
F,B738,DEN UA /OV DEN300025/TM 2315/FL140/TP B738/TB MOD 140-120,MOD 140-120,,14000.0,40.04115020835021,-105.1274377245017,2022-04-04 23:15:00,3.0,M
T,B737,SNY UUA /OV SNY/TM 0300/FL330/TP B737/TB SEV/RM ZDV,SEV,,33000.0,41.10139,-102.98472,2022-04-23 03:00:00,5.0,M
F,CL30,MCW UA /OV MCW/TM 1312/FL250/TP CL30/TB CONS MOD CHOP/RM FL250-FL200 DURD,CONS MOD CHOP,,25000.0,43.154383,-93.326097,2022-04-13 13:12:00,3.0,U
F,PC12,BLF UA /OV BLF260020/TM 1910/FL250/TP PC12/TB OCNL LGT,OCNL LGT,,25000.0,37.237912585605535,-81.62038190300328,2022-04-16 19:10:00,1.0,L
F,BE55,TRI UA /OV VJI/TM 1618/FL062/TP BE55/TB MOD BLO 062/RM DURD,MOD BLO 062,,6200.0,36.6871,-82.03333,2022-04-10 16:18:00,3.0,L
T,PC12,DEN UUA /OV DEN300030/TM 2220/FL220/TP PC12/TB SEV/RM DURC OVER FRONT RANGE.....ZDV,SEV,,22000.0,40.08282025002025,-105.22142526940203,2022-04-29 22:20:00,5.0,L
T,E145,GJT UUA /OV GJT120025/TM 2146/FL120/TP E145/TB EXTRM 120/RM SMOOTH ABOVE AND BELOW  POSSIBLE FRONTAL PASSAGE,EXTRM 120,,12000.0,38.925819791649786,-108.07475952645603,2022-04-22 21:46:00,7.0,M
F,P46T,TVI UA /OV GEF /TM 1732 /FL270 /TP P46T /SK BKN100 /WX FV99SM /TA M33 /WV 00000KT /TB NEG /IC NEG,NEG,,27000.0,30.55,-83.78,2022-04-23 17:32:00,0.0,L
T,B350,SDB UUA /OV LHS180005/TM 0145/FL090/TP B350/TB SEV/RM COR SA-ID. ZLA CWSU,SEV,,9000.0,34.59665991665992,-118.58,2022-04-22 01:45:00,5.0,M
