URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight
F,B738,VRB UA /OV TRV210030/TM 2142/FL210/TP B738/TB LGT-MOD CHOP/RM FL210 DURC 240,LGT-MOD CHOP,,21000.0,27.24695222404385,-80.77233143626034,2018-05-23 21:42:00+00:00,2.0,0,M
F,B737,ABQ UA /OV ABQ090035/TM 2006/FL150/TP B737/TB CONT MOD/RM ZAB/FDCS,CONT MOD,,15000.0,35.0419,-105.90295875611662,2018-05-31 20:06:00+00:00,3.0,0,M
T,C68A,SPI UUA /OV SPI292048/TM 1915/FL280/TP C68A/TB SEV FL280-245/RM ZKC FDC,SEV FL280-245,,28000.0,40.14440954926426,-90.65006660597268,2018-05-04 19:15:00+00:00,5.0,0,U
F,E75L,RNO UA /OV FMG160050/TM 2330/FL280/TP E75L/TB CONS LGT CHOP/RM ZOA CWSU,CONS LGT CHOP,,28000.0,38.746859386696414,-119.2904381687724,2018-05-14 23:30:00+00:00,1.0,0,U
T,SR22,ASE UUA /OV DBL112038/TM 2138/FL190/TP SR22/TB SEV/RM DURD 190-165  ZDV,SEV,,19000.0,39.2027299401658,-106.1395812346382,2018-05-11 21:38:00+00:00,5.0,0,L
T,B777,ANC UUA /OV TED090040/TM 0215/FL320/TP B777/TB SEV/RM ZAN,SEV,,32000.0,61.17,-148.60737149474247,2018-05-11 02:15:00+00:00,5.0,0,H
F,A319,RWF UA /OV RWF150030/TM 0140/FL330/TP A319/TB MOD 280-310,MOD 280-310,,33000.0,44.11384222404385,-94.73118133816044,2018-05-04 01:40:00+00:00,3.0,0,M
T,M20P,OAK UUA /OV SGD220006/TM 2151/FL045/TP M20P/TB SEV/RM DURC,SEV,,4500.0,38.10338935072191,-122.45177865315898,2018-05-11 21:51:00+00:00,5.0,0,L
F,B777,ENM UA /OV CZF235161/TM 1355/FL320/TP B777/TB LGT OCNL MOD 320-340/RM ZAN,LGT OCNL MOD 320-340,,32000.0,60.24077856216159,-170.67882546749718,2018-05-22 13:55:00+00:00,2.0,0,H
T,M7,PSP UUA /OV PSP270010/TM 1552/FL025/TP M7/TB SEV TURB,SEV TURB,,2500.0,33.82967,-116.70734115187014,2018-05-17 15:52:00+00:00,5.0,0,L
T,C680,BVN UUA /OV OBH105030/TM 2203/FL430/TP C680/TB SEV,SEV,,43000.0,41.25057999526693,-97.7062907049351,2018-05-02 22:03:00+00:00,5.0,0,U
F,C208,GNR UA /OV BGR325034 /TM 1515 /FL060 /TP C208 /SK BKN-OVC-TOP050 /TA 09 /TB NEG /IC NEG,NEG,,6000.0,45.27166375754686,-69.28629713803798,2018-05-04 15:15:00+00:00,0.0,0,L
T,C680,BKW UUA /OV BKW070020/TM 1523/FL260/TP C680/TB SEV,SEV,,26000.0,37.901345948994994,-80.72777887868526,2018-05-06 15:23:00+00:00,5.0,0,U
