URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
T,E75L,LKV UUA /OV LKV160080/TM 0313/FL310/TP E75L/TB SEV/RM ..ZSE,SEV,,31000.0,40.90808501871426,-119.78382546927308,2020-01-01 03:13:00,5.0,U,"('KRGX', 'KBBX', 'KLRX', 'KDAX', 'KMAX')","['s3://unidata-nexrad-level2/2020/01/01/KRGX/KRGX20200101_031137_V06', 's3://unidata-nexrad-level2/2020/01/01/KBBX/KBBX20200101_030733_V06', 's3://unidata-nexrad-level2/2020/01/01/KLRX/KLRX20200101_030934_V06', 's3://unidata-nexrad-level2/2020/01/01/KDAX/KDAX20200101_030614_V06', 's3://unidata-nexrad-level2/2020/01/01/KMAX/KMAX20200101_030754_V06']"
T,E75L,RNO UUA /OV FMG330085 /TM 0323 /FL310 /TP E75L /TB SEV 310/LGT-MOD 290 /RM RIDE IMPROVES LEAVING FL290 ...ZOA CWSU AWC-WEB:,SEV 310,,31000.0,40.756968698542416,-120.5784475320342,2020-01-01 03:23:00,5.0,U,"('KRGX', 'KBBX', 'KMAX', 'KDAX', 'KBHX')","['s3://unidata-nexrad-level2/2020/01/01/KRGX/KRGX20200101_032049_V06', 's3://unidata-nexrad-level2/2020/01/01/KBBX/KBBX20200101_031713_V06', 's3://unidata-nexrad-level2/2020/01/01/KMAX/KMAX20200101_032213_V06', 's3://unidata-nexrad-level2/2020/01/01/KDAX/KDAX20200101_031551_V06', 's3://unidata-nexrad-level2/2020/01/01/KBHX/KBHX20200101_032256_V06']"
T,E75L,RNO UUA /OV FMG330085 /TM 0323 /FL310 /TP E75L /TB SEV 310/LGT-MOD 290 /RM RIDE IMPROVES LEAVING FL290 ...ZOA CWSU AWC-WEB,SEV 310,,31000.0,40.756968698542416,-120.5784475320342,2020-01-01 03:23:00,5.0,U,"('KRGX', 'KBBX', 'KMAX', 'KDAX', 'KBHX')","['s3://unidata-nexrad-level2/2020/01/01/KRGX/KRGX20200101_032049_V06', 's3://unidata-nexrad-level2/2020/01/01/KBBX/KBBX20200101_031713_V06', 's3://unidata-nexrad-level2/2020/01/01/KMAX/KMAX20200101_032213_V06', 's3://unidata-nexrad-level2/2020/01/01/KDAX/KDAX20200101_031551_V06', 's3://unidata-nexrad-level2/2020/01/01/KBHX/KBHX20200101_032256_V06']"
T,C510,SEA UUA /OV SEA030045/TM 0918/FL165/TP C510/TA M12/TB SEV TURB/IC MOD RIME,SEV TURB,,16500.0,48.09426166393422,-121.75983875907596,2020-01-01 09:18:00,5.0,U,"('KATX', 'KLGX', 'KRTX', 'KOTX', 'KPDT')","['s3://unidata-nexrad-level2/2020/01/01/KATX/KATX20200101_091158_V06', 's3://unidata-nexrad-level2/2020/01/01/KLGX/KLGX20200101_091640_V06', 's3://unidata-nexrad-level2/2020/01/01/KRTX/KRTX20200101_091402_V06', 's3://unidata-nexrad-level2/2020/01/01/KOTX/KOTX20200101_091304_V06', 's3://unidata-nexrad-level2/2020/01/01/KPDT/KPDT20200101_091358_V06']"
T,A35K,PADK UUA /OV 4650N 17850E /TM 0937 /FL350 /TP A35K /TB SEV /RM SEV WITH OCNL MOD AWC-WEB,SEV,,35000.0,46.8333,178.8333,2020-01-01 09:37:00,5.0,U,"('PGUA', 'RKSG', 'RKJK', 'RODN', 'LPLA')","['s3://unidata-nexrad-level2/2020/01/01/PGUA/PGUA20200101_093219_V06', 's3://unidata-nexrad-level2/2020/01/01/RKSG/RKSG20200101_093049_V06', 's3://unidata-nexrad-level2/2020/01/01/RKJK/RKJK20200101_092827_V06', 's3://unidata-nexrad-level2/2020/01/01/RODN/RODN20200101_093605_V06']"
T,A35K,PADK UUA /OV 4650N 17850E /TM 0937 /FL350 /TP A35K /TB SEV /RM SEV WITH OCNL MOD AWC-WEB:,SEV,,35000.0,46.8333,178.8333,2020-01-01 09:37:00,5.0,U,"('PGUA', 'RKSG', 'RKJK', 'RODN', 'LPLA')","['s3://unidata-nexrad-level2/2020/01/01/PGUA/PGUA20200101_093219_V06', 's3://unidata-nexrad-level2/2020/01/01/RKSG/RKSG20200101_093049_V06', 's3://unidata-nexrad-level2/2020/01/01/RKJK/RKJK20200101_092827_V06', 's3://unidata-nexrad-level2/2020/01/01/RODN/RODN20200101_093605_V06']"
T,PA46,SJT UUA /OV SJT180020 /TM 1640 /FL170 /TP PA46 /TB SEV /RM FM ZHU AWC-WEB,SEV,,17000.0,31.018309666639663,-100.495,2020-01-01 16:40:00,5.0,L,"('KSJT', 'KMAF', 'KDFX', 'KDYX', 'KEWX')","['s3://unidata-nexrad-level2/2020/01/01/KSJT/KSJT20200101_163359_V06', 's3://unidata-nexrad-level2/2020/01/01/KMAF/KMAF20200101_163533_V06', 's3://unidata-nexrad-level2/2020/01/01/KDFX/KDFX20200101_163857_V06', 's3://unidata-nexrad-level2/2020/01/01/KDYX/KDYX20200101_163821_V06', 's3://unidata-nexrad-level2/2020/01/01/KEWX/KEWX20200101_163813_V06']"
T,PA46,SJT UUA /OV SJT180020 /TM 1640 /FL170 /TP PA46 /TB SEV /RM FM ZHU AWC-WEB:,SEV,,17000.0,31.018309666639663,-100.495,2020-01-01 16:40:00,5.0,L,"('KSJT', 'KMAF', 'KDFX', 'KDYX', 'KEWX')","['s3://unidata-nexrad-level2/2020/01/01/KSJT/KSJT20200101_163359_V06', 's3://unidata-nexrad-level2/2020/01/01/KMAF/KMAF20200101_163533_V06', 's3://unidata-nexrad-level2/2020/01/01/KDFX/KDFX20200101_163857_V06', 's3://unidata-nexrad-level2/2020/01/01/KDYX/KDYX20200101_163821_V06', 's3://unidata-nexrad-level2/2020/01/01/KEWX/KEWX20200101_163813_V06']"
T,A321,CDS UUA /OV CDS270050 /TM 1829 /FL210 /TP A321 /TB SEV /RM ZFW AWC-WEB:,SEV,,21000.0,34.43389,-101.2985132863531,2020-01-01 18:29:00,5.0,M,"('KAMA', 'KLBB', 'KFDR', 'KFDX', 'KDYX')","['s3://unidata-nexrad-level2/2020/01/01/KAMA/KAMA20200101_181946_V06', 's3://unidata-nexrad-level2/2020/01/01/KLBB/KLBB20200101_182528_V06', 's3://unidata-nexrad-level2/2020/01/01/KFDX/KFDX20200101_182834_V06', 's3://unidata-nexrad-level2/2020/01/01/KDYX/KDYX20200101_182324_V06']"
T,A321,CDS UUA /OV CDS270050 /TM 1829 /FL210 /TP A321 /TB SEV /RM ZFW AWC-WEB,SEV,,21000.0,34.43389,-101.2985132863531,2020-01-01 18:29:00,5.0,M,"('KAMA', 'KLBB', 'KFDR', 'KFDX', 'KDYX')","['s3://unidata-nexrad-level2/2020/01/01/KAMA/KAMA20200101_181946_V06', 's3://unidata-nexrad-level2/2020/01/01/KLBB/KLBB20200101_182528_V06', 's3://unidata-nexrad-level2/2020/01/01/KFDX/KFDX20200101_182834_V06', 's3://unidata-nexrad-level2/2020/01/01/KDYX/KDYX20200101_182324_V06']"
