URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight
T,SR22,HOP UUA /OV HOP180020/TM 1403/FL060/TP SR22/TB SEV/RM ZME,SEV,,6000.0,36.33520966663967,-87.49618,2017-05-01 14:03:00+00:00,5.0,0,L
F,PA31,GST UA /OV JNU-GST /TM 2241 /FL020 /TP PA31 /SK OVC025 /WX RA /TB LGT,LGT,,2000.0,58.385000000000005,-135.135,2017-05-07 22:41:00+00:00,1.0,0,L
T,B737,SEG UUA /OV MIP290015/TM 0131/FL270/TP B737/TB SEV 270-240,SEV 270-240,,27000.0,41.105511961746245,-76.981395954907,2017-05-02 01:31:00+00:00,5.0,1,M
F,B738,AMA UA /OV PNH/TM 1624/FL270/TP B738/TB MOD CHOP/RM ZAB FDCS,MOD CHOP,,27000.0,35.24,-101.7,2017-05-11 16:24:00+00:00,3.0,0,M
F,BE40,IPT UA /OV FQM/TM 1159/FL290/TP BE40/TB MOD,MOD,,29000.0,41.34,-76.77,2017-05-25 11:59:00+00:00,3.0,0,M
F,B737,JOT UA /OV JOT/TM 1656/FL360/TP B737/TB CONT LGT CHOP,CONT LGT CHOP,,36000.0,41.51769,-88.17561,2017-05-26 16:56:00+00:00,1.0,0,M
F,CL60,KORD UA /OV 40 NE ORD/TM 0032/FL040/TP CL60/TB SEV,SEV,,4000.0,42.4589827045954,-87.29766544632783,2017-05-16 00:32:00+00:00,5.0,0,M
F,C680,SJT UA /OV SJT315020 /TM 2153 /FL160 /TP C680 /TB MOD/RM AWC-WEB:,MOD,,16000.0,31.587391352297697,-100.77102355925916,2017-05-18 21:53:00+00:00,3.0,0,U
T,B762,VJI UUA /OV HMV200015/TM 2221/FL240/TP B762/TB SEV/RM NO DAMAGE OR INJURIES ZTLFD,SEV,,24000.0,36.20505781600892,-82.23629479213518,2017-05-24 22:21:00+00:00,5.0,1,H
F,CL35,HUF UA /OV TTH/TM 1755/FL030/TP CL35/SK 020 OVC 030 040 BKN UNKN /WX IMC 5 RA-/TB NEG,NEG,,3000.0,39.49,-87.25,2017-05-04 17:55:00+00:00,0.0,0,U
T,BE58,LEX UUA /OV HYK160035/TM 1935/FL110/TP BE58/TB SEV,SEV,,11000.0,37.421801570687485,-84.2168989507819,2017-05-02 19:35:00+00:00,5.0,0,L
F,C550,PNC UA /OV PER270020/TM 2041/FL450/TP C550/TB LGT CHOP/RM /ZKC FDC/AF,LGT CHOP,,45000.0,36.75,-97.57604835831071,2017-05-11 20:41:00+00:00,1.0,1,L
F,CRJ7,RMN UA /OV FAK020040/TM 1943/FL210/TP CRJ7/TB SEV/RM FL210-230,SEV,,21000.0,38.15651249064288,-77.54245651689035,2017-05-25 19:43:00+00:00,5.0,1,M
T,PA44,SLE UUA /OV UBG180020/TM 0015/FL070/TP PA44/TB SEV /RM * ..ZSE,SEV,,7000.0,45.01663966663967,-122.98,2017-05-12 00:15:00+00:00,5.0,0,L
F,MD83,ACT UA /OV GNL154004 /TM 0014 /FL340 /TP MD83 /TB SEV /RM OVR TORNN. FM KZFW. AWC-WEB,SEV,,34000.0,31.520075543420685,-96.51569224729757,2017-05-29 00:14:00+00:00,5.0,1,M
F,C152,UUA /OV CSR3 000005 /TM 1753 /FL030 /TP C152 /TB MDT-SEV BLO 030,MDT-SEV BLO 030,,3000.0,46.19334008334008,-71.93,2017-05-04 17:53:00+00:00,5.0,0,L
F,PC12,GSP UA /OV GSP/TM 2020/FL003/TP PC12/TB LT-MOD TURB,LT-MOD TURB,,300.0,34.88472,-82.22389,2017-05-25 20:20:00+00:00,3.0,0,L
F,A321,BMI UA /OV BMI180010/TM 1630/FL340/TP A321/TB CONT LGT,CONT LGT,,34000.0,40.31042983331984,-88.91592,2017-05-08 16:30:00+00:00,1.0,0,M
