URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight
T,E45X,OXC UUA /OV BDL270030 /TM 0025 /FL160 /TP E45X /TB SEV CAT /RM LIGHTNING STRIKE EXTREME RAIN,SEV CAT,,16000.0,41.9381,-73.35471734963612,2017-09-06 00:25:00+00:00,5.0,1,M
F,B738,ELP UA /OV EWM270030/TM 1404/FL410/TP B738/TB NEG/RM ZAB/FDCS,NEG,,41000.0,31.95,-106.8593158281558,2017-09-19 14:04:00+00:00,0.0,0,M
F,B737,SIT UA /OV BKA115092/TM 1425/FL350/TP B737/TB CONS LGT/RM ZAN,CONS LGT,,35000.0,56.211932842756994,-133.0078042772792,2017-09-20 14:25:00+00:00,1.0,0,M
F,A340,UUA /OV YQB /TM 2310 /FL320 /TP A340 /TB MDT-SEV 300-320,MDT-SEV 300-320,,32000.0,46.8,-71.38,2017-09-27 23:10:00+00:00,5.0,0,L
F,E75L,CKF UA /OV PZD040030/TM 1554/FL320/TP E75L/TB LGT CHOP/RM ZTLFD,LGT CHOP,,32000.0,32.04305324639046,-83.91238223733126,2017-09-28 15:54:00+00:00,1.0,0,U
F,PA32,FLL UA /OV MYBS /TM 2043 /FL035 /TP PA32 /WX FV10SM /TB NEG,NEG,,3500.0,25.69,-79.26,2017-09-27 20:43:00+00:00,0.0,0,L
F,DH8D,BLI UA /OV HUH150030/TM 2215/FL120/TP DH8D/TA M05/TB LGT-MOD CHOP/IC MOD RIME/RM ON GRIZZ5 ..ZSE,LGT-MOD CHOP,,12000.0,48.516952224043855,-122.1992879086232,2017-09-30 22:15:00+00:00,2.0,0,M
F,HS25,SAV UA /OV SAV120140/TM 0400/FL360/TP HS25/TB CONT MOD,CONT MOD,,36000.0,30.96081883323884,-78.815824392015,2017-09-07 04:00:00+00:00,3.0,0,U
F,B752,HDN UA /OV CHE300020/TM 1427/FL380/TP B752/TB CONT MOD CHOP/RM ZDV,CONT MOD CHOP,,38000.0,40.68668016668017,-107.68977691317274,2017-09-18 14:27:00+00:00,3.0,0,M
F,E175,DUJ UA /OV CIP100015/TM 1954/FL360/TP E175/TB OCNL MOD CHOP,OCNL MOD CHOP,,36000.0,41.10658443920415,-79.13300752384029,2017-09-29 19:54:00+00:00,3.0,0,U
