URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight
F,B752,AMG UA /OV AMG/TM 0349/FL190/TP B752/TB LGT CHOP 240-190 /RM DURD,LGT CHOP 240-190,,19000.0,31.53606,-82.50656,2024-05-28 03:49:00+00:00,1.0,1,M
F,B738,MOT UA /OV MOT220060/TM 1715/FL350/TP B738/TB NEG,NEG,,35000.0,47.49327350721908,-102.24590339032532,2024-05-04 17:15:00+00:00,0.0,0,M
T,PC12,SJN UUA /OV SJN245025/TM 2227/FL075/TP PC12/TB SEV CAT DEP SOW DURC/RM ZAB/FDCS,SEV CAT DEP SOW DURC,,7500.0,34.343894794227445,-109.83836364045816,2024-05-22 22:27:00+00:00,5.0,0,L
T,C172,PRC UUA /OV 2 MILES SW OF PRC/TM 1818/FL060/TP C172/TB SEV/RM RIGHT CROSSWIND RY21R,SEV,,6000.0,34.65,-112.42,2024-05-31 18:18:00+00:00,5.0,0,L
T,PA24,RIW UUA /OV RIW245033/TM 0215/FL128/TP PA24/TB SEV/ZLC,SEV,,12800.0,42.83177112838023,-109.14217967413572,2024-05-30 02:15:00+00:00,5.0,0,L
F,PC12,MCO UA /OV MCO18010/TM 1510/FL090/TP PC12/TB SEV-EXTRM 090,SEV-EXTRM 090,,9000.0,28.42939,-81.30899,2024-05-17 15:10:00+00:00,6.0,1,L
F,A21N,BIS UA /OV BIS120050/TM 1624/FL330/TP A21N/TB CONS LGT CHOP,CONS LGT CHOP,,33000.0,46.356019583299584,-99.69194287323242,2024-05-16 16:24:00+00:00,1.0,0,U
T,B737,LIT UUA /OV LIT/TM 0240/FL310/TP B737/TB SEV/RM ZME,SEV,,31000.0,34.7273,-92.23573,2024-05-14 02:40:00+00:00,5.0,1,M
F,M20P,PSP UA /OV L35090005/TM 1810/FL080/TP M20P/TB SEV,SEV,,8000.0,34.2637778,-116.75518728843316,2024-05-31 18:10:00+00:00,5.0,0,L
T,BE35,LIT UUA /OV LIT350012/TM 2200/FL030/TP BE35/TB SEV 030/RM NO INJURIES,SEV 030,,3000.0,34.92427750450399,-92.27799013179796,2024-05-22 22:00:00+00:00,5.0,0,L
T,C310,VCT UUA /OV VCT225025/TM 2121/FL030/TP C310/TB EXTRM/RM 25SW VCT C310 RPRT EXTREME TURB FL030 AT 2121Z KZHU,EXTRM,,3000.0,28.56674830962788,-97.26674106375472,2024-05-28 21:21:00+00:00,7.0,0,L
T,HDJT,DFW UUA /OV 40 SW DFW/TM 2240/FL130/TP HDJT/TB SEV TURB/RM TURBULENCE BETWEEN 140 AND 120 NO INJURIES,SEV TURB,,13000.0,32.425387295404605,-97.59947531957415,2024-05-12 22:40:00+00:00,5.0,1,U
F,B738,TUL UA /OV TUL130020/TM 1132/FL260/TP B738/TB CONS LGT CHOP/RM ZFW,CONS LGT CHOP,,26000.0,35.98411010815501,-95.57165877508665,2024-05-08 11:32:00+00:00,1.0,0,M
T,B737,PGA UUA /OV TBC045075/TM 0355/FL250/TP B737/TB SEV/RM 30KT GAIN ZDV,SEV,,25000.0,37.00395507111637,-110.17570388980076,2024-05-06 03:55:00+00:00,5.0,0,M
F,SR20,SWF UA /OV SWF360006 /TM 1505 /FL065 /TP SR20 /WV 34823KT /TB NEG /RM SMTH,NEG,,6500.0,41.604118100008094,-74.10483,2024-05-09 15:05:00+00:00,0.0,0,L
F,A319,IND UA /OV LVT270025/TM 1233/FL290/TP A319/TB CONS LGT-OCNL MOD,CONS LGT-OCNL MOD,,29000.0,36.58,-85.6889130255297,2024-05-07 12:33:00+00:00,2.0,0,M
F,C182,INR UA /OV HRR /TM 1810 /FL035 /TP C182 /TB LGT-MOD /RM (AKFSS,LGT-MOD,,3500.0,63.86,-148.96,2024-05-21 18:10:00+00:00,2.0,0,L
F,CRJ2,AZO UA /OV AZO/TM 0443/FL001/TP CRJ2/SK TOP 060 BASE 028/TB CONS LGT /IC NEG,CONS LGT,,100.0,42.23472,-85.55194,2024-05-27 04:43:00+00:00,1.0,0,M
F,MO20,EMT UA /OV EMT210003/TM 0020/FL022/TP MO20/TB MOD/RM COR SA-ID. ZLA CWSU,MOD,,2200.0,34.04269522240438,-118.06518848891022,2024-05-30 00:20:00+00:00,3.0,0,U
F,A321,SAV UA /OV SAV/TM 0136/FL350/TP A321/TB NEG,NEG,,35000.0,32.13136751,-81.20230227,2024-05-09 01:36:00+00:00,0.0,0,M
F,PC12,LNY UA /OV LNY/TM 2210/FL040/TP PC12/SK SKC/TB NONE,NONE,,4000.0,20.78,-156.95,2024-05-08 22:10:00+00:00,0.0,0,L
T,M20P,L35 UUA /OV L35090005/TM 1810/FL080/TP M20P/TB SEV/RM COR SA-ID AND MSG TYPE. ZLA CWSU,SEV,,8000.0,34.2637778,-116.75518728843316,2024-05-31 18:10:00+00:00,5.0,0,L
