URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
T,C56X,HHR UUA /OV KLAX070010/TM 1830/FL030/TP C56X/SK SKC/TB SEV/RM DURD. COR SA-ID AND MSG TYPE AND LOCTN AND SKY. ZLA CWSU,SEV,,3000.0,33.9951679744975,-118.19773967749202,2018-10-01 18:30:00,5.0,M,"('KSOX', 'KVTX', 'KEYX', 'KNKX', 'KVBX')","['s3://unidata-nexrad-level2/2018/10/01/KSOX/KSOX20181001_182952_V06', 's3://unidata-nexrad-level2/2018/10/01/KVTX/KVTX20181001_182857_V06', 's3://unidata-nexrad-level2/2018/10/01/KEYX/KEYX20181001_182859_V06', 's3://unidata-nexrad-level2/2018/10/01/KNKX/KNKX20181001_182955_V06', 's3://unidata-nexrad-level2/2018/10/01/KVBX/KVBX20181001_182031_V06']"
T,A332,ORF UUA /OV 4148N06204W/TM 1924/FL380/TP A332/TB SEV,SEV,,38000.0,41.8,-62.666,2018-10-01 19:24:00,5.0,H,"('KCBW', 'KGYX', 'KBOX', 'KOKX', 'KCXX')","['s3://unidata-nexrad-level2/2018/10/01/KCBW/KCBW20181001_191806_V06', 's3://unidata-nexrad-level2/2018/10/01/KGYX/KGYX20181001_192304_V06', 's3://unidata-nexrad-level2/2018/10/01/KBOX/KBOX20181001_192204_V06', 's3://unidata-nexrad-level2/2018/10/01/KOKX/KOKX20181001_192139_V06', 's3://unidata-nexrad-level2/2018/10/01/KCXX/KCXX20181001_192052_V06']"
F,A332,UUA /OV YHZ 180140 /TM 1926 /FL390 /TP A332 /TB MDT-SEV,MDT-SEV,,39000.0,42.49647766647767,-63.4,2018-10-01 19:26:00,5.0,H,"('KCBW', 'KGYX', 'KBOX', 'KOKX', 'KCXX')","['s3://unidata-nexrad-level2/2018/10/01/KCBW/KCBW20181001_192459_V06', 's3://unidata-nexrad-level2/2018/10/01/KGYX/KGYX20181001_192304_V06', 's3://unidata-nexrad-level2/2018/10/01/KBOX/KBOX20181001_192204_V06', 's3://unidata-nexrad-level2/2018/10/01/KOKX/KOKX20181001_192139_V06', 's3://unidata-nexrad-level2/2018/10/01/KCXX/KCXX20181001_192532_V06']"
F,B744,UUA /OV CYQM 180020 /TM 0835 /FL350 /TP B744 /TB MDT-SEV,MDT-SEV,,35000.0,45.77052966663967,-64.68778,2018-10-02 08:35:00,5.0,H,"('KCBW', 'KGYX', 'KBOX', 'KCXX', 'KOKX')","['s3://unidata-nexrad-level2/2018/10/02/KCBW/KCBW20181002_083215_V06', 's3://unidata-nexrad-level2/2018/10/02/KGYX/KGYX20181002_083210_V06', 's3://unidata-nexrad-level2/2018/10/02/KBOX/KBOX20181002_083038_V06', 's3://unidata-nexrad-level2/2018/10/02/KCXX/KCXX20181002_083312_V06', 's3://unidata-nexrad-level2/2018/10/02/KOKX/KOKX20181002_082942_V06']"
T,PA46,SAV UUA /OV SAV030030/TM 1715/FL080/TP PA46/TB SEV,SEV,,8000.0,32.56062777595615,-80.90691000886252,2018-10-02 17:15:00,5.0,L,"('KCLX', 'KCAE', 'KJGX', 'KJAX', 'KGSP')","['s3://unidata-nexrad-level2/2018/10/02/KCLX/KCLX20181002_171155_V06', 's3://unidata-nexrad-level2/2018/10/02/KCAE/KCAE20181002_170808_V06', 's3://unidata-nexrad-level2/2018/10/02/KJGX/KJGX20181002_171236_V06', 's3://unidata-nexrad-level2/2018/10/02/KJAX/KJAX20181002_171014_V06', 's3://unidata-nexrad-level2/2018/10/02/KGSP/KGSP20181002_171306_V06']"
T,GLF5,MKE UUA /OV BAE090030/TM 1815/FL450/TP GLF5/TB SEV/RM LOSS OF 100FT,SEV,,45000.0,43.12,-87.59494143403266,2018-10-02 18:15:00,5.0,M,"('KMKX', 'KGRB', 'KGRR', 'KLOT', 'KDVN')","['s3://unidata-nexrad-level2/2018/10/02/KMKX/KMKX20181002_181402_V06', 's3://unidata-nexrad-level2/2018/10/02/KGRB/KGRB20181002_180803_V06', 's3://unidata-nexrad-level2/2018/10/02/KGRR/KGRR20181002_180856_V06', 's3://unidata-nexrad-level2/2018/10/02/KLOT/KLOT20181002_180630_V06', 's3://unidata-nexrad-level2/2018/10/02/KDVN/KDVN20181002_180931_V06']"
T,C414,TPH UUA /OV TPH320020/TM 2112/FL270/TP C414/TB SEV/RM ZOA CWSU,SEV,,27000.0,38.305888830926975,-117.36254264759816,2018-10-02 21:12:00,5.0,L,"('KRGX', 'KLRX', 'KHNX', 'KEYX', 'KESX')","['s3://unidata-nexrad-level2/2018/10/02/KLRX/KLRX20181002_211140_V06', 's3://unidata-nexrad-level2/2018/10/02/KHNX/KHNX20181002_210935_V06', 's3://unidata-nexrad-level2/2018/10/02/KEYX/KEYX20181002_211005_V06', 's3://unidata-nexrad-level2/2018/10/02/KESX/KESX20181002_211138_V06']"
T,C414,TPH UUA /OV TPH320020/TM 2117/FL280/TP C414/TB SEV/RM ZOA CWSU,SEV,,28000.0,38.305888830926975,-117.36254264759816,2018-10-02 21:17:00,5.0,L,"('KRGX', 'KHNX', 'KLRX', 'KEYX', 'KESX')","['s3://unidata-nexrad-level2/2018/10/02/KHNX/KHNX20181002_211432_V06', 's3://unidata-nexrad-level2/2018/10/02/KLRX/KLRX20181002_211140_V06', 's3://unidata-nexrad-level2/2018/10/02/KEYX/KEYX20181002_211559_V06', 's3://unidata-nexrad-level2/2018/10/02/KESX/KESX20181002_211138_V06']"
T,E135,PRC UUA /OV DRK060025/TM 0232/FL260/TP E135/TB SEV/RM ZAB,SEV,,26000.0,34.908350208350214,-112.0410584902158,2018-10-03 02:32:00,5.0,M,"('KFSX', 'KFSX', 'KIWA', 'KESX', 'KICX')","['s3://unidata-nexrad-level2/2018/10/03/KFSX/KFSX20181003_022820_V06', 's3://unidata-nexrad-level2/2018/10/03/KFSX/KFSX20181003_022820_V06', 's3://unidata-nexrad-level2/2018/10/03/KIWA/KIWA20181003_022744_V06', 's3://unidata-nexrad-level2/2018/10/03/KESX/KESX20181003_022744_V06', 's3://unidata-nexrad-level2/2018/10/03/KICX/KICX20181003_023132_V06']"
T,BE99,ANK UUA /OV DBL130060/TM 1404/FL200/TP BE99/TB SEV/RM MTW +/-1000 FPM ROTOR CLOUD S ANK ZDV,SEV,,20000.0,38.79716032446501,-105.9080070502914,2018-10-03 14:04:00,5.0,L,"('KFTG', 'KPUX', 'KGJX', 'KCYS', 'KGLD')","['s3://unidata-nexrad-level2/2018/10/03/KFTG/KFTG20181003_140325_V06', 's3://unidata-nexrad-level2/2018/10/03/KPUX/KPUX20181003_135837_V06', 's3://unidata-nexrad-level2/2018/10/03/KGJX/KGJX20181003_140107_V06', 's3://unidata-nexrad-level2/2018/10/03/KCYS/KCYS20181003_135511_V06', 's3://unidata-nexrad-level2/2018/10/03/KGLD/KGLD20181003_135441_V06']"
T,C680,DEN UUA /OV BJC360010/TM 1513/FL110/TP C680/TB SEV,SEV,,11000.0,40.07549016668017,-105.11719,2018-10-03 15:13:00,5.0,U,"('KFTG', 'KCYS', 'KPUX', 'KGJX', 'KGLD')","['s3://unidata-nexrad-level2/2018/10/03/KFTG/KFTG20181003_150740_V06', 's3://unidata-nexrad-level2/2018/10/03/KCYS/KCYS20181003_151203_V06', 's3://unidata-nexrad-level2/2018/10/03/KPUX/KPUX20181003_151001_V06', 's3://unidata-nexrad-level2/2018/10/03/KGJX/KGJX20181003_151030_V06', 's3://unidata-nexrad-level2/2018/10/03/KGLD/KGLD20181003_151128_V06']"
T,PA20,ANC UUA /OV ANC-ENA030030 /TM 0001 /FL020 /TP PA20 /TB CONS MODOCNL SEV /RM TURNAGAIN ARM,CONS MODOCNL SEV,,2000.0,61.17,-149.99,2018-10-04 00:01:00,5.0,L,"('PAHG', 'PAIH', 'PAIH', 'PAPD', 'PAKC')","['s3://unidata-nexrad-level2/2018/10/03/PAHG/PAHG20181003_235625_V06', 's3://unidata-nexrad-level2/2018/10/03/PAIH/PAIH20181003_235724_V06', 's3://unidata-nexrad-level2/2018/10/03/PAIH/PAIH20181003_235724_V06', 's3://unidata-nexrad-level2/2018/10/04/PAPD/PAPD20181004_000013_V06', 's3://unidata-nexrad-level2/2018/10/04/PAKC/PAKC20181004_000038_V06']"
T,C414,ICL UUA /OV ICL020010/TM 0051/FL060/TP C414/TB SEV 065-060/RM DURD,SEV 065-060,,6000.0,40.88078090046072,-94.94704985770272,2018-10-04 00:51:00,5.0,L,"('KOAX', 'KDMX', 'KTWX', 'KEAX', 'KFSD')","['s3://unidata-nexrad-level2/2018/10/04/KOAX/KOAX20181004_004810_V06', 's3://unidata-nexrad-level2/2018/10/04/KTWX/KTWX20181004_005054_V06', 's3://unidata-nexrad-level2/2018/10/04/KEAX/KEAX20181004_004720_V06', 's3://unidata-nexrad-level2/2018/10/04/KFSD/KFSD20181004_004227_V06']"
T,B190,FSD UUA /OV FSD150010/TM 0128/FL034/TP B190/TB SEV,SEV,,3400.0,43.43259074134795,-96.63857078759273,2018-10-04 01:28:00,5.0,M,"('KFSD', 'KOAX', 'KABR', 'KMPX', 'KDMX')","['s3://unidata-nexrad-level2/2018/10/04/KFSD/KFSD20181004_012121_V06', 's3://unidata-nexrad-level2/2018/10/04/KOAX/KOAX20181004_012716_V06', 's3://unidata-nexrad-level2/2018/10/04/KABR/KABR20181004_012236_V06', 's3://unidata-nexrad-level2/2018/10/04/KMPX/KMPX20181004_012442_V06']"
F,B777,UUA /OV CYMT 215095 /TM 0520 /FL330 /TP B777 /TB MDT-SEV,MDT-SEV,,33000.0,48.47484420685437,-75.93436491271353,2018-10-04 05:20:00,5.0,H,"('KTYX', 'KCXX', 'KENX', 'KBUF', 'KBGM')","['s3://unidata-nexrad-level2/2018/10/04/KTYX/KTYX20181004_051826_V06', 's3://unidata-nexrad-level2/2018/10/04/KCXX/KCXX20181004_051828_V06', 's3://unidata-nexrad-level2/2018/10/04/KENX/KENX20181004_051535_V06', 's3://unidata-nexrad-level2/2018/10/04/KBUF/KBUF20181004_051515_V06', 's3://unidata-nexrad-level2/2018/10/04/KBGM/KBGM20181004_051348_V06']"
