URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
T,H72,DAG UUA /OV BYS360012/TM 0230/FL060/TP H72/WV 24030KT/TB SEV/RM COR SA-ID. ZLA CWSU,SEV,,6000.0,35.4805462000162,-116.63003,2018-05-01 02:30:00,5.0,U,"('KEYX', 'KESX', 'KSOX', 'KVTX', 'KNKX')","['s3://unidata-nexrad-level2/2018/05/01/KEYX/KEYX20180501_022930_V06', 's3://unidata-nexrad-level2/2018/05/01/KESX/KESX20180501_022251_V06', 's3://unidata-nexrad-level2/2018/05/01/KSOX/KSOX20180501_022342_V06', 's3://unidata-nexrad-level2/2018/05/01/KVTX/KVTX20180501_022055_V06', 's3://unidata-nexrad-level2/2018/05/01/KNKX/KNKX20180501_022332_V06']"
T,A306,FSD UUA /OV FSD150002/TM 0301/FL020/TP A306/TB SEV 020-040,SEV 020-040,,2000.0,43.54807014826959,-96.73060215751856,2018-05-01 03:01:00,5.0,H,"('KFSD', 'KOAX', 'KABR', 'KMPX', 'KDMX')","['s3://unidata-nexrad-level2/2018/05/01/KFSD/KFSD20180501_030016_V06', 's3://unidata-nexrad-level2/2018/05/01/KOAX/KOAX20180501_030008_V06', 's3://unidata-nexrad-level2/2018/05/01/KABR/KABR20180501_030029_V06', 's3://unidata-nexrad-level2/2018/05/01/KMPX/KMPX20180501_030017_V06', 's3://unidata-nexrad-level2/2018/05/01/KDMX/KDMX20180501_025554_V06']"
T,B777,ADK UUA /OV 4058N 14510W/TM 1205/FL340/TP B777/TB SEV/RM ZOA CWSU,SEV,,34000.0,40.9666,-145.1666,2018-05-01 12:05:00,5.0,H,"('PAIH', 'PAIH', 'PACG', 'PAHG', 'KBHX')","['s3://unidata-nexrad-level2/2018/05/01/PAIH/PAIH20180501_120244_V06', 's3://unidata-nexrad-level2/2018/05/01/PAIH/PAIH20180501_120244_V06', 's3://unidata-nexrad-level2/2018/05/01/PACG/PACG20180501_120221_V06', 's3://unidata-nexrad-level2/2018/05/01/PAHG/PAHG20180501_120434_V06', 's3://unidata-nexrad-level2/2018/05/01/KBHX/KBHX20180501_115958_V06']"
T,A319,LWD UUA /OV LMN180010/TM 1400/FL340/TP A319/TB SEV CAT,SEV CAT,,34000.0,40.43331983331984,-93.97,2018-05-01 14:00:00,5.0,M,"('KDMX', 'KEAX', 'KOAX', 'KTWX', 'KDVN')","['s3://unidata-nexrad-level2/2018/05/01/KDMX/KDMX20180501_135712_V06', 's3://unidata-nexrad-level2/2018/05/01/KEAX/KEAX20180501_135739_V06', 's3://unidata-nexrad-level2/2018/05/01/KOAX/KOAX20180501_135757_V06', 's3://unidata-nexrad-level2/2018/05/01/KTWX/KTWX20180501_135802_V06', 's3://unidata-nexrad-level2/2018/05/01/KDVN/KDVN20180501_135916_V06']"
T,E50P,DEN UUA /OV DEN140054/TM 1335/FL160/TP E50P/TB EXTRM,EXTRM,,16000.0,39.14330415649717,-103.90409078835542,2018-05-02 13:35:00,7.0,U,"('KPUX', 'KFTG', 'KGLD', 'KCYS', 'KGJX')","['s3://unidata-nexrad-level2/2018/05/02/KPUX/KPUX20180502_133214_V06', 's3://unidata-nexrad-level2/2018/05/02/KFTG/KFTG20180502_133321_V06', 's3://unidata-nexrad-level2/2018/05/02/KGLD/KGLD20180502_133149_V06', 's3://unidata-nexrad-level2/2018/05/02/KCYS/KCYS20180502_133254_V06', 's3://unidata-nexrad-level2/2018/05/02/KGJX/KGJX20180502_133129_V06']"
T,BE20,MYNN UUA /OV ZQA139149/TM 1730/FL110/TP BE20/TB SEV,SEV,,11000.0,23.12565273246291,-75.65221645997379,2018-05-02 17:30:00,5.0,M,"('KAMX', 'KAMX', 'KBYX', 'KMLB', 'KTBW')","['s3://unidata-nexrad-level2/2018/05/02/KAMX/KAMX20180502_172954_V06', 's3://unidata-nexrad-level2/2018/05/02/KAMX/KAMX20180502_172954_V06', 's3://unidata-nexrad-level2/2018/05/02/KBYX/KBYX20180502_172831_V06', 's3://unidata-nexrad-level2/2018/05/02/KMLB/KMLB20180502_172536_V06']"
T,A320,MYNN UUA /OV ZQA140120/TM 1750/FL320/TP A320/TB SEV,SEV,,32000.0,23.46778701443816,-76.03140979316336,2018-05-02 17:50:00,5.0,M,"('KAMX', 'KAMX', 'KBYX', 'KMLB', 'KTBW')","['s3://unidata-nexrad-level2/2018/05/02/KAMX/KAMX20180502_174935_V06', 's3://unidata-nexrad-level2/2018/05/02/KAMX/KAMX20180502_174935_V06', 's3://unidata-nexrad-level2/2018/05/02/KBYX/KBYX20180502_174959_V06', 's3://unidata-nexrad-level2/2018/05/02/KMLB/KMLB20180502_174501_V06']"
T,PC12,DUG UUA /OV SVC022030/TM 2030/FL100/TP PC12/TB SEV 100-150/RM ZAB,SEV 100-150,,10000.0,33.10017947826705,-107.93395018292138,2018-05-02 20:30:00,5.0,L,"('KHDX', 'KEPZ', 'KABX', 'KEMX', 'KFSX')","['s3://unidata-nexrad-level2/2018/05/02/KHDX/KHDX20180502_202347_V06', 's3://unidata-nexrad-level2/2018/05/02/KEPZ/KEPZ20180502_202709_V06', 's3://unidata-nexrad-level2/2018/05/02/KABX/KABX20180502_202532_V06', 's3://unidata-nexrad-level2/2018/05/02/KEMX/KEMX20180502_202336_V06', 's3://unidata-nexrad-level2/2018/05/02/KFSX/KFSX20180502_202652_V06']"
T,A306,EVU UUA /OV K57/TM 2145/FL200/TP A306/TB SEV 220-200,SEV 220-200,,20000.0,40.44,-95.36,2018-05-02 21:45:00,5.0,H,"('KOAX', 'KTWX', 'KDMX', 'KEAX', 'KUEX')","['s3://unidata-nexrad-level2/2018/05/02/KOAX/KOAX20180502_214221_V06', 's3://unidata-nexrad-level2/2018/05/02/KTWX/KTWX20180502_213802_V06', 's3://unidata-nexrad-level2/2018/05/02/KDMX/KDMX20180502_214358_V06', 's3://unidata-nexrad-level2/2018/05/02/KEAX/KEAX20180502_214308_V06', 's3://unidata-nexrad-level2/2018/05/02/KUEX/KUEX20180502_213957_V06']"
T,C680,BVN UUA /OV OBH105030/TM 2203/FL430/TP C680/TB SEV,SEV,,43000.0,41.25057999526693,-97.7062907049351,2018-05-02 22:03:00,5.0,U,"('KOAX', 'KUEX', 'KLNX', 'KFSD', 'KDMX')","['s3://unidata-nexrad-level2/2018/05/02/KOAX/KOAX20180502_215946_V06', 's3://unidata-nexrad-level2/2018/05/02/KUEX/KUEX20180502_220048_V06', 's3://unidata-nexrad-level2/2018/05/02/KLNX/KLNX20180502_215857_V06', 's3://unidata-nexrad-level2/2018/05/02/KFSD/KFSD20180502_220151_V06', 's3://unidata-nexrad-level2/2018/05/02/KDMX/KDMX20180502_220124_V06']"
