URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight,nexrad_sites,aws_files
F,B737,MBPV UA /OV PVN004126/TM 1727/FL380/TP B737/TB LGT-MOD,LGT-MOD,,38000.0,23.865054191360265,-72.10224874315432,2018-01-04 17:27:00+00:00,2.0,0,M,"('KAMX', 'KAMX', 'KMLB', 'KBYX', 'KTBW')","['s3://unidata-nexrad-level2/2018/01/04/KAMX/KAMX20180104_172024_V06', 's3://unidata-nexrad-level2/2018/01/04/KAMX/KAMX20180104_172024_V06', 's3://unidata-nexrad-level2/2018/01/04/KTBW/KTBW20180104_171725_V06']"
F,BE33,HII UA /OV PKE045003 /TM 2124 /FL045 /TP BE33 /SK SKC /TA 20 /TB NEG,NEG,,4500.0,34.13535820284466,-114.63729996792956,2018-01-19 21:24:00+00:00,0.0,0,L,"('KESX', 'KYUX', 'KNKX', 'KSOX', 'KEYX')","['s3://unidata-nexrad-level2/2018/01/19/KESX/KESX20180119_212001_V06', 's3://unidata-nexrad-level2/2018/01/19/KYUX/KYUX20180119_211714_V06', 's3://unidata-nexrad-level2/2018/01/19/KNKX/KNKX20180119_212231_V06', 's3://unidata-nexrad-level2/2018/01/19/KSOX/KSOX20180119_212136_V06', 's3://unidata-nexrad-level2/2018/01/19/KEYX/KEYX20180119_211952_V06']"
T,BE9,FAT UUA /OV 3757N 11906W/TM 0315/FL160/TP BE9/TB SEV/RM POSSIBLE MTN WAVE...ZOA CWSU,SEV,,16000.0,37.95,-119.1,2018-01-19 03:15:00+00:00,5.0,0,L,"('KHNX', 'KDAX', 'KRGX', 'KMUX', 'KBBX')","['s3://unidata-nexrad-level2/2018/01/19/KHNX/KHNX20180119_030840_V06', 's3://unidata-nexrad-level2/2018/01/19/KDAX/KDAX20180119_031337_V06', 's3://unidata-nexrad-level2/2018/01/19/KRGX/KRGX20180119_031202_V06', 's3://unidata-nexrad-level2/2018/01/19/KMUX/KMUX20180119_031209_V06', 's3://unidata-nexrad-level2/2018/01/19/KBBX/KBBX20180119_031413_V06']"
F,B737,PIT UA /OV PIT/TM 1943/FL150/TP B737/TB CONS LGT CHOP/IC NEG/RM ZOB/PT,CONS LGT CHOP,,15000.0,40.49147,-80.23286,2018-01-12 19:43:00+00:00,1.0,0,M,"('KCLE', 'KPBZ', 'KCCX', 'KRLX', 'KLWX')","['s3://unidata-nexrad-level2/2018/01/12/KCLE/KCLE20180112_194224_V06', 's3://unidata-nexrad-level2/2018/01/12/KPBZ/KPBZ20180112_194140_V06', 's3://unidata-nexrad-level2/2018/01/12/KCCX/KCCX20180112_194209_V06', 's3://unidata-nexrad-level2/2018/01/12/KRLX/KRLX20180112_193628_V06', 's3://unidata-nexrad-level2/2018/01/12/KLWX/KLWX20180112_193835_V06']"
F,PA31,MRI UA /OV TED140005/TM 0250/FL025/TP PA31/TB SEV,SEV,,2500.0,61.106157792268256,-149.87890794100264,2018-01-12 02:50:00+00:00,5.0,0,L,"('PAHG', 'PAIH', 'PAIH', 'PAPD', 'PAKC')","['s3://unidata-nexrad-level2/2018/01/12/PAHG/PAHG20180112_024723_V06', 's3://unidata-nexrad-level2/2018/01/12/PAIH/PAIH20180112_024851_V06', 's3://unidata-nexrad-level2/2018/01/12/PAIH/PAIH20180112_024851_V06', 's3://unidata-nexrad-level2/2018/01/12/PAPD/PAPD20180112_024929_V06', 's3://unidata-nexrad-level2/2018/01/12/PAKC/PAKC20180112_024653_V06']"
T,B737,ATL UUA /OV RMG090020/TM 1819/FL350/TP B737/TB SEV CHOP/RM MTW -10 KT/ZTLFD,SEV CHOP,,35000.0,34.34778,-84.75734425557097,2018-01-06 18:19:00+00:00,5.0,0,M,"('KFFC', 'KHTX', 'KGSP', 'KMXX', 'KJGX')","['s3://unidata-nexrad-level2/2018/01/06/KFFC/KFFC20180106_181609_V06', 's3://unidata-nexrad-level2/2018/01/06/KHTX/KHTX20180106_181549_V06', 's3://unidata-nexrad-level2/2018/01/06/KGSP/KGSP20180106_181714_V06', 's3://unidata-nexrad-level2/2018/01/06/KMXX/KMXX20180106_181413_V06', 's3://unidata-nexrad-level2/2018/01/06/KJGX/KJGX20180106_181135_V06']"
T,B788,CDB UUA /OV CDB034061/TM 0205/FL380/TP B788/TB SEV/RM 20 MILES ON BOTH SIDES OF 160W,SEV,,38000.0,56.04292313674333,-161.72377550671567,2018-01-30 02:05:00+00:00,5.0,0,U,"('PABC', 'PAKC', 'PAEC', 'PAHG', 'PAIH')","['s3://unidata-nexrad-level2/2018/01/30/PABC/PABC20180130_015909_V06', 's3://unidata-nexrad-level2/2018/01/30/PAKC/PAKC20180130_015910_V06', 's3://unidata-nexrad-level2/2018/01/30/PAEC/PAEC20180130_015927_V06', 's3://unidata-nexrad-level2/2018/01/30/PAHG/PAHG20180130_020052_V06', 's3://unidata-nexrad-level2/2018/01/30/PAIH/PAIH20180130_020157_V06']"
F,B190,UUA /OV CYMX 080040 /TM 0105 /FL080 /TP B190 /TB SEV 080 /RM LCL CONDITIONS WITHIN 5 NM,SEV 080,,8000.0,45.79527482878892,-73.09889807565816,2018-01-13 01:05:00+00:00,5.0,0,M,"('KCXX', 'KTYX', 'KGYX', 'KENX', 'KBOX')","['s3://unidata-nexrad-level2/2018/01/13/KCXX/KCXX20180113_010029_V06', 's3://unidata-nexrad-level2/2018/01/13/KTYX/KTYX20180113_010249_V06', 's3://unidata-nexrad-level2/2018/01/13/KGYX/KGYX20180113_010056_V06', 's3://unidata-nexrad-level2/2018/01/13/KENX/KENX20180113_010010_V06', 's3://unidata-nexrad-level2/2018/01/13/KBOX/KBOX20180113_010331_V06']"
F,WW24,CPR UA /OV CPR030003/TM 2225/FL065/TP WW24/TB LGT CHOP/RM LLWS +10 KT 3 MILE FINAL RY 21 DURD,LGT CHOP,,6500.0,42.95130477759562,-106.43028511221264,2018-01-09 22:25:00+00:00,1.0,0,M,"('KRIW', 'KCYS', 'KUDX', 'KBLX', 'KFTG')","['s3://unidata-nexrad-level2/2018/01/09/KRIW/KRIW20180109_221957_V06', 's3://unidata-nexrad-level2/2018/01/09/KCYS/KCYS20180109_222255_V06', 's3://unidata-nexrad-level2/2018/01/09/KUDX/KUDX20180109_220919_V06', 's3://unidata-nexrad-level2/2018/01/09/KBLX/KBLX20180109_222343_V06', 's3://unidata-nexrad-level2/2018/01/09/KFTG/KFTG20180109_221850_V06']"
F,C172,CXO UA /OV 14E TNV/TM 2300/FL040/TP C172/TB LGT TURB/RM LGT RA,LGT TURB,,4000.0,30.29,-95.78975487324092,2018-01-21 23:00:00+00:00,1.0,0,L,"('KHGX', 'KGRK', 'KEWX', 'KLCH', 'KFWS')","['s3://unidata-nexrad-level2/2018/01/21/KHGX/KHGX20180121_225547_V06', 's3://unidata-nexrad-level2/2018/01/21/KGRK/KGRK20180121_225716_V06', 's3://unidata-nexrad-level2/2018/01/21/KEWX/KEWX20180121_225735_V06', 's3://unidata-nexrad-level2/2018/01/21/KLCH/KLCH20180121_225600_V06', 's3://unidata-nexrad-level2/2018/01/21/KFWS/KFWS20180121_225625_V06']"
T,S22T,PDX UUA /OV 15SW UBG/TM 1750/FL060/TP S22T/TB SEV/RM NO DAMAGE OR INJURIES REPORTED,SEV,,6000.0,45.173208985776725,-123.23156163663027,2018-01-11 17:50:00+00:00,5.0,0,U,"('KRTX', 'KLGX', 'KATX', 'KMAX', 'KPDT')","['s3://unidata-nexrad-level2/2018/01/11/KRTX/KRTX20180111_174547_V06', 's3://unidata-nexrad-level2/2018/01/11/KATX/KATX20180111_174850_V06', 's3://unidata-nexrad-level2/2018/01/11/KMAX/KMAX20180111_174533_V06', 's3://unidata-nexrad-level2/2018/01/11/KPDT/KPDT20180111_174505_V06']"
T,B763,PBG UUA /OV PBG/TM 0034/FL180/TP B763/TB SEV CAT,SEV CAT,,18000.0,44.65094,-73.46814,2018-01-24 00:34:00+00:00,5.0,0,H,"('KCXX', 'KTYX', 'KENX', 'KGYX', 'KBGM')","['s3://unidata-nexrad-level2/2018/01/24/KCXX/KCXX20180124_003115_V06', 's3://unidata-nexrad-level2/2018/01/24/KTYX/KTYX20180124_003320_V06', 's3://unidata-nexrad-level2/2018/01/24/KENX/KENX20180124_003027_V06', 's3://unidata-nexrad-level2/2018/01/24/KGYX/KGYX20180124_003331_V06', 's3://unidata-nexrad-level2/2018/01/24/KBGM/KBGM20180124_003239_V06']"
F,B757,OKK UA /OV OKK180010/TM 1922/FL370/TP B757/TB LGT-MOD CHOP,LGT-MOD CHOP,,37000.0,40.36149983331983,-86.05899,2018-01-22 19:22:00+00:00,2.0,0,M,"('KIND', 'KIWX', 'KILN', 'KLOT', 'KLVX')","['s3://unidata-nexrad-level2/2018/01/22/KIND/KIND20180122_191756_V06', 's3://unidata-nexrad-level2/2018/01/22/KIWX/KIWX20180122_191919_V06', 's3://unidata-nexrad-level2/2018/01/22/KILN/KILN20180122_191729_V06', 's3://unidata-nexrad-level2/2018/01/22/KLOT/KLOT20180122_191425_V06', 's3://unidata-nexrad-level2/2018/01/22/KLVX/KLVX20180122_191933_V06']"
F,B747,ITO UA /OV 2753N 14143W/TM 1401/FL320/TP B747/TB MOD/RM ZOA CWSU,MOD,,32000.0,27.8833,-141.7166,2018-01-12 14:01:00+00:00,3.0,0,H,"('PHKM', 'PHWA', 'PHMO', 'PHKI', 'KBHX')","['s3://unidata-nexrad-level2/2018/01/12/PHKM/PHKM20180112_140018_V06', 's3://unidata-nexrad-level2/2018/01/12/PHWA/PHWA20180112_140025_V06', 's3://unidata-nexrad-level2/2018/01/12/PHMO/PHMO20180112_140015_V06', 's3://unidata-nexrad-level2/2018/01/12/PHKI/PHKI20180112_135800_V06', 's3://unidata-nexrad-level2/2018/01/12/KBHX/KBHX20180112_135729_V06']"
