,URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
28440,F,E190,FIT UA /OV GDM110015/TM 1242/FL140/TP E190/TB OCNL MOD CHOP,OCNL MOD CHOP,,14000.0,42.45448803825376,-71.69113405504972,2024-02-16 12:42:00,3.0,U,"('KBOX', 'KOKX', 'KGYX', 'KENX', 'KCXX')","['s3://noaa-nexrad-level2/2024/02/16/KBOX/KBOX20240216_123745_V06', 's3://noaa-nexrad-level2/2024/02/16/KOKX/KOKX20240216_123541_V06', 's3://noaa-nexrad-level2/2024/02/16/KGYX/KGYX20240216_124049_V06', 's3://noaa-nexrad-level2/2024/02/16/KENX/KENX20240216_123938_V06', 's3://noaa-nexrad-level2/2024/02/16/KCXX/KCXX20240216_123950_V06']"
28441,F,B737,HTS UA /OV ECB/TM 1243/FL370/TP B737/TB OCNL LGT CHOP,OCNL LGT CHOP,,37000.0,38.16,-82.91,2024-02-16 12:43:00,1.0,M,"('KJKL', 'KRLX', 'KILN', 'KMRX', 'KFCX')","['s3://noaa-nexrad-level2/2024/02/16/KJKL/KJKL20240216_123757_V06', 's3://noaa-nexrad-level2/2024/02/16/KRLX/KRLX20240216_124111_V06', 's3://noaa-nexrad-level2/2024/02/16/KILN/KILN20240216_124144_V06', 's3://noaa-nexrad-level2/2024/02/16/KMRX/KMRX20240216_123748_V06', 's3://noaa-nexrad-level2/2024/02/16/KFCX/KFCX20240216_123534_V06']"
28442,F,H25B,LEX UA /OV FLM180015/TM 1244/FL390/TP H25B/TB CONS LGT CHOP,CONS LGT CHOP,,39000.0,38.39997974997975,-84.31,2024-02-16 12:44:00,1.0,M,"('KILN', 'KJKL', 'KLVX', 'KIND', 'KMRX')","['s3://noaa-nexrad-level2/2024/02/16/KILN/KILN20240216_124144_V06', 's3://noaa-nexrad-level2/2024/02/16/KJKL/KJKL20240216_123757_V06', 's3://noaa-nexrad-level2/2024/02/16/KLVX/KLVX20240216_124016_V06', 's3://noaa-nexrad-level2/2024/02/16/KIND/KIND20240216_123955_V06', 's3://noaa-nexrad-level2/2024/02/16/KMRX/KMRX20240216_123748_V06']"
28443,F,B757,PWK UA /OV OBK270010/TM 1244/FL320/TP B757/TB OCNL LGT,OCNL LGT,,32000.0,42.22,-88.17507008044578,2024-02-16 12:44:00,1.0,M,"('KLOT', 'KMKX', 'KGRB', 'KILX', 'KDVN')","['s3://noaa-nexrad-level2/2024/02/16/KLOT/KLOT20240216_124341_V06', 's3://noaa-nexrad-level2/2024/02/16/KMKX/KMKX20240216_123742_V06', 's3://noaa-nexrad-level2/2024/02/16/KGRB/KGRB20240216_123912_V06', 's3://noaa-nexrad-level2/2024/02/16/KILX/KILX20240216_123854_V06', 's3://noaa-nexrad-level2/2024/02/16/KDVN/KDVN20240216_124214_V06']"
28444,F,B39M,CHA UA /OV GQO230010/TM 1244/FL300/TP B39M/TB NEG/RM ZTLFD-06,NEG,,30000.0,34.8528600540775,-85.30579776802593,2024-02-16 12:44:00,0.0,U,"('KHTX', 'KFFC', 'KOHX', 'KBMX', 'KMRX')","['s3://noaa-nexrad-level2/2024/02/16/KHTX/KHTX20240216_124311_V06', 's3://noaa-nexrad-level2/2024/02/16/KFFC/KFFC20240216_123827_V06', 's3://noaa-nexrad-level2/2024/02/16/KOHX/KOHX20240216_124341_V06', 's3://noaa-nexrad-level2/2024/02/16/KBMX/KBMX20240216_124321_V06', 's3://noaa-nexrad-level2/2024/02/16/KMRX/KMRX20240216_123748_V06']"
28445,F,B739,LAL UA /OV LAL270045/TM 1244/FL190/TP B739/TB NEG,NEG,,19000.0,27.98892,-82.86796901857018,2024-02-16 12:44:00,0.0,M,"('KTBW', 'KMLB', 'KJAX', 'KTLH', 'KVAX')","['s3://noaa-nexrad-level2/2024/02/16/KTBW/KTBW20240216_123812_V06', 's3://noaa-nexrad-level2/2024/02/16/KMLB/KMLB20240216_124127_V06', 's3://noaa-nexrad-level2/2024/02/16/KJAX/KJAX20240216_123923_V06', 's3://noaa-nexrad-level2/2024/02/16/KTLH/KTLH20240216_123909_V06', 's3://noaa-nexrad-level2/2024/02/16/KVAX/KVAX20240216_124204_V06']"
28446,F,A320,LEX UA /OV HYK/TM 1244/FL380/TP A320/TB NEG,NEG,,38000.0,37.97,-84.47,2024-02-16 12:44:00,0.0,M,"('KJKL', 'KLVX', 'KILN', 'KMRX', 'KIND')","['s3://noaa-nexrad-level2/2024/02/16/KJKL/KJKL20240216_123757_V06', 's3://noaa-nexrad-level2/2024/02/16/KLVX/KLVX20240216_124016_V06', 's3://noaa-nexrad-level2/2024/02/16/KILN/KILN20240216_124144_V06', 's3://noaa-nexrad-level2/2024/02/16/KMRX/KMRX20240216_123748_V06', 's3://noaa-nexrad-level2/2024/02/16/KIND/KIND20240216_123955_V06']"
28447,F,A21N,MDQ UA /OV RQZ020025/TM 1245/FL330/TP A21N/TB INTMT LGT CHOP/RM ZTLFD-06,INTMT LGT CHOP,,33000.0,35.19157030665179,-86.45643844180998,2024-02-16 12:45:00,1.0,U,"('KHTX', 'KOHX', 'KHPX', 'KBMX', 'KGWX')","['s3://noaa-nexrad-level2/2024/02/16/KHTX/KHTX20240216_124311_V06', 's3://noaa-nexrad-level2/2024/02/16/KOHX/KOHX20240216_124341_V06', 's3://noaa-nexrad-level2/2024/02/16/KHPX/KHPX20240216_124006_V06', 's3://noaa-nexrad-level2/2024/02/16/KBMX/KBMX20240216_124321_V06', 's3://noaa-nexrad-level2/2024/02/16/KGWX/KGWX20240216_124028_V06']"
28448,F,A320,AMG UA /OV AMG180010/TM 1245/FL370/TP A320/TB NEG,NEG,,37000.0,31.36937983331984,-82.50656,2024-02-16 12:45:00,0.0,M,"('KVAX', 'KJAX', 'KJGX', 'KCLX', 'KTLH')","['s3://noaa-nexrad-level2/2024/02/16/KVAX/KVAX20240216_124204_V06', 's3://noaa-nexrad-level2/2024/02/16/KJAX/KJAX20240216_123923_V06', 's3://noaa-nexrad-level2/2024/02/16/KJGX/KJGX20240216_020434_V06', 's3://noaa-nexrad-level2/2024/02/16/KCLX/KCLX20240216_123656_V06', 's3://noaa-nexrad-level2/2024/02/16/KTLH/KTLH20240216_123909_V06']"
28449,F,B763,1H2 UA /OV ENL/TM 1245/FL360/TP B763/TB LGT CHOP/RM ZKC FDC AF/DL,LGT CHOP,,36000.0,38.51508,-89.09114,2024-02-16 12:45:00,1.0,H,"('KVWX', 'KPAH', 'KLSX', 'KILX', 'KHPX')","['s3://noaa-nexrad-level2/2024/02/16/KVWX/KVWX20240216_124447_V06', 's3://noaa-nexrad-level2/2024/02/16/KLSX/KLSX20240216_124020_V06', 's3://noaa-nexrad-level2/2024/02/16/KILX/KILX20240216_124456_V06', 's3://noaa-nexrad-level2/2024/02/16/KHPX/KHPX20240216_124006_V06']"
