,URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
12798,F,BE20,AMG UA /OV AMG330033/TM 2233/FL190/TP BE20/TB OCNL LGT CHOP/IC NEG,OCNL LGT CHOP,,19000.0,32.01241255355176,-82.82923825442886,2024-02-08 22:33:00,1.0,M,"('KJGX', 'KVAX', 'KJAX', 'KCLX', 'KFFC')","['s3://noaa-nexrad-level2/2024/02/08/KJGX/KJGX20240208_222751_V06', 's3://noaa-nexrad-level2/2024/02/08/KVAX/KVAX20240208_223156_V06', 's3://noaa-nexrad-level2/2024/02/08/KJAX/KJAX20240208_223222_V06', 's3://noaa-nexrad-level2/2024/02/08/KCLX/KCLX20240208_222958_V06', 's3://noaa-nexrad-level2/2024/02/08/KFFC/KFFC20240208_223254_V06']"
12799,F,C172,DPA UA /OV KDPA/TM 2233/FL020/TP C172/TB LGT-MOD BLO 020,LGT-MOD BLO 020,,2000.0,41.90778,-88.24861,2024-02-08 22:33:00,2.0,L,"('KLOT', 'KMKX', 'KILX', 'KDVN', 'KGRB')","['s3://noaa-nexrad-level2/2024/02/08/KLOT/KLOT20240208_222956_V06', 's3://noaa-nexrad-level2/2024/02/08/KMKX/KMKX20240208_222925_V06', 's3://noaa-nexrad-level2/2024/02/08/KILX/KILX20240208_223113_V06', 's3://noaa-nexrad-level2/2024/02/08/KDVN/KDVN20240208_223124_V06', 's3://noaa-nexrad-level2/2024/02/08/KGRB/KGRB20240208_223036_V06']"
12800,F,PC12,CID UA /OV KCID090001/TM 2233/FL012/TP PC12/TB LGT/RM +/-5 KT SFC-002 DURD RY27 CID,LGT,,1200.0,41.882899,-91.70220012360194,2024-02-08 22:33:00,1.0,L,"('KDVN', 'KARX', 'KDMX', 'KILX', 'KMKX')","['s3://noaa-nexrad-level2/2024/02/08/KDVN/KDVN20240208_223124_V06', 's3://noaa-nexrad-level2/2024/02/08/KARX/KARX20240208_222846_V06', 's3://noaa-nexrad-level2/2024/02/08/KDMX/KDMX20240208_223100_V06', 's3://noaa-nexrad-level2/2024/02/08/KILX/KILX20240208_223113_V06', 's3://noaa-nexrad-level2/2024/02/08/KMKX/KMKX20240208_222925_V06']"
12801,F,PC12,ESC UA /OV ESC/TM 2233/FL150/TP PC12/TA M13/TB MOD 060-120/IC MOD RIME 150-100,MOD 060-120,,15000.0,45.72267,-87.09372,2024-02-08 22:33:00,3.0,L,"('KMQT', 'KGRB', 'KAPX', 'KMKX', 'KGRR')","['s3://noaa-nexrad-level2/2024/02/08/KMQT/KMQT20240208_223131_V06', 's3://noaa-nexrad-level2/2024/02/08/KGRB/KGRB20240208_223036_V06', 's3://noaa-nexrad-level2/2024/02/08/KAPX/KAPX20240208_223102_V06', 's3://noaa-nexrad-level2/2024/02/08/KMKX/KMKX20240208_222925_V06', 's3://noaa-nexrad-level2/2024/02/08/KGRR/KGRR20240208_223143_V06']"
12802,F,C172,UAO UA /OV KUAO/TM 2234/FL035/TP C172/SK BKN035-TOPUNKN/TB NEG/RM DURD RWY 35,NEG,,3500.0,45.25,-122.77,2024-02-08 22:34:00,0.0,L,"('KRTX', 'KLGX', 'KATX', 'KMAX', 'KPDT')","['s3://noaa-nexrad-level2/2024/02/08/KRTX/KRTX20240208_223331_V06', 's3://noaa-nexrad-level2/2024/02/08/KLGX/KLGX20240208_222845_V06', 's3://noaa-nexrad-level2/2024/02/08/KATX/KATX20240208_222929_V06', 's3://noaa-nexrad-level2/2024/02/08/KMAX/KMAX20240208_222920_V06', 's3://noaa-nexrad-level2/2024/02/08/KPDT/KPDT20240208_223352_V06']"
12803,F,B738,LWD UA /OV LMN/TM 2235/FL330/TP B738/TB OCNL LGT CHOP,OCNL LGT CHOP,,33000.0,40.6,-93.97,2024-02-08 22:35:00,1.0,M,"('KDMX', 'KEAX', 'KOAX', 'KTWX', 'KSGF')","['s3://noaa-nexrad-level2/2024/02/08/KDMX/KDMX20240208_223100_V06', 's3://noaa-nexrad-level2/2024/02/08/KEAX/KEAX20240208_223448_V06', 's3://noaa-nexrad-level2/2024/02/08/KOAX/KOAX20240208_223148_V06', 's3://noaa-nexrad-level2/2024/02/08/KTWX/KTWX20240208_223002_V06', 's3://noaa-nexrad-level2/2024/02/08/KSGF/KSGF20240208_223238_V06']"
12804,F,B738,MSN UA /OV MSN/TM 2235/FL360/TP B738/TB MOD CHOP,MOD CHOP,,36000.0,43.14056,-89.34528,2024-02-08 22:35:00,3.0,M,"('KMKX', 'KGRB', 'KDVN', 'KARX', 'KLOT')","['s3://noaa-nexrad-level2/2024/02/08/KMKX/KMKX20240208_223321_V06', 's3://noaa-nexrad-level2/2024/02/08/KGRB/KGRB20240208_223036_V06', 's3://noaa-nexrad-level2/2024/02/08/KDVN/KDVN20240208_223124_V06', 's3://noaa-nexrad-level2/2024/02/08/KARX/KARX20240208_223312_V06', 's3://noaa-nexrad-level2/2024/02/08/KLOT/KLOT20240208_223328_V06']"
12805,F,CRJ9,AVL UA /OV SUG050020/TM 2235/FL130/TP CRJ9/TB MOD 180-150/RM ZTLFD-44,MOD 180-150,,13000.0,35.62427989184499,-81.95667426810083,2024-02-08 22:35:00,3.0,U,"('KGSP', 'KMRX', 'KCAE', 'KFCX', 'KJKL')","['s3://noaa-nexrad-level2/2024/02/08/KGSP/KGSP20240208_222730_V06', 's3://noaa-nexrad-level2/2024/02/08/KMRX/KMRX20240208_223202_V06', 's3://noaa-nexrad-level2/2024/02/08/KCAE/KCAE20240208_222550_V06', 's3://noaa-nexrad-level2/2024/02/08/KFCX/KFCX20240208_222801_V06', 's3://noaa-nexrad-level2/2024/02/08/KJKL/KJKL20240208_223415_V06']"
12806,F,PC12,LWV UA /OV LWV/TM 2235/FL190/TP PC12/TB NEG/IC NEG/RM DURD,NEG,,19000.0,38.76428,-87.6055,2024-02-08 22:35:00,0.0,L,"('KVWX', 'KIND', 'KLVX', 'KHPX', 'KPAH')","['s3://noaa-nexrad-level2/2024/02/08/KVWX/KVWX20240208_223315_V06', 's3://noaa-nexrad-level2/2024/02/08/KIND/KIND20240208_223340_V06', 's3://noaa-nexrad-level2/2024/02/08/KLVX/KLVX20240208_223040_V06', 's3://noaa-nexrad-level2/2024/02/08/KHPX/KHPX20240208_223201_V06', 's3://noaa-nexrad-level2/2024/02/08/KPAH/KPAH20240208_222900_V06']"
12807,F,B739,CDV UA /OV MDO075115/TM 2235/FL360/TP B739/TB CONT LGT OCNL MOD/RM /ZAN/,CONT LGT OCNL MOD,,36000.0,59.93611001814343,-142.65845643848485,2024-02-08 22:35:00,2.0,M,"('PAIH', 'PAIH', 'PAPD', 'PACG', 'PAHG')","['s3://noaa-nexrad-level2/2024/02/08/PAIH/PAIH20240208_223124_V06', 's3://noaa-nexrad-level2/2024/02/08/PAIH/PAIH20240208_223124_V06', 's3://noaa-nexrad-level2/2024/02/08/PAPD/PAPD20240208_223138_V06', 's3://noaa-nexrad-level2/2024/02/08/PACG/PACG20240208_223145_V06', 's3://noaa-nexrad-level2/2024/02/08/PAHG/PAHG20240208_223344_V06']"
