,URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
9480,F,E170,1H2 UA /OV BIB/TM 1324/FL340/TP E170/TB LGT CONS CHOP/RM ZKCFDC,LGT CONS CHOP,,34000.0,38.92,-88.48,2024-02-07 13:24:00,1.0,U,"('KVWX', 'KILX', 'KPAH', 'KLSX', 'KIND')","['s3://noaa-nexrad-level2/2024/02/07/KVWX/KVWX20240207_131837_V06', 's3://noaa-nexrad-level2/2024/02/07/KILX/KILX20240207_131733_V06', 's3://noaa-nexrad-level2/2024/02/07/KPAH/KPAH20240207_132040_V06', 's3://noaa-nexrad-level2/2024/02/07/KLSX/KLSX20240207_132258_V06', 's3://noaa-nexrad-level2/2024/02/07/KIND/KIND20240207_131722_V06']"
9481,F,CL60,EYW UA /OV EYW250090/TM 1324/FL360/TP CL60/TB MOD,MOD,,36000.0,24.043039329522525,-83.30938331185679,2024-02-07 13:24:00,3.0,M,"('KBYX', 'KAMX', 'KAMX', 'KTBW', 'KMLB')","['s3://noaa-nexrad-level2/2024/02/07/KBYX/KBYX20240207_132023_V06', 's3://noaa-nexrad-level2/2024/02/07/KAMX/KAMX20240207_132000_V06', 's3://noaa-nexrad-level2/2024/02/07/KAMX/KAMX20240207_132000_V06', 's3://noaa-nexrad-level2/2024/02/07/KTBW/KTBW20240207_132129_V06', 's3://noaa-nexrad-level2/2024/02/07/KMLB/KMLB20240207_125334_V06']"
9482,F,B190,SPW UA /OV SPW/TM 1325/FL220/TP B190/TB NEG,NEG,,22000.0,43.168218,-95.210088,2024-02-07 13:25:00,0.0,M,"('KFSD', 'KDMX', 'KOAX', 'KMPX', 'KABR')","['s3://noaa-nexrad-level2/2024/02/07/KFSD/KFSD20240207_132441_V06', 's3://noaa-nexrad-level2/2024/02/07/KDMX/KDMX20240207_132200_V06', 's3://noaa-nexrad-level2/2024/02/07/KOAX/KOAX20240207_132134_V06', 's3://noaa-nexrad-level2/2024/02/07/KMPX/KMPX20240207_131808_V06', 's3://noaa-nexrad-level2/2024/02/07/KABR/KABR20240207_131923_V06']"
9483,F,C68A,MSN UA /OV MSN/TM 1326/FL380/TP C68A/TB LGT MOD,LGT MOD,,38000.0,43.14056,-89.34528,2024-02-07 13:26:00,2.0,U,"('KMKX', 'KGRB', 'KDVN', 'KARX', 'KLOT')","['s3://noaa-nexrad-level2/2024/02/07/KMKX/KMKX20240207_132211_V06', 's3://noaa-nexrad-level2/2024/02/07/KGRB/KGRB20240207_132359_V06', 's3://noaa-nexrad-level2/2024/02/07/KDVN/KDVN20240207_131955_V06', 's3://noaa-nexrad-level2/2024/02/07/KARX/KARX20240207_132115_V06', 's3://noaa-nexrad-level2/2024/02/07/KLOT/KLOT20240207_132129_V06']"
9484,F,E170,TUL UA /OV TUL/TM 1326/FL290/TP E170/TB LGT-MOD CHOP 290-300/RM ZKCFDC,LGT-MOD CHOP 290-300,,29000.0,36.19839,-95.88811,2024-02-07 13:26:00,2.0,U,"('KINX', 'KTLX', 'KSRX', 'KOUN', 'KICT')","['s3://noaa-nexrad-level2/2024/02/07/KINX/KINX20240207_132325_V06', 's3://noaa-nexrad-level2/2024/02/07/KTLX/KTLX20240207_132126_V06', 's3://noaa-nexrad-level2/2024/02/07/KSRX/KSRX20240207_132301_V06', 's3://noaa-nexrad-level2/2024/02/07/KICT/KICT20240207_132113_V06']"
9485,F,B737,AJG UA /OV SAM/TM 1327/FL220/TP B737/TB LGT CONS CHOP/RM ZKCFDC,LGT CONS CHOP,,22000.0,38.49,-88.09,2024-02-07 13:27:00,1.0,M,"('KVWX', 'KPAH', 'KHPX', 'KILX', 'KIND')","['s3://noaa-nexrad-level2/2024/02/07/KVWX/KVWX20240207_132544_V06', 's3://noaa-nexrad-level2/2024/02/07/KPAH/KPAH20240207_132040_V06', 's3://noaa-nexrad-level2/2024/02/07/KHPX/KHPX20240207_132350_V06', 's3://noaa-nexrad-level2/2024/02/07/KILX/KILX20240207_132433_V06', 's3://noaa-nexrad-level2/2024/02/07/KIND/KIND20240207_132434_V06']"
9486,F,E170,TQE UA /OV LNK360070/TM 1327/FL350/TP E170/TB CONS LGT,CONS LGT,,35000.0,41.99793916676117,-96.763275,2024-02-07 13:27:00,1.0,U,"('KOAX', 'KFSD', 'KUEX', 'KTWX', 'KDMX')","['s3://noaa-nexrad-level2/2024/02/07/KOAX/KOAX20240207_132134_V06', 's3://noaa-nexrad-level2/2024/02/07/KFSD/KFSD20240207_132441_V06', 's3://noaa-nexrad-level2/2024/02/07/KUEX/KUEX20240207_132614_V06', 's3://noaa-nexrad-level2/2024/02/07/KTWX/KTWX20240207_131906_V06', 's3://noaa-nexrad-level2/2024/02/07/KDMX/KDMX20240207_132200_V06']"
9487,F,B757,MTO UA /OV MTO090015/TM 1328/FL380/TP B757/TB INTMT LGT CHOP/RM ZKCFDC,INTMT LGT CHOP,,38000.0,39.47794,-87.95532478753768,2024-02-07 13:28:00,1.0,M,"('KVWX', 'KILX', 'KIND', 'KLOT', 'KLVX')","['s3://noaa-nexrad-level2/2024/02/07/KVWX/KVWX20240207_132544_V06', 's3://noaa-nexrad-level2/2024/02/07/KILX/KILX20240207_132433_V06', 's3://noaa-nexrad-level2/2024/02/07/KIND/KIND20240207_132434_V06', 's3://noaa-nexrad-level2/2024/02/07/KLOT/KLOT20240207_132129_V06', 's3://noaa-nexrad-level2/2024/02/07/KLVX/KLVX20240207_132701_V06']"
9488,F,E75L,IOW UA /OV IOW/TM 1329/FL390/TP E75L/TB INTMT LGT CHOP,INTMT LGT CHOP,,39000.0,41.63939,-91.544535,2024-02-07 13:29:00,1.0,U,"('KDVN', 'KDMX', 'KARX', 'KILX', 'KLSX')","['s3://noaa-nexrad-level2/2024/02/07/KDVN/KDVN20240207_132658_V06', 's3://noaa-nexrad-level2/2024/02/07/KDMX/KDMX20240207_132200_V06', 's3://noaa-nexrad-level2/2024/02/07/KARX/KARX20240207_132806_V06', 's3://noaa-nexrad-level2/2024/02/07/KILX/KILX20240207_132433_V06', 's3://noaa-nexrad-level2/2024/02/07/KLSX/KLSX20240207_132717_V06']"
9489,F,B737,HLG UA /OV HLG/TM 1330/FL410/TP B737/TB CONS LGT OCNL MOD,CONS LGT OCNL MOD,,41000.0,40.175,-80.64628,2024-02-07 13:30:00,2.0,M,"('KPBZ', 'KCLE', 'KRLX', 'KCCX', 'KFCX')","['s3://noaa-nexrad-level2/2024/02/07/KPBZ/KPBZ20240207_132450_V06', 's3://noaa-nexrad-level2/2024/02/07/KCLE/KCLE20240207_132544_V06', 's3://noaa-nexrad-level2/2024/02/07/KRLX/KRLX20240207_132406_V06', 's3://noaa-nexrad-level2/2024/02/07/KCCX/KCCX20240207_132403_V06', 's3://noaa-nexrad-level2/2024/02/07/KFCX/KFCX20240207_132711_V06']"
