,URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
11376,F,A321,GSO UA /OV GSO/TM 0312/FL390/TP A321/TB NEG/RM ZTLFD-33,NEG,,39000.0,36.0975,-79.94361,2024-02-08 03:12:00,0.0,M,"('KFCX', 'KRAX', 'KCAE', 'KGSP', 'KLTX')","['s3://noaa-nexrad-level2/2024/02/08/KFCX/KFCX20240208_030926_V06', 's3://noaa-nexrad-level2/2024/02/08/KRAX/KRAX20240208_031112_V06', 's3://noaa-nexrad-level2/2024/02/08/KCAE/KCAE20240208_030946_V06', 's3://noaa-nexrad-level2/2024/02/08/KGSP/KGSP20240208_030400_V06', 's3://noaa-nexrad-level2/2024/02/08/KLTX/KLTX20240208_030650_V06']"
11377,F,PC12,FWA UA /OV OLK/TM 0313/FL210/TP PC12/TB OCNL LGT CHOP,OCNL LGT CHOP,,21000.0,41.25,-85.5,2024-02-08 03:13:00,1.0,L,"('KIWX', 'KGRR', 'KIND', 'KILN', 'KDTX')","['s3://noaa-nexrad-level2/2024/02/08/KIWX/KIWX20240208_030936_V06', 's3://noaa-nexrad-level2/2024/02/08/KGRR/KGRR20240208_030758_V06', 's3://noaa-nexrad-level2/2024/02/08/KIND/KIND20240208_031054_V06', 's3://noaa-nexrad-level2/2024/02/08/KILN/KILN20240208_031201_V06', 's3://noaa-nexrad-level2/2024/02/08/KDTX/KDTX20240208_030911_V06']"
11378,F,B739,GRR UA /OV VIO/TM 0313/FL330/TP B739/TB OCNL LGT CHOP,OCNL LGT CHOP,,33000.0,42.88210929,-85.5229853,2024-02-08 03:13:00,1.0,M,"('KGRR', 'KIWX', 'KDTX', 'KAPX', 'KLOT')","['s3://noaa-nexrad-level2/2024/02/08/KGRR/KGRR20240208_030758_V06', 's3://noaa-nexrad-level2/2024/02/08/KIWX/KIWX20240208_030936_V06', 's3://noaa-nexrad-level2/2024/02/08/KDTX/KDTX20240208_030911_V06', 's3://noaa-nexrad-level2/2024/02/08/KAPX/KAPX20240208_030838_V06', 's3://noaa-nexrad-level2/2024/02/08/KLOT/KLOT20240208_031219_V06']"
11379,F,B738,PDX UA /OV SEDAR240020/TM 0313/FL330/TP B738/TB CONS LGT-MOD/RM ...ZSE,CONS LGT-MOD,,33000.0,50.81248983331984,13.458129346305451,2024-02-08 03:13:00,2.0,M,"('LPLA', 'KCBW', 'KGYX', 'KBOX', 'KCXX')","['s3://noaa-nexrad-level2/2024/02/08/KCBW/KCBW20240208_030715_V06', 's3://noaa-nexrad-level2/2024/02/08/KGYX/KGYX20240208_030856_V06', 's3://noaa-nexrad-level2/2024/02/08/KBOX/KBOX20240208_030823_V06', 's3://noaa-nexrad-level2/2024/02/08/KCXX/KCXX20240208_030902_V06']"
11380,F,PC12,ONT UA /OV 15 N E ONT/TM 0313/FL080/TP PC12/TA -4/TB MOD CHOP/IC RIME,MOD CHOP,,8000.0,34.056,-117.60119,2024-02-08 03:13:00,3.0,L,"('KSOX', 'KEYX', 'KNKX', 'KVTX', 'KVBX')","['s3://noaa-nexrad-level2/2024/02/08/KSOX/KSOX20240208_031110_V06', 's3://noaa-nexrad-level2/2024/02/08/KEYX/KEYX20240208_031214_V06', 's3://noaa-nexrad-level2/2024/02/08/KNKX/KNKX20240208_030812_V06', 's3://noaa-nexrad-level2/2024/02/08/KVTX/KVTX20240208_030922_V06', 's3://noaa-nexrad-level2/2024/02/08/KVBX/KVBX20240208_030717_V06']"
11381,F,E75,BHM UA /OV VUZ265030/TM 0313/FL320/TP E75/TB LGT CHOP/RM ZTLFD-02,LGT CHOP,,32000.0,33.626418598815064,-87.49854727864674,2024-02-08 03:13:00,1.0,U,"('KBMX', 'KGWX', 'KHTX', 'KMXX', 'KOHX')","['s3://noaa-nexrad-level2/2024/02/08/KBMX/KBMX20240208_031227_V06', 's3://noaa-nexrad-level2/2024/02/08/KGWX/KGWX20240208_030950_V06', 's3://noaa-nexrad-level2/2024/02/08/KHTX/KHTX20240208_030949_V06', 's3://noaa-nexrad-level2/2024/02/08/KMXX/KMXX20240208_031222_V06', 's3://noaa-nexrad-level2/2024/02/08/KOHX/KOHX20240208_031120_V06']"
11382,F,B737,BHM UA /OV VUZ175015/TM 0313/FL360/TP B737/TB NEG/RM SMOOTH ZTLFD-02,NEG,,36000.0,33.42093115251426,-86.87381694926707,2024-02-08 03:13:00,0.0,M,"('KBMX', 'KMXX', 'KGWX', 'KHTX', 'KFFC')","['s3://noaa-nexrad-level2/2024/02/08/KBMX/KBMX20240208_031227_V06', 's3://noaa-nexrad-level2/2024/02/08/KMXX/KMXX20240208_031222_V06', 's3://noaa-nexrad-level2/2024/02/08/KGWX/KGWX20240208_030950_V06', 's3://noaa-nexrad-level2/2024/02/08/KHTX/KHTX20240208_030949_V06', 's3://noaa-nexrad-level2/2024/02/08/KFFC/KFFC20240208_031001_V06']"
11383,F,CRJ7,ATL UA /OV ATL256038/TM 0314/FL160/TP CRJ7/SK SKC/TB NEG/IC NEG/RM BASE 170 SMOOTH DURC ZTLFD-04,NEG,,16000.0,33.476870388847885,-85.179907087275,2024-02-08 03:14:00,0.0,M,"('KFFC', 'KMXX', 'KBMX', 'KHTX', 'KJGX')","['s3://noaa-nexrad-level2/2024/02/08/KFFC/KFFC20240208_031001_V06', 's3://noaa-nexrad-level2/2024/02/08/KMXX/KMXX20240208_031222_V06', 's3://noaa-nexrad-level2/2024/02/08/KBMX/KBMX20240208_031227_V06', 's3://noaa-nexrad-level2/2024/02/08/KHTX/KHTX20240208_030949_V06', 's3://noaa-nexrad-level2/2024/02/08/KJGX/KJGX20240208_031221_V06']"
11384,F,ECS3,CHA UA /OV GQO270030/TM 0314/FL380/TP ECS3/TB NEG/RM ZTLFD-06,NEG,,38000.0,34.96,-85.7601386261282,2024-02-08 03:14:00,0.0,U,"('KHTX', 'KOHX', 'KFFC', 'KBMX', 'KHPX')","['s3://noaa-nexrad-level2/2024/02/08/KHTX/KHTX20240208_030949_V06', 's3://noaa-nexrad-level2/2024/02/08/KOHX/KOHX20240208_031120_V06', 's3://noaa-nexrad-level2/2024/02/08/KFFC/KFFC20240208_031001_V06', 's3://noaa-nexrad-level2/2024/02/08/KBMX/KBMX20240208_031227_V06', 's3://noaa-nexrad-level2/2024/02/08/KHPX/KHPX20240208_030801_V06']"
11385,F,B38M,BMG UA /OV OOM180040/TM 0315/FL350/TP B38M/TB MOD CHOP,MOD CHOP,,35000.0,38.473279333279336,-86.61,2024-02-08 03:15:00,3.0,U,"('KLVX', 'KVWX', 'KIND', 'KHPX', 'KOHX')","['s3://noaa-nexrad-level2/2024/02/08/KLVX/KLVX20240208_030929_V06', 's3://noaa-nexrad-level2/2024/02/08/KVWX/KVWX20240208_031315_V06', 's3://noaa-nexrad-level2/2024/02/08/KIND/KIND20240208_031054_V06', 's3://noaa-nexrad-level2/2024/02/08/KHPX/KHPX20240208_030801_V06', 's3://noaa-nexrad-level2/2024/02/08/KOHX/KOHX20240208_031120_V06']"
