,URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
16116,F,E75,EEN UA /OV EEN/TM 1421/FL230/TP E75/TB CONS MOD CHOP/RM 230-200 DURD JFUND BETWEEN 230-200 60 KT WIND DIFF 120 KTS-58 KTS,CONS MOD CHOP,,23000.0,42.9,-72.27,2024-02-10 14:21:00,3.0,U,"('KBOX', 'KENX', 'KCXX', 'KOKX', 'KGYX')","['s3://noaa-nexrad-level2/2024/02/10/KBOX/KBOX20240210_141632_V06', 's3://noaa-nexrad-level2/2024/02/10/KENX/KENX20240210_142052_V06', 's3://noaa-nexrad-level2/2024/02/10/KCXX/KCXX20240210_141713_V06', 's3://noaa-nexrad-level2/2024/02/10/KOKX/KOKX20240210_142021_V06', 's3://noaa-nexrad-level2/2024/02/10/KGYX/KGYX20240210_141813_V06']"
16117,F,B739,LOZ UA /OV AZQ/TM 1421/FL330/TP B739/TB NEG,NEG,,33000.0,37.39,-83.26,2024-02-10 14:21:00,0.0,M,"('KJKL', 'KMRX', 'KRLX', 'KILN', 'KGSP')","['s3://noaa-nexrad-level2/2024/02/10/KJKL/KJKL20240210_142059_V06', 's3://noaa-nexrad-level2/2024/02/10/KMRX/KMRX20240210_141945_V06', 's3://noaa-nexrad-level2/2024/02/10/KRLX/KRLX20240210_141527_V06', 's3://noaa-nexrad-level2/2024/02/10/KILN/KILN20240210_141751_V06', 's3://noaa-nexrad-level2/2024/02/10/KGSP/KGSP20240210_141249_V06']"
16118,F,B737,BNA UA /OV BNA180040/TM 1422/FL180/TP B737/TB MOD 150-180 DURC/RM ZME,MOD 150-180 DURC,,18000.0,35.452169333279336,-86.68917,2024-02-10 14:22:00,3.0,M,"('KHTX', 'KOHX', 'KHPX', 'KGWX', 'KBMX')","['s3://noaa-nexrad-level2/2024/02/10/KHTX/KHTX20240210_142153_V06', 's3://noaa-nexrad-level2/2024/02/10/KOHX/KOHX20240210_142042_V06', 's3://noaa-nexrad-level2/2024/02/10/KHPX/KHPX20240210_141840_V06', 's3://noaa-nexrad-level2/2024/02/10/KGWX/KGWX20240210_141738_V06', 's3://noaa-nexrad-level2/2024/02/10/KBMX/KBMX20240210_141715_V06']"
16119,F,B350,ELA UA /OV 15N ELA/TM 1422/FL080/TP B350/TB LGT,LGT,,8000.0,29.85062025002025,-96.3219,2024-02-10 14:22:00,1.0,M,"('KHGX', 'KGRK', 'KEWX', 'KCRP', 'KFWS')","['s3://noaa-nexrad-level2/2024/02/10/KHGX/KHGX20240210_141917_V06', 's3://noaa-nexrad-level2/2024/02/10/KGRK/KGRK20240210_142001_V06', 's3://noaa-nexrad-level2/2024/02/10/KEWX/KEWX20240210_141955_V06', 's3://noaa-nexrad-level2/2024/02/10/KCRP/KCRP20240210_142041_V06', 's3://noaa-nexrad-level2/2024/02/10/KFWS/KFWS20240210_141804_V06']"
16120,F,C25M,ADM UA /OV ADM/TM 1424/FL410/TP C25M/TB LGT CHOP 100-410,LGT CHOP 100-410,,41000.0,34.3032,-97.0195,2024-02-10 14:24:00,1.0,U,"('KOUN', 'KTLX', 'KFWS', 'KFDR', 'KINX')","['s3://noaa-nexrad-level2/2024/02/10/KTLX/KTLX20240210_142249_V06', 's3://noaa-nexrad-level2/2024/02/10/KFWS/KFWS20240210_142212_V06', 's3://noaa-nexrad-level2/2024/02/10/KFDR/KFDR20240210_142205_V06', 's3://noaa-nexrad-level2/2024/02/10/KINX/KINX20240210_141918_V06']"
16121,F,PC12,CMH UA /OV MXQ245017/TM 1424/FL250/TP PC12/TB INTMT LGT CHOP,INTMT LGT CHOP,,25000.0,39.31024846007466,-84.13248010432508,2024-02-10 14:24:00,1.0,L,"('KILN', 'KJKL', 'KIND', 'KLVX', 'KIWX')","['s3://noaa-nexrad-level2/2024/02/10/KILN/KILN20240210_142120_V06', 's3://noaa-nexrad-level2/2024/02/10/KJKL/KJKL20240210_142059_V06', 's3://noaa-nexrad-level2/2024/02/10/KIND/KIND20240210_142351_V06', 's3://noaa-nexrad-level2/2024/02/10/KLVX/KLVX20240210_142258_V06', 's3://noaa-nexrad-level2/2024/02/10/KIWX/KIWX20240210_142107_V06']"
16122,F,E75L,CSQ UA /OV KGFZ/TM 1424/FL330/TP E75L/TB NEG,NEG,,33000.0,41.32,-94.44,2024-02-10 14:24:00,0.0,U,"('KDMX', 'KOAX', 'KEAX', 'KTWX', 'KFSD')","['s3://noaa-nexrad-level2/2024/02/10/KDMX/KDMX20240210_142315_V06', 's3://noaa-nexrad-level2/2024/02/10/KOAX/KOAX20240210_142023_V06', 's3://noaa-nexrad-level2/2024/02/10/KEAX/KEAX20240210_141927_V06', 's3://noaa-nexrad-level2/2024/02/10/KTWX/KTWX20240210_141621_V06', 's3://noaa-nexrad-level2/2024/02/10/KFSD/KFSD20240210_142301_V06']"
16123,F,CRJ9,CVG UA /OV CVG /TM 1425/FL330/TP CRJ9/TB LGT BLO 330 /RM AWC-WEB,LGT BLO 330,,33000.0,39.04306,-84.67167,2024-02-10 14:25:00,1.0,U,"('KILN', 'KLVX', 'KIND', 'KJKL', 'KIWX')","['s3://noaa-nexrad-level2/2024/02/10/KILN/KILN20240210_142450_V06', 's3://noaa-nexrad-level2/2024/02/10/KLVX/KLVX20240210_142258_V06', 's3://noaa-nexrad-level2/2024/02/10/KIND/KIND20240210_142351_V06', 's3://noaa-nexrad-level2/2024/02/10/KJKL/KJKL20240210_142059_V06', 's3://noaa-nexrad-level2/2024/02/10/KIWX/KIWX20240210_142107_V06']"
16124,F,E75L,ADM UA /OV ADM35029/TM 1425/FL130/TP E75L/TB LGT-MOD CHOP 240-140 NEG 130 /RM TSDEL3 ARRIVAL OKC,LGT-MOD CHOP 240-140 NEG 130,,13000.0,34.3032,-97.0195,2024-02-10 14:25:00,2.0,U,"('KOUN', 'KTLX', 'KFWS', 'KFDR', 'KINX')","['s3://noaa-nexrad-level2/2024/02/10/KTLX/KTLX20240210_142249_V06', 's3://noaa-nexrad-level2/2024/02/10/KFWS/KFWS20240210_142212_V06', 's3://noaa-nexrad-level2/2024/02/10/KFDR/KFDR20240210_142205_V06', 's3://noaa-nexrad-level2/2024/02/10/KINX/KINX20240210_141918_V06']"
16125,F,A320,BNA UA /OV BNA180015/TM 1425/FL120/TP A320/TB MOD DURC/RM ZME,MOD DURC,,12000.0,35.86886974997975,-86.68917,2024-02-10 14:25:00,3.0,M,"('KOHX', 'KHPX', 'KHTX', 'KLVX', 'KPAH')","['s3://noaa-nexrad-level2/2024/02/10/KOHX/KOHX20240210_142042_V06', 's3://noaa-nexrad-level2/2024/02/10/KHPX/KHPX20240210_142334_V06', 's3://noaa-nexrad-level2/2024/02/10/KHTX/KHTX20240210_142153_V06', 's3://noaa-nexrad-level2/2024/02/10/KLVX/KLVX20240210_142258_V06', 's3://noaa-nexrad-level2/2024/02/10/KPAH/KPAH20240210_142413_V06']"
