,URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
13272,F,B737,CMH UA /OV APE/TM 0316/FL360/TP B737/TB NEG,NEG,,36000.0,40.15,-82.59,2024-02-09 03:16:00,0.0,M,"('KILN', 'KCLE', 'KRLX', 'KPBZ', 'KJKL')","['s3://noaa-nexrad-level2/2024/02/09/KILN/KILN20240209_031352_V06', 's3://noaa-nexrad-level2/2024/02/09/KCLE/KCLE20240209_031319_V06', 's3://noaa-nexrad-level2/2024/02/09/KRLX/KRLX20240209_031159_V06', 's3://noaa-nexrad-level2/2024/02/09/KPBZ/KPBZ20240209_031248_V06', 's3://noaa-nexrad-level2/2024/02/09/KJKL/KJKL20240209_031302_V06']"
13273,F,E75,EVV UA /OV EVV/TM 0316/FL210/TP E75/TB OCNL LGT CHOP/IC NEG,OCNL LGT CHOP,,21000.0,38.0441,-87.5205,2024-02-09 03:16:00,1.0,U,"('KVWX', 'KHPX', 'KLVX', 'KPAH', 'KOHX')","['s3://noaa-nexrad-level2/2024/02/09/KVWX/KVWX20240209_031154_V06', 's3://noaa-nexrad-level2/2024/02/09/KHPX/KHPX20240209_031223_V06', 's3://noaa-nexrad-level2/2024/02/09/KLVX/KLVX20240209_031428_V06', 's3://noaa-nexrad-level2/2024/02/09/KPAH/KPAH20240209_031351_V06', 's3://noaa-nexrad-level2/2024/02/09/KOHX/KOHX20240209_031455_V06']"
13274,F,B712,BHM UA /OV VUZ180020/TM 0316/FL280/TP B712/TB OCNL LGT CHOP/RM ZTLFD-03,OCNL LGT CHOP,,28000.0,33.33663966663967,-86.9,2024-02-09 03:16:00,1.0,M,"('KBMX', 'KMXX', 'KGWX', 'KHTX', 'KFFC')","['s3://noaa-nexrad-level2/2024/02/09/KBMX/KBMX20240209_031516_V06', 's3://noaa-nexrad-level2/2024/02/09/KMXX/KMXX20240209_030920_V06', 's3://noaa-nexrad-level2/2024/02/09/KGWX/KGWX20240209_031515_V06', 's3://noaa-nexrad-level2/2024/02/09/KHTX/KHTX20240209_031438_V06', 's3://noaa-nexrad-level2/2024/02/09/KFFC/KFFC20240209_030904_V06']"
13275,F,A320,SGF UA /OV DGD090010/TM 0317/FL340/TP A320/TB NEG/RM ZKCFDC,NEG,,34000.0,37.02,-92.67123889455688,2024-02-09 03:17:00,0.0,M,"('KSGF', 'KLZK', 'KEAX', 'KSRX', 'KLSX')","['s3://noaa-nexrad-level2/2024/02/09/KSGF/KSGF20240209_031621_V06', 's3://noaa-nexrad-level2/2024/02/09/KLZK/KLZK20240209_031120_V06', 's3://noaa-nexrad-level2/2024/02/09/KEAX/KEAX20240209_031134_V06', 's3://noaa-nexrad-level2/2024/02/09/KSRX/KSRX20240209_031632_V06', 's3://noaa-nexrad-level2/2024/02/09/KLSX/KLSX20240209_031636_V06']"
13276,T,C680,HOU UUA /OV HOU/TM 0322/FL370/TP C680/TB SEV/RM ZHU,SEV,,37000.0,29.63747,-95.28245,2024-02-09 03:22:00,5.0,U,"('KHGX', 'KLCH', 'KGRK', 'KEWX', 'KPOE')","['s3://noaa-nexrad-level2/2024/02/09/KHGX/KHGX20240209_031854_V06', 's3://noaa-nexrad-level2/2024/02/09/KLCH/KLCH20240209_031800_V06', 's3://noaa-nexrad-level2/2024/02/09/KGRK/KGRK20240209_031802_V06', 's3://noaa-nexrad-level2/2024/02/09/KEWX/KEWX20240209_031823_V06']"
13277,F,CRJ7,MGM UA /OV MGM045050/TM 0322/FL160/TP CRJ7/TB MOD CHOP/RM ZTLFD 09,MOD CHOP,,16000.0,32.88994338074425,-85.69678065702479,2024-02-09 03:22:00,3.0,M,"('KMXX', 'KBMX', 'KFFC', 'KEOX', 'KHTX')","['s3://noaa-nexrad-level2/2024/02/09/KMXX/KMXX20240209_031746_V06', 's3://noaa-nexrad-level2/2024/02/09/KBMX/KBMX20240209_031516_V06', 's3://noaa-nexrad-level2/2024/02/09/KFFC/KFFC20240209_031603_V06', 's3://noaa-nexrad-level2/2024/02/09/KEOX/KEOX20240209_032111_V06', 's3://noaa-nexrad-level2/2024/02/09/KHTX/KHTX20240209_032139_V06']"
13278,F,C68A,PUB UA /OV PUB030030/TM 0323/FL350/TP C68A/TB LGT-MOD CHOP/RM ZDV FD,LGT-MOD CHOP,,35000.0,38.72304777595615,-104.17978600998887,2024-02-09 03:23:00,2.0,U,"('KPUX', 'KFTG', 'KCYS', 'KGLD', 'KGJX')","['s3://noaa-nexrad-level2/2024/02/09/KPUX/KPUX20240209_031651_V06', 's3://noaa-nexrad-level2/2024/02/09/KFTG/KFTG20240209_031654_V06', 's3://noaa-nexrad-level2/2024/02/09/KCYS/KCYS20240209_031956_V06', 's3://noaa-nexrad-level2/2024/02/09/KGLD/KGLD20240209_032241_V06', 's3://noaa-nexrad-level2/2024/02/09/KGJX/KGJX20240209_032129_V06']"
13279,F,B737,MEI UA /OV MEI225050/TM 0325/FL380/TP B737/TB MOD CHOP/RM ZME,MOD CHOP,,38000.0,31.745446619255752,-89.4485219612866,2024-02-09 03:25:00,3.0,M,"('KDGX', 'KLIX', 'KHDC', 'KMOB', 'KGWX')","['s3://noaa-nexrad-level2/2024/02/09/KDGX/KDGX20240209_031821_V06', 's3://noaa-nexrad-level2/2024/02/09/KMOB/KMOB20240209_032007_V06', 's3://noaa-nexrad-level2/2024/02/09/KGWX/KGWX20240209_032208_V06']"
13280,F,E170,AZO UA /OV AZO/TM 0327/FL250/TP E170/TB CONS MOD CHOP,CONS MOD CHOP,,25000.0,42.23472,-85.55194,2024-02-09 03:27:00,3.0,U,"('KGRR', 'KIWX', 'KDTX', 'KLOT', 'KIND')","['s3://noaa-nexrad-level2/2024/02/09/KGRR/KGRR20240209_032251_V06', 's3://noaa-nexrad-level2/2024/02/09/KIWX/KIWX20240209_032410_V06', 's3://noaa-nexrad-level2/2024/02/09/KDTX/KDTX20240209_032615_V06', 's3://noaa-nexrad-level2/2024/02/09/KLOT/KLOT20240209_032353_V06', 's3://noaa-nexrad-level2/2024/02/09/KIND/KIND20240209_032256_V06']"
13281,F,CL30,MEM UA /OV MEM270050/TM 0327/FL450/TP CL30/TB CONS LGT CHOP/RM MTN WAVE 450 +/- 30FT +/- 02 MACH/ZME,CONS LGT CHOP,,45000.0,35.06111,-91.00315551840524,2024-02-09 03:27:00,1.0,U,"('KNQA', 'KLZK', 'KGWX', 'KDGX', 'KPAH')","['s3://noaa-nexrad-level2/2024/02/09/KNQA/KNQA20240209_032434_V06', 's3://noaa-nexrad-level2/2024/02/09/KLZK/KLZK20240209_032512_V06', 's3://noaa-nexrad-level2/2024/02/09/KGWX/KGWX20240209_032208_V06', 's3://noaa-nexrad-level2/2024/02/09/KDGX/KDGX20240209_032648_V06', 's3://noaa-nexrad-level2/2024/02/09/KPAH/KPAH20240209_032226_V06']"
