URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight
F,B777,UUA /OV 4848N05509W /TM 0048 /FL330 /TP B777 /TB SEV,SEV,,33000.0,48.8,-55.15,2021-05-01 00:48:00,5.0,H
T,B737,SAT UUA /OV SAT360020 /TM 1500 /FL125 /TP B737 /TB SEV TURB FL125 /RM SEVERE TURB FL125 THEN CONT MOD TURB FL130-FL190. FM KZHU AWC-WEB,SEV TURB FL125,,12500.0,29.86705033336033,-98.46978,2021-05-01 15:00:00,5.0,M
T,B737,SAT UUA /OV SAT360020 /TM 1500 /FL125 /TP B737 /TB SEV TURB FL125 /RM SEVERE TURB FL125 THEN CONT MOD TURB FL130-FL190. FM KZHU AWC-WEB:,SEV TURB FL125,,12500.0,29.86705033336033,-98.46978,2021-05-01 15:00:00,5.0,M
F,B789,UUA /OV 47N050W /TM 1813 /FL350 /TP B789 /TB MDT TO SEV,MDT TO SEV,,35000.0,47.0,-50.0,2021-05-01 18:13:00,5.0,U
F,A332,UUA /OV 48N050W /TM 2051 /FL350 /TP A332 /TB MDT - SEV,MDT - SEV,,35000.0,48.0,-50.0,2021-05-01 20:51:00,5.0,H
F,P28A,UUA /OV CYXU 360010 /TM 2325 /FL045 /TP P28A /TB MDT-SEV,MDT-SEV,,4500.0,43.20224016668016,-81.15389,2021-05-01 23:25:00,5.0,L
F,B77W,UUA /OV 48N050W /TM 0006 /FL310 /TP B77W /TB MDT-SEV /RM TURBREPORTED JUST EAST OF 48N050W,MDT-SEV,,31000.0,48.0,-50.0,2021-05-02 00:06:00,5.0,U
F,B78X,UUA /OV 48N050W /TM 0034 /FL390 /TP B78X /TB MDT-SEV /RM TURBREPORTED JUST EAST OF 48N050W,MDT-SEV,,39000.0,48.0,-50.0,2021-05-02 00:34:00,5.0,U
T,C208,BKL UUA /OV BKL/TM 0141/FL019/TP C208/TB SEV/RM DURD BKL RY 24R,SEV,,1900.0,41.5175,-81.6833,2021-05-02 01:41:00,5.0,L
F,C340,YNG UA /OV YNG/TM 0245/FL080/TP C340/TB OCNL SEV TURB,OCNL SEV TURB,,8000.0,41.25444,-80.67389,2021-05-02 02:45:00,5.0,L
T,BE35,IAD UUA /OV HGR/TM 1809/FL090/TP BE35/TB SEV 090,SEV 090,,9000.0,39.70778,-77.72972,2021-05-02 18:09:00,5.0,L
F,TBM9,HND UA /OV HND170010/TM 2050/FL065/TP TBM9/TB SEV TURB/RM SEV TURB ON APPROACH TO RY35L,SEV TURB,,6500.0,35.808712079580005,-115.09867591459415,2021-05-02 20:50:00,5.0,U
T,GLF5,LAA UUA /OV LAA180020/TM 2215/FL320/TP GLF5/TB SEV /RM ZDV,SEV,,32000.0,37.73663966663967,-102.68806,2021-05-02 22:15:00,5.0,M
F,P28A,UUA /OV CEE8 360012 /TM 1829 /FL065 /TP P28A /TB SEV,SEV,,6500.0,53.3100162000162,-111.86,2021-05-06 18:29:00,5.0,L
T,AA5,AVL UUA /OV AVL240005/TM 1329/FL056/TP AA5/TB SEV,SEV,,5600.0,35.39026995832995,-82.62607904896979,2021-05-07 13:29:00,5.0,L
T,TBM7,AVL UUA /OV AVL230015/TM 1438/FL080/TP TBM7/TB SEV/RM SEV TB 90-070,SEV,,8000.0,35.27123008111625,-82.77255830640837,2021-05-07 14:38:00,5.0,L
T,PA32,SAV UUA /OV SAV160005/TM 1814/FL011/TP PA32/TB SEV SFC-011/RM NO INJURIES OR DAMAGE,SEV SFC-011,,1100.0,32.04926593866964,-81.16848179870571,2021-05-07 18:14:00,5.0,L
T,C172,LVS UUA /OV CIM060015/TM 2100/FL115/TP C172/TB SEV/RM NO DAMAGE TO AIRCRAFT ZAB/FDCS,SEV,,11500.0,36.61501012501013,-104.60067850514363,2021-05-07 21:00:00,5.0,L
T,C182,CFO UUA /OV KCFO/TM 2115/FL060/TP C182/TB EXTRM CHOP BLO 070/RM FINAL RY26,EXTRM CHOP BLO 070,,6000.0,39.7841,-104.5376,2021-05-07 21:15:00,7.0,L
T,BE95,BOI UUA /OV REO035007/TM 2220/FL115/TP BE95/TB SEV 115-103/RM NO DAM OR INJUR ZLC,SEV 115-103,,11500.0,42.68613547949494,-117.77353822115847,2021-05-07 22:20:00,5.0,L
T,PC12,APA UUA /OV APA/TM 2311/FL080/TP PC12/TB SEV/RM SEVERE TURB 5N KAPA 080-085   LOSS OF 500FT 10 NW KAPA,SEV,,8000.0,39.57,-104.85,2021-05-07 23:11:00,5.0,L
T,C525,AVL UUA /OV AVL060024/TM 1946/FL110/TP C525/TB SEV,SEV,,11000.0,35.6319562000162,-82.11232056494502,2021-05-08 19:46:00,5.0,L
T,BE9L,ABQ UUA /OV 25 W ABQ/TM 2018/FL120/TP BE9L/TB SEV/RM DURD......ABQ APP.....ZAB/FDCS,SEV,,12000.0,35.0419,-107.12445803134528,2021-05-08 20:18:00,5.0,L
T,BE36,RDM UUA /OV DSD350017/TM 2027/FL065/TP BE36/TB SEV CLR AIR TB/RM SOUTHBOUND* ..ZSE,SEV CLR AIR TB,,6500.0,44.529051464714,-121.36869212444132,2021-05-08 20:27:00,5.0,L
T,C208,ROW UUA /OV HONDS/TM 2224/FL075/TP C208/TB SEV 075,SEV 075,,7500.0,44.38519,-98.22856,2021-05-08 22:24:00,5.0,L
T,BE58,SLN UUA /OV SLN203037/TM 0131/FL040/TP BE58/WX TS/TB SEV MICROBURST +/-30KTS LOSS OF 500 FT/RM ZKC FDC,SEV MICROBURST +,,4000.0,38.22327936110759,-97.9613296488907,2021-05-09 01:31:00,5.0,L
T,B407,MEZ UUA /OV MEZ045016 /TM 0900 /FL025 /TP B407 /TB OCNL SEV /RM LLWS +/-25KT,OCNL SEV,,2500.0,34.73396708183816,-93.97369463499004,2021-05-09 09:00:00,5.0,L
T,PC12,TYS UUA /OV 8 N TYS/TM 1530/FL040/TP PC12/TB SEV DURC TO 048,SEV DURC TO 048,,4000.0,35.95144413334413,-83.9858,2021-05-09 15:30:00,5.0,L
F,BE20,UUA /OV YYE 180080 /TM 1545 /FL200 /TP BE20 /TB MDT-SEV /RM 5735N12138W,MDT-SEV,,20000.0,57.502948666558666,-122.59722,2021-05-09 15:45:00,5.0,M
T,P28A,BED UUA /OV BED300005/TM 1723/FL023/TP P28A/TB SEV CHOP 023/LGT CHOP 013-025,SEV CHOP 023,,2300.0,42.51162004167004,-71.38687644927161,2021-05-09 17:23:00,5.0,L
F,SR22,CHA UA /OV GQO180010/TM 1815/FL080/TP SR22/TB SEV 080,SEV 080,,8000.0,34.793319833319835,-85.15,2021-05-09 18:15:00,5.0,L
T,SR22,CHA UUA /OV GQO186023/TM 1818/FL070/TP SR22/TA 00/TB SEV 000-070/RM NO DAMAGE NO INJURIES ZTLFD,SEV 000-070,,7000.0,34.57873572683977,-85.19889558727655,2021-05-09 18:18:00,5.0,L
T,C182,BOI UUA /OV BOI290016/TM 1930/FL090/TP C182/TB TURB SEV BLO 090,TURB SEV BLO 090,,9000.0,43.657882759196,-116.58642581304171,2021-05-09 19:30:00,5.0,L
T,M20P,CMH UUA /OV RID/TM 1938/FL040/TP M20P/TB SEV TB AT 040/RM NO INJURIES,SEV TB AT 040,,4000.0,39.7572,-84.8428,2021-05-09 19:38:00,5.0,L
T,PC12,ABQ UUA /OV CNX150025/TM 1951/FL170/TP PC12/TB SEV/RM ZAB/FDCS,SEV,,17000.0,34.00912685336988,-105.42757949384438,2021-05-09 19:51:00,5.0,L
T,PA28,ABQ UUA /OV CNX020015/TM 2001/FL120/TP PA28/TB SEV CAT/RM ZAB/FDCS,SEV CAT,,12000.0,34.60494218399107,-105.5764005227676,2021-05-09 20:01:00,5.0,L
