URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight
T,MD11,GPI UUA /OV FCA/TM 0112/FL330/TP MD11/TB SEV/RM BETTER OUT OF 320 / ZLC,SEV,,33000.0,48.21,-114.18,2020-06-01 01:12:00,5.0,H
F,B747,UUA /OV 5436N06707W /TM 2259 /FL330 /TP B747 /TB MDT - SEV /RMLASTED 20 MILES,MDT - SEV,,33000.0,54.6,-67.1166,2020-06-02 22:59:00,5.0,H
T,C172,DMA UUA /OV TUS053027 /TM 2016 /FL095 /TP C172 /TB SEV,SEV,,9500.0,32.39110869659795,-110.51360791845887,2020-06-03 20:16:00,5.0,L
T,PC12,AMG UUA /OV AMG360015/TM 2158/FL130/TP PC12/TB SEV,SEV,,13000.0,31.786080250020248,-82.50656,2020-06-03 21:58:00,5.0,L
T,B738,JFK UUA /OV DPK/TM 0215/FL350/TP B738/TB SEV 350-330,SEV 350-330,,35000.0,40.79,-73.3,2020-06-04 02:15:00,5.0,M
T,GLEX,JFK UUA /OV JFK060020/TM 0234/FL330/TP GLEX/TB SEV CAT 330-350,SEV CAT 330-350,,33000.0,40.805290166680166,-73.38176913565752,2020-06-04 02:34:00,5.0,M
T,E135,SDF UUA /OV SDF/TM 1952/FL025/TP E135/TB SEV/RM FINAL RWY 17R,SEV,,2500.0,38.17439,-85.736,2020-06-04 19:52:00,5.0,M
T,RV6,PRB UUA /OV ROM160010 /TM 0003 /FL065 /TP RV6 /TB SEV /RM ZOA CWSU AWC-WEB,SEV,,6500.0,35.98337187733928,-120.5894087385192,2020-06-05 00:03:00,5.0,L
T,RV6,PRB UUA /OV ROM160010 /TM 0003 /FL065 /TP RV6 /TB SEV /RM ZOA CWSU AWC-WEB:,SEV,,6500.0,35.98337187733928,-120.5894087385192,2020-06-05 00:03:00,5.0,L
T,LJ60,GRB UUA /OV GRB060040/TM 1129/FL400/TP LJ60/TB SEV,SEV,,40000.0,44.81276033336033,-87.32745671028543,2020-06-05 11:29:00,5.0,M
T,GLF4,PRB UUA /OV AVE /TM 2313 /FL340 /TP GLF4 /TB SEV CAT/RM AWC-WEB,SEV CAT,,34000.0,35.65,-119.98,2020-06-05 23:13:00,5.0,M
T,GLF4,PRB UUA /OV AVE /TM 2313 /FL340 /TP GLF4 /TB SEV CAT/RM AWC-WEB:,SEV CAT,,34000.0,35.65,-119.98,2020-06-05 23:13:00,5.0,M
T,C208,MLU UUA /OV MLU040030/TM 2357/FL030/TP C208/TB SEV/RM SEV CLR AIR TURB..ALT CHG +/- 800FT..NO DAMAGE..NO INJURIES/ZME CWSU,SEV,,3000.0,32.89391324639046,-91.65653998723788,2020-06-05 23:57:00,5.0,L
T,B190,RKS UUA /OV OCS250015/TM 1502/FL110/TP B190/TB SEV/RM NO DAMAGE/INJURIES /ZLC,SEV,,11000.0,41.50448803825376,-109.33412996385115,2020-06-06 15:02:00,5.0,M
T,BE9L,MTJ UUA /OV MTJ130020/TM 1849/FL180/TP BE9L/TB SEV/RM ZDV,SEV,,18000.0,38.29072010815501,-107.5711725048285,2020-06-06 18:49:00,5.0,L
T,CL30,EGE UUA /OV EGE090005/TM 1920/FL070/TP CL30/TB SEV/RM SHORT FINAL AT KEGE.....ZDV,SEV,,7000.0,39.64256,-106.80946168368538,2020-06-06 19:20:00,5.0,U
T,SR22,DEN UUA /OV KDEN085030/TM 2025/FL090/TP SR22/TB SEV/RM MOD TO SEV DURC,SEV,,9000.0,39.876381401184936,-104.00881306651816,2020-06-06 20:25:00,5.0,L
F,C172,RHV UA /OV SJC11211/TM 2150/FL2500/TP C172/TB SEV,SEV,,25000.0,37.3594,-121.92442,2020-06-06 21:50:00,5.0,L
T,CL30,LAR UUA /OV LAR276025/TM 0057/FL310/TP CL30/TB SEV/RM OCNL LGT CHOP AT FL250...ZDV,SEV,,31000.0,41.355617054200685,-106.22672918019468,2020-06-07 00:57:00,5.0,U
T,B737,EMV UUA /OV LVL090010/TM 1422/FL390/TP B737/TB SEV/RM FL370-FL390 SEVR TURB IN DESCENT,SEV,,39000.0,36.7728,-77.5862139711474,2020-06-07 14:22:00,5.0,M
T,PA32,TAD UUA /OV TBE/TM 1538/FL110/TP PA32/TB SEV MTN WAVE/RM FL110-092 COULD NOT HOLD ALT ZDV,SEV MTN WAVE,,11000.0,37.27,-103.6,2020-06-07 15:38:00,5.0,L
T,CHEROKEE,TAD UUA /OV TBE170030/TM 1615/FL120/TP CHEROKEE/TB SEV MTN WAVE /RM LOST 2000FT ZDV,SEV MTN WAVE,,12000.0,36.77755623874002,-103.49088698166751,2020-06-07 16:15:00,5.0,U
T,BE35,PUB UUA /OV PUB180040/TM 1620/FL175/TP BE35/TB SEV MTN WAVE /RM LOST 2000FT FL175-150 ZDV,SEV MTN WAVE,,17500.0,37.623279333279335,-104.49833,2020-06-07 16:20:00,5.0,L
T,PA28,INW UUA /OV GJT-INW/TM 1905/FL105/TP PA28/TB SEV/RM ZAB/FDCS,SEV,,10500.0,37.078045,-109.631265,2020-06-08 19:05:00,5.0,L
F,PA28,INW UA /OV INW010030/TM 1909/FL105/TP PA28/TB CONS SEV/RM ZAB/FDCS,CONS SEV,,10500.0,35.514363761259986,-110.61650036198064,2020-06-08 19:09:00,5.0,L
T,M7,EED UUA /OV KSMX-KEED /TM 1923 /FL115 /TP M7 /TB OCNL SEV /RM UPDFTS AND DWNDFTS,OCNL SEV,,11500.0,34.833175,-117.53664,2020-06-08 19:23:00,5.0,L
T,H,DNL UUA /OV IRQ170055/TM 2019/FL270/TP H/E6/WV 20016/TB SEV OCNL/RM ZTLFD,SEV OCNL,,27000.0,32.80718643769003,-81.96863256815165,2020-06-08 20:19:00,5.0,L
F,C560,PHX UA /OV PXR004042/TM 2250/FL130/TP C560/TB SEV/RM ZAB/FDCS,SEV,,13000.0,34.12835139712009,-111.9114859146944,2020-06-08 22:50:00,5.0,M
F,BE58,MEM UA /OV OVER OLV/TM 0550/FL020/TP BE58/TB SEV/RM SEV TURB 020 OVR OLV DURC,SEV,,2000.0,39.49,-121.62,2020-06-09 05:50:00,5.0,L
T,RV8,SEE UUA /OV SEE060010/TM 1503/FL055/TP RV8/TB SEV TURB 055--035/RM DURD,SEV TURB 055--035,,5500.0,32.90956008334008,-116.80066080114834,2020-06-09 15:03:00,5.0,L
T,P28A,SEE UUA /OV SEE060015/TM 1523/FL080/TP P28A/TB SEV TURB 080-060/RM DURD,SEV TURB 080-060,,8000.0,32.95123012501013,-116.7147712017225,2020-06-09 15:23:00,5.0,L
T,P28A,RNM UUA /OV JLI190008 /TM 1548 /FL105 /TP P28A /TB SEV 105-050,SEV 105-050,,10500.0,33.00868166366401,-116.61765309371124,2020-06-09 15:48:00,5.0,L
T,C182,RNM UUA /OV JLI-RNM /TM 1556 /FL085 /TP C182 /TB SEV 085-024 /RM DURD,SEV 085-024,,8500.0,33.089585,-116.752625,2020-06-09 15:56:00,5.0,L
T,C205,OWD UUA /OV OWD /TM 1258/FL014/TP C205/TB SEV/RM CONTINOUS NOD OCSNL SEV TB,SEV,,1400.0,42.19123,-71.17326,2020-06-11 12:58:00,5.0,L
T,C56,ETC UUA /OV TYI050030/TM 1919/FL290/TP C56/TB SEV,SEV,,29000.0,36.30141983776749,-77.22664016896611,2020-06-11 19:19:00,5.0,L
F,C172,TRI UA /OV VJI180010/TM 1940/FL055/TP C172/TB SEV 050,SEV 050,,5500.0,36.52041983331984,-82.03333,2020-06-12 19:40:00,5.0,L
T,EA50,RNO UUA /OV RNO/TM 2330/FL000/TP EA50/TB SEV 000-080/RM DURC,SEV 000-080,,0.0,39.48389,-119.77111,2020-06-12 23:30:00,5.0,U
F,DA40,MLF UA /OV MLF300015/TM 1627/FL105/TP DA40/TB 5 SECONDS OF SEV /RM /ZLC,5 SECONDS OF SEV,,10500.0,38.55164012501013,-113.2888483021355,2020-06-13 16:27:00,5.0,L
T,DA40,MLF UUA /OV MLF300015/TM 1627/FL105/TP DA40/TB 5 SECONDS OF SEV /RM /ZLC,5 SECONDS OF SEV,,10500.0,38.55164012501013,-113.2888483021355,2020-06-13 16:27:00,5.0,L
T,C182,BIL UUA /OV 20S BIL/TM 1827/FL075/TP C182/TB SEV/RM REPORTED SEVERE TURBULENCE 75-70,SEV,,7500.0,45.47353966663967,-108.5422,2020-06-13 18:27:00,5.0,L
T,C172,PIA UUA /OV PIA190012/TM 2057/FL025/TP C172/TB SEV CAT 025/RM LOSS OF 700 FT,SEV CAT 025,,2500.0,40.470522495496006,-89.72969071938313,2020-06-13 20:57:00,5.0,L
T,P46T,SOW UUA /OV 40 W ABQ-SOW/TM 2103/FL125/TP P46T/TB SEV /RM PIOLT DOES NOT RECOMMEND LGT AIRCRAFT TAKE ROUTE ZAB/FDCS,SEV,,12500.0,35.0419,-107.42983285015244,2020-06-13 21:03:00,5.0,L
F,P46T,SOW UA /OV 40 W ABQ-SOW/TM 2103/FL125/TP P46T/TB SEV /RM PIOLT DOES NOT RECOMMEND LGT AIRCRAFT TAKE ROUTE ZAB/FDCS,SEV,,12500.0,35.0419,-107.42983285015244,2020-06-13 21:03:00,5.0,L
