URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight
F,E170,ACT UA /OV JEN180030 /TM 1313 /FL280 /TP E170 /TB MOD 280-240 /RM ZFW AWC-WEB,MOD 280-240,,28000.0,31.65995949995949,-97.88,2020-02-12 13:13:00+00:00,3.0,0,U
F,C172,DEN UA /OV 230010/TM 0200/FL090/TP C172/TB SEV,SEV,,9000.0,39.8328,-104.6575,2020-02-16 02:00:00+00:00,5.0,0,L
T,C182,ELP UUA /OV KELP/TM 1758/FL150/TP C182/TB TB SEV 150,TB SEV 150,,15000.0,31.81111,-106.37583,2020-02-25 17:58:00+00:00,5.0,0,L
F,B737,LCH UA /OV LCH090025 /TM 2014 /FL300 /TP B737 /TB LGT-MOD CHOP /RM FM ZHU AWC-WEB:,LGT-MOD CHOP,,30000.0,30.12472,-92.74655919260596,2020-02-08 20:14:00+00:00,2.0,0,M
F,BE33,SHD UA /OV GVE330038/TM 1545/FL080/TP BE33/TB SEV TURB,SEV TURB,,8000.0,38.70452718287778,-78.5685465395071,2020-02-28 15:45:00+00:00,5.0,0,L
T,H,ILM UUA /OV ILM170180/TM 1038/FL380/TP H/MD11/TB SEV CAT 380/RM LOST 2-300 FT IN ALTITUDE,SEV CAT 380,,38000.0,31.31533743244009,-77.2695655983462,2020-02-18 10:38:00+00:00,5.0,0,L
F,B752,EVV UA /OV MYS300025/TM 1112/FL370/TP B752/TB LGT,LGT,,37000.0,38.09835020835021,-86.69726955317351,2020-02-06 11:12:00+00:00,1.0,0,M
T,SR22,AMG UUA /OV VNA160030/TM 0556/FL080/TP SR22/TB SEV,SEV,,8000.0,31.740115632017847,-83.29786799028676,2020-02-07 05:56:00+00:00,5.0,0,L
F,B752,GGG UA /OV UIM150020 /TM 1549 /FL330 /TP B752 /TB LGT /RM ZFW AWC-WEB:,LGT,,33000.0,32.591301482695904,-95.17152619951588,2020-02-26 15:49:00+00:00,1.0,0,M
F,B737,PBI UA /OV PBI325035/TM 1144/FL170/TP B737/TB LGT OCNL CAT 170,LGT OCNL CAT 170,,17000.0,27.16257739747471,-80.47390095022628,2020-02-27 11:44:00+00:00,1.0,0,M
T,SR22,AXX UUA /OV SKX135008-SKX135022 /TM 1651 /FL135 /TP SR22 /TB SEV /RM DURD,SEV,,13500.0,36.36388145908092,-105.55518811310074,2020-02-17 16:51:00+00:00,5.0,0,L
F,C172,UA /OV CYQF 300009 /TM 2240 /FL055 /TP C172 /TB MDT-SEV ABV 045,MDT-SEV ABV 045,,5500.0,52.25722607500607,-114.10631941192725,2020-02-20 22:40:00+00:00,5.0,0,L
F,B77W,PANC UA /OV 4013N 15815W /TM 2046 /FL360 /TP B77W /TB LGT-MOD /RM ZOA CWSU AWC-WEB,LGT-MOD,,36000.0,40.2166,-158.25,2020-02-08 20:46:00+00:00,2.0,1,U
F,SR22,EWB UA /OV EWB/TM 1230/FL010/TP SR22/TB SEV TURB 5N AT 010,SEV TURB 5N AT 010,,1000.0,41.67639,-70.95833,2020-02-10 12:30:00+00:00,5.0,0,L
F,E75L,EDW UA /OV 2O7/TM 0115/FL300/TP E75L/TB SEV,SEV,,30000.0,36.81,-118.2,2020-02-03 01:15:00+00:00,5.0,0,U
T,A320,MRB UUA /OV MRB270020/TM 0329/FL220/TP A320/TB EXTRM 220,EXTRM 220,,22000.0,39.4019,-78.41608572414385,2020-02-27 03:29:00+00:00,7.0,0,M
T,PC12,SAT UUA /OV SAT180035 /TM 2359 /FL070 /TP PC12 /TB SEV /RM FM ZHU AWC-WEB,SEV,,7000.0,28.95030941661941,-98.46978,2020-02-09 23:59:00+00:00,5.0,0,L
T,A388,PTH UUA /OV PDN265051/TM 0005/FL360/TP A388/TB SEV/RM ZAN,SEV,,36000.0,56.87591161798561,-160.20276781946166,2020-02-29 00:05:00+00:00,5.0,0,U
F,CRJ9,ORF UA /OV ORF/TM 1501/FL300/TP CRJ9/TB CONS LGT OCNL MOD CHOP 300/RM DESCENDED TO FL280 MOSTLY SMOOTH,CONS LGT OCNL MOD CHOP 300,,30000.0,36.90333,-76.19222,2020-02-24 15:01:00+00:00,2.0,0,U
F,B763,UUA /OV 5148N05432W /TM 0409 /FL310 /TP B763 /TB MDT - SEV,MDT - SEV,,31000.0,51.8,-54.5333,2020-02-08 04:09:00+00:00,5.0,0,H
T,CRJ9,GGG UUA /OV TYR150020 /TM 1752 /FL310 /TP CRJ9 /TB SEV /RM FM ZHU AWC-WEB:,SEV,,31000.0,32.0654414826959,-95.20507851466056,2020-02-05 17:52:00+00:00,5.0,1,U
F,A320,PUB UA /OV PUB270020/TM 0410/FL340/TP A320/TB CONS LGT OCNL MOD/RM ZDV,CONS LGT OCNL MOD,,34000.0,38.29,-104.9230553200148,2020-02-26 04:10:00+00:00,2.0,0,M
F,NMRS,LPR UA /OV DJB/TM 0015/FL360/TP NMRS/TB CONT LGT CHOP,CONT LGT CHOP,,36000.0,41.36,-82.16,2020-02-26 00:15:00+00:00,1.0,0,U
T,E545,DEN UUA /OV BJC355009/TM 0127/FL105/TP E545/TB SEV TURB 105 /RM 200 FT LOSS,SEV TURB 105,,10500.0,40.05825130849145,-105.13423470233616,2020-02-15 01:27:00+00:00,5.0,0,U
T,B787,SPI UUA /OV SPI300030/TM 1745/FL370/TP B787/TB OCNL SEV/RM ZKCFDC/FX/OH,OCNL SEV,,37000.0,40.09472025002025,-90.24792299618038,2020-02-05 17:45:00+00:00,5.0,0,U
F,C25B,ORL UA /OV ORL270020/TM 1806/FL290/TP C25B/SK IMC/TB LGT-MOD CHOP,LGT-MOD CHOP,,29000.0,28.54546,-81.71243205312142,2020-02-01 18:06:00+00:00,2.0,0,U
T,B789,BIL UUA /OV BIL215050/TM 0410/FL390/TP B789/TB SEV/RM SEV MTW +2000 FT /ZLC,SEV,,39000.0,45.12421800360756,-109.227946154104,2020-02-02 04:10:00+00:00,5.0,0,U
T,C182,SJC UUA /OV SJC130025/TM 2205/FL050/TP C182/TB SEV/RM DURD,SEV,,5000.0,37.09155013519376,-121.5228182851492,2020-02-02 22:05:00+00:00,5.0,0,L
F,B752,OGG UA /OV TEBBS/TM 0241/FL030/TP B752/TB NEG,NEG,,3000.0,40.85899,-74.05616,2020-02-16 02:41:00+00:00,0.0,0,M
T,CRJ9,GGG UUA /OV TYR160020 /TM 1752 /FL310 /TP CRJ9 /TB SEV CONS /RM ZFW AWC-WEB:,SEV CONS,,31000.0,32.04088375467857,-95.26742099500882,2020-02-05 17:52:00+00:00,5.0,1,U
F,FA7X,EWR UA /OV TEB270003/TM 1531/FL020/TP FA7X/TB MOD,MOD,,2000.0,40.85899,-74.12227477094416,2020-02-27 15:31:00+00:00,3.0,0,U
T,B77W,BIG UUA /OV BIG070025/TM 1458/FL330/TP B77W/TB SEV 330 - 290/RM SMOOTH AT 270 ZAN,SEV 330 - 290,,33000.0,64.13251993624374,-144.827080281354,2020-02-18 14:58:00+00:00,5.0,0,U
T,B777,YAK UUA /OV YAK325045/TM 0518/FL350/TP B777/TB SEV/RM SHORT DURATION  SMOOTH AFTER,SEV,,35000.0,60.1144137967532,-140.50765448971578,2020-02-19 05:18:00+00:00,5.0,0,H
F,NMRS,IOW UA /OV IOW/TM 0217/FL240/TP NMRS/TB LGT-MOD CHOP 240-370,LGT-MOD CHOP 240-370,,24000.0,41.63939,-91.544535,2020-02-04 02:17:00+00:00,2.0,0,U
F,B737,GGG UA /OV UIM /TM 1858 /FL310 /TP B737 /TB MOD 270-290/RM AWC-WEB:,MOD 270-290,,31000.0,32.88,-95.37,2020-02-18 18:58:00+00:00,3.0,0,M
T,B737,SAN UUA /OV TIJ110005 /TM 0910 /FL330 /TP B737 /TB SEV /RM MOD-SEV 330 AWC-WEB:,SEV,,33000.0,32.47149601275125,-116.85714387522052,2020-02-11 09:10:00+00:00,5.0,0,M
T,B77L,PANC UUA /OV 4318N 13500W /TM 2135 /FL300 /TP B77L /TB SEV 300 /RM ZOA CWSU AWC-WEB:,SEV 300,,30000.0,43.3,-135.0,2020-02-14 21:35:00+00:00,5.0,0,U
T,H25B,GSO UUA /OV GSO/TM 2039/FL340/TP H25B/TB SEV CAT 340/RM NO DAMAGE NO INJURES ZTLFD,SEV CAT 340,,34000.0,36.0975,-79.94361,2020-02-05 20:39:00+00:00,5.0,0,M
T,C210,SJC UUA /OV SJC020012/TM 1915/FL045/TP C210/TB SEV/RM DURC SMOOTH AT 050,SEV,,4500.0,37.54735374719287,-121.83835342630796,2020-02-11 19:15:00+00:00,5.0,0,L
F,B737,CLL UA /OV LOA135010 /TM 1557 /FL250 /TP B737 /TB MOD /RM FM ZHU AWC-WEB:,MOD,,25000.0,31.00213932385115,-95.83232624306176,2020-02-10 15:57:00+00:00,3.0,1,M
F,B737,BID UA /OV SEY/TM 1334/FL150/TP B737/TB LGT 100-190 MOD 100-110,LGT 100-190 MOD 100-110,,15000.0,41.17,-71.58,2020-02-27 13:34:00+00:00,2.0,0,M
F,B738,OMN UA /OV OMN100200/TM 0040/FL370/TP B738/TB CONS LGT CHOP OCNL LGT,CONS LGT CHOP OCNL LGT,,37000.0,28.721685856055377,-77.34902785166557,2020-02-27 00:40:00+00:00,1.0,0,M
F,B772,HNL UA /OV OGG350070/TM 0827/FL270/TP B772/TB MOD CHOP,MOD CHOP,,27000.0,22.03903544293997,-156.64686093004872,2020-02-12 08:27:00+00:00,3.0,0,H
T,EA50,BTR UUA /OV KBTR135024 /TM 1826 /FL380 /TP EA50 /TB SEV /RM FM ZHU AWC-WEB,SEV,,38000.0,30.254354377242763,-90.81852265346538,2020-02-05 18:26:00+00:00,5.0,0,U
F,C56X,LPR UA /OV DJB310010/TM 0010/FL190/TP C56X/TB CONS MOD 190-150,CONS MOD 190-150,,19000.0,41.4671399459225,-82.3301160162783,2020-02-07 00:10:00+00:00,3.0,0,M
F,C680,MOD UA /OV LIN060070 /TM 2156 /FL410 /TP C680 /TB LGT-MOD /RM ZOA CWSU AWC-WEB,LGT-MOD,,41000.0,38.65338058338058,-119.71650104646923,2020-02-10 21:56:00+00:00,2.0,0,U
T,C310,DGW UUA /OV IIP/TM 1815/FL100/TP C310/TB SEV/RM MTW +-1500FPM ZDV,SEV,,10000.0,42.68,-105.23,2020-02-14 18:15:00+00:00,5.0,0,L
F,A321,CNY UA /OV HVE263031/TM 1615/FL350/TP A321/TB MOD /ZLC,MOD,,35000.0,38.35502907233688,-111.35857329430408,2020-02-15 16:15:00+00:00,3.0,0,M
F,BE40,LSF UA /OV EUF270015/TM 1701/FL330/TP BE40/TB LGT-MOD/RM ZTLFD,LGT-MOD,,33000.0,31.9513,-85.4235620837164,2020-02-17 17:01:00+00:00,2.0,0,M
F,B772,UUA /OV 5023N04700W /TM 0735 /FL330 /TP B772 /TB SEV /RM SMOOTHEDOUT AT F370,SEV,,33000.0,50.3833,-47.0,2020-02-07 07:35:00+00:00,5.0,0,H
F,B737,PIE UA /OV PIE270100/TM 1637/FL380/TP B737/TB CONS LGT CHOP,CONS LGT CHOP,,38000.0,27.91,-84.57361661087546,2020-02-28 16:37:00+00:00,1.0,0,M
F,A321,VRB UA /OV OMN098148/TM 1647/FL360/TP A321/TB OCNL LGT CHOP,OCNL LGT CHOP,,36000.0,28.9572385441518,-78.3123732541852,2020-02-04 16:47:00+00:00,1.0,0,M
F,E135,DOV UA /OV ENO/TM 1431/FL240/TP E135/TB MOD,MOD,,24000.0,39.23,-75.52,2020-02-25 14:31:00+00:00,3.0,0,M
F,A333,UUA /OV YCL 360010 /TM 1845 /FL280 /TP A333 /TB SEV /RM ACFT WESTBOUND,SEV,,28000.0,48.14668016668016,-66.33,2020-02-06 18:45:00+00:00,5.0,0,H
F,C180,IER UA /OV IER /TM 2105 /FL080 /TP C180 /TB LGT-MOD CHOP /RM (AKFSS,LGT-MOD CHOP,,8000.0,31.73572,-93.09914,2020-02-01 21:05:00+00:00,2.0,0,L
T,B737,ORF UUA /OV 3840N07105W/TM 0430/FL350/TP B737/TB SEV,SEV,,35000.0,38.6666,-71.833,2020-02-19 04:30:00+00:00,5.0,0,M
F,A321,PHNL UA /OV 2536N 14700W /TM 2035 /FL330 /TP A321 /TB MOD 330 /RM ZOA CWSU AWC-WEB:,MOD 330,,33000.0,25.6,-147.0,2020-02-07 20:35:00+00:00,3.0,0,M
T,C310,MCO UUA /OV TIX180010/TM 2012/FL075/TP C310/TB SEV,SEV,,7500.0,28.348119833319835,-80.79923,2020-02-15 20:12:00+00:00,5.0,0,L
T,E145,MCB UUA /OV HEZ315010 /TM 2213 /FL360 /TP E145 /TB SEV /RM FM ZHU AWC-WEB,SEV,,36000.0,31.73152067614885,-91.43573878037664,2020-02-12 22:13:00+00:00,5.0,1,M
T,A320,AMG UUA /OV AMG090050/TM 0245/FL360/TP A320/TB SEV,SEV,,36000.0,31.53606,-81.52874710779132,2020-02-07 02:45:00+00:00,5.0,1,M
T,SR22,BJC UUA /OV BJC210022/TM 2237/FL130/TP SR22/TB SEV/RM 130-120 DURD,SEV,,13000.0,39.59124163096549,-105.35621514406604,2020-02-14 22:37:00+00:00,5.0,0,L
T,CRJ2,ATL UUA /OV 15 W ATL/TM 0959/FL100/TP CRJ2/TB SEV TB,SEV TB,,10000.0,33.6301,-84.74207758844686,2020-02-06 09:59:00+00:00,5.0,1,M
F,T38,HBR UA /OV LTS170020 /TM 2219 /FL220 /TP T38 /TB LGT/RM AWC-WEB,LGT,,22000.0,34.33877415916001,-99.19629769110831,2020-02-12 22:19:00+00:00,1.0,0,L
T,B738,BIH UUA /OV BIH160020 /TM 0017 /FL380 /TP B738 /TB SEV 380 /RM MOD-SEV 340 /ZOA CWSU AWC-WEB,SEV 380,,38000.0,37.05985375467856,-118.22013949744507,2020-02-03 00:17:00+00:00,5.0,0,M
F,MD88,CHA UA /OV GQO157048/TM 1340/FL210/TP MD88/TB NEG/RM ZTLFD,NEG,,21000.0,34.2235364684639,-84.76855975372486,2020-02-10 13:40:00+00:00,0.0,0,M
F,CL30,OAK UA /OV OAK/TM 1711/FL035/TP CL30/TB SEV TURB/RM SEV TURB. THROUGHOUT ENTIRE APPROACH,SEV TURB,,3500.0,37.72128,-122.22072,2020-02-09 17:11:00+00:00,5.0,0,U
F,B738,LAX UA /OV 3311N 13353W /TM 2255 /FL330 /TP B738 /TB NEG /RM SMOOTH RIDES AT FL330..CURRENTLY 15NM WEST-SOUTHWEST OF CUNDU..//OGG-OAK AWC-WEB,NEG,,33000.0,33.1833,-133.8833,2020-02-05 22:55:00+00:00,0.0,0,M
F,A320,NCA UA /OV DIW/TM 1448/FL330/TP A320/TB MOD CHOP,MOD CHOP,,33000.0,34.57,-77.45,2020-02-14 14:48:00+00:00,3.0,0,M
T,E135,WHP UUA /OV LHS139018/TM 1645/FL080/TP E135/TB OCNL SEV 080-140/RM DURC NE BOUND. COR SA-ID AND LOCTN AND TURB. ZLA CWSU,OCNL SEV 080-140,,8000.0,34.453568786472026,-118.34064279615195,2020-02-10 16:45:00+00:00,5.0,0,M
F,B737,SEA UA /OV SEA025035/TM 1725/FL140/TP B737/TB SEV/RM * ..ZSE,SEV,,14000.0,47.97341236552381,-121.94981773247964,2020-02-23 17:25:00+00:00,5.0,0,M
F,B739,ORD UA /OV DBQ360010/TM 2039/FL340/TP B739/TB NEG,NEG,,34000.0,42.56503016668017,-90.709143,2020-02-09 20:39:00+00:00,0.0,0,M
F,C425,LAR UA /OV LAR280025/TM 1952/FL135/TP C425/TB SEV/RM DURD FL135-120  LOCALIZED TO 0NE SMALL AREA  OTHERWISE LGT CHOP ZDV,SEV,,13500.0,41.38441926799308,-106.22134008235444,2020-02-15 19:52:00+00:00,5.0,0,L
F,B77W,PANC UA /OV 5017N 16529W /TM 0047 /FL320 /TP B77W /TB SEV 320 /RM ZOA CWSU AWC-WEB,SEV 320,,32000.0,50.2833,-165.4833,2020-02-10 00:47:00+00:00,5.0,1,U
F,B739,LFK UA /OV LFK100020 /TM 0224 /FL290 /TP B739 /TB MOD CHOP/RM AWC-WEB:,MOD CHOP,,29000.0,31.17612258560554,-94.36605368015648,2020-02-02 02:24:00+00:00,3.0,0,M
F,C5,DAA UA /OV NTU/TM 0422/FL330/TP C5/TB MOD,MOD,,33000.0,36.8207,-76.03354,2020-02-27 04:22:00+00:00,3.0,0,L
T,CRJ9,HKY UUA /OV BZM320015/TM 0558/FL170/TP CRJ9/TB OCNL SEV CAT 170-160/RM NO DAMAGES OR INJURIES RTEPORTED ZTLFD,OCNL SEV CAT 170-160,,17000.0,36.06152662319523,-81.43832196681413,2020-02-07 05:58:00+00:00,5.0,0,U
T,B77W,PANC UUA /OV 4724N 16336W /TM 2043 /FL340 /TP B77W /TB SEV 340 /RM ZOA CWSU AWC-WEB,SEV 340,,34000.0,47.4,-163.6,2020-02-09 20:43:00+00:00,5.0,0,U
T,PC12,GAD UUA /OV GAD300020/TM 2356/FL150/TP PC12/TB SEV/RM DURD THRU 130 ZTLFD,SEV,,15000.0,34.13933016668017,-86.43720128659733,2020-02-06 23:56:00+00:00,5.0,0,L
F,TBM8,WRB UA /OV MCN220043/TM 1625/FL310/TP TBM8/TB SEV/RM NO DAMAGES OR INJURIES REPORTED ZTLFD,SEV,,31000.0,32.14380701350701,-84.19663598079153,2020-02-13 16:25:00+00:00,5.0,1,U
F,E190,BOS UA /OV 20 NE BOS/TM 1910/FL040/TP E190/TB OCNL SEV,OCNL SEV,,4000.0,42.596291352297705,-70.69072171153698,2020-02-07 19:10:00+00:00,5.0,0,U
F,A20N,MYNN UA /OV ZQA113124/TM 2141/FL370/TP A20N/TB MOD CHOP,MOD CHOP,,37000.0,24.19242359266585,-75.35078953638664,2020-02-26 21:41:00+00:00,3.0,0,U
F,GALX,ORF UA /OV 3717N04738W/TM 2140/FL330/TP GALX/TB MOD,MOD,,33000.0,37.2833,-47.6333,2020-02-25 21:40:00+00:00,3.0,0,M
F,P28A,TUS UA /OV TUS /TM 2325 /FL105 /TP P28A /TB NEG /RM DURD,NEG,,10500.0,32.12027,-110.93798,2020-02-02 23:25:00+00:00,0.0,0,L
F,A321,ILM UA /OV ILM190135/TM 1331/FL350/TP A321/TB LGT CHOP,LGT CHOP,,35000.0,32.05400307433007,-78.37282580124035,2020-02-17 13:31:00+00:00,1.0,0,M
F,C25B,ORL UA /OV ORL180045/TM 1458/FL390/TP C25B/TB LGT CHOP/RM TOP FL380,LGT CHOP,,39000.0,27.795399249939248,-81.33294,2020-02-24 14:58:00+00:00,1.0,0,U
F,B738,MYNN UA /OV ZQA220080/TM 1834/FL360/TP B738/TB CONS LGT,CONS LGT,,36000.0,23.978524676292107,-78.39572680455777,2020-02-16 18:34:00+00:00,1.0,0,M
T,B752,TLH UUA /OV TLH200090/TM 1352/FL360/TP B752/TB SEV CAT,SEV CAT,,36000.0,28.98388689605354,-84.94616705056505,2020-02-26 13:52:00+00:00,5.0,0,M
F,B738,PHNL UA /OV 2411N 15221W /TM 0337 /FL340 /TP B738 /TB LGT-MOD 340 /RM ZOA CWSU AWC-WEB:,LGT-MOD 340,,34000.0,24.1833,-152.35,2020-02-22 03:37:00+00:00,2.0,0,M
F,CRJ9,MSS UA /OV VLV080060/TM 1112/FL320/TP CRJ9/TB MOD CAT,MOD CAT,,32000.0,46.02366224318339,-69.43602717350741,2020-02-07 11:12:00+00:00,3.0,0,U
F,C525,HDN UA /OV CHE050025/TM 0013/FL260/TP C525/TB SEV/RM FL260-250.....ZDV,SEV,,26000.0,40.78784986480625,-106.89008449768112,2020-02-15 00:13:00+00:00,5.0,0,L
F,A332,PHNL UA /OV 2301N 15235W /TM 0639 /FL390 /TP A332 /SK SKC /TB LGT /IC NEG /RM HAL5 HALDISP-NF AWC-WEB,LGT,,39000.0,23.166,-152.5833,2020-02-06 06:39:00+00:00,1.0,0,H
T,DC10,CON UUA /OV CON290025/TM 1851/FL220/TP DC10/TB SEV CAT,SEV CAT,,22000.0,43.33779993624374,-72.0382250470638,2020-02-12 18:51:00+00:00,5.0,0,H
T,B77W,PHL UUA /OV 3950N 16820E/TM 2016/FL320/TP B77W/TB SEV 320/RM ZOA CWSU,SEV 320,,32000.0,39.8333,168.3333,2020-02-12 20:16:00+00:00,5.0,0,U
F,A321,CHS UA /OV CHS020050/TM 1229/FL340/TP A321/TB CONS LGT,CONS LGT,,34000.0,33.68174061330359,-79.70101855258797,2020-02-08 12:29:00+00:00,1.0,0,M
F,B752,BKW UA /OV LVT360020/TM 1755/FL370/TP B752/TB LGT-MOD CHOP,LGT-MOD CHOP,,37000.0,36.91336033336033,-85.17,2020-02-04 17:55:00+00:00,2.0,0,M
F,E75,DTW UA /OV DXO120040/TM 1441/FL210/TP E75/TB CON LGT/MOD CHOP/RM FL210-240,CON LGT,,21000.0,41.87663966663967,-82.5904578133485,2020-02-02 14:41:00+00:00,1.0,0,U
F,A320,ELO UA /OV ELO360030/TM 1731/FL360/TP A320/TB LGT,LGT,,36000.0,48.328770990040496,-91.83706672,2020-02-24 17:31:00+00:00,1.0,0,M
F,C172,CGE UA /OV CGE325005 /TM 1825 /FL031 /TP C172 /SK SKC /TA 04 /TB LGT /RM DURD,LGT,,3100.0,38.60759259963924,-76.09151283659038,2020-02-22 18:25:00+00:00,1.0,0,L
F,E175,ABI UA /OV ABI /TM 0502 /FL350 /TP E175 /TB LGT-MOD CHOP OCNL LGT /RM ZFW AWC-WEB:,LGT-MOD CHOP OCNL LGT,,35000.0,32.41062851,-99.68208563,2020-02-17 05:02:00+00:00,2.0,0,U
T,BE76,RNM UUA /OV RNM060007/TM 1742/FL075/TP BE76/TB SEV,SEV,,7500.0,33.09750805833806,-116.79471472829285,2020-02-04 17:42:00+00:00,5.0,0,L
