URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight,nexrad_sites,aws_files
F,E75S,AHN UA /OV AHN170045/TM 0427/FL260/TP E75S/TB CONS LGT CHOP/RM BORDERLINE MOD CHOP. ZTLFD,CONS LGT CHOP,,26000.0,33.20993435811002,-83.16933905826774,2019-11-26 04:27:00+00:00,1.0,0,U,"('KJGX', 'KFFC', 'KGSP', 'KCAE', 'KCLX')","['s3://unidata-nexrad-level2/2019/11/26/KFFC/KFFC20191126_041954_V06', 's3://unidata-nexrad-level2/2019/11/26/KGSP/KGSP20191126_041821_V06', 's3://unidata-nexrad-level2/2019/11/26/KCAE/KCAE20191126_042213_V06', 's3://unidata-nexrad-level2/2019/11/26/KCLX/KCLX20191126_042452_V06']"
F,P28A,OBE UA /OV PHK350024 /TM 1756 /FL030 /TP P28A /SK SKC /WX FV10SM /TB LGT CHOP,LGT CHOP,,3000.0,27.17395500900799,-80.76781061918165,2019-11-18 17:56:00+00:00,1.0,0,L,"('KMLB', 'KTBW', 'KAMX', 'KAMX', 'KBYX')","['s3://unidata-nexrad-level2/2019/11/18/KMLB/KMLB20191118_175517_V06', 's3://unidata-nexrad-level2/2019/11/18/KTBW/KTBW20191118_175049_V06', 's3://unidata-nexrad-level2/2019/11/18/KAMX/KAMX20191118_175030_V06', 's3://unidata-nexrad-level2/2019/11/18/KAMX/KAMX20191118_175030_V06', 's3://unidata-nexrad-level2/2019/11/18/KBYX/KBYX20191118_175334_V06']"
F,B737,WMC UA /OV BAM235056/TM 2315/FL380/TP B737/TB LGT-MOD /RM /ZLC,LGT-MOD,,38000.0,40.063618630317066,-117.88130815497335,2019-11-23 23:15:00+00:00,2.0,0,M,"('KLRX', 'KRGX', 'KBBX', 'KDAX', 'KCBX')","['s3://unidata-nexrad-level2/2019/11/23/KLRX/KLRX20191123_230527_V06', 's3://unidata-nexrad-level2/2019/11/23/KRGX/KRGX20191123_231205_V06', 's3://unidata-nexrad-level2/2019/11/23/KBBX/KBBX20191123_231337_V06', 's3://unidata-nexrad-level2/2019/11/23/KDAX/KDAX20191123_231227_V06', 's3://unidata-nexrad-level2/2019/11/23/KCBX/KCBX20191123_231225_V06']"
T,C182,TRM UUA /OV PSP030020 /TM 1925 /FL073 /TP C182 /TB SEV /RM ZLAWC AWC-WEB:,SEV,,7300.0,34.1183685173041,-116.30603884812987,2019-11-25 19:25:00+00:00,5.0,0,L,"('KSOX', 'KNKX', 'KEYX', 'KESX', 'KYUX')","['s3://unidata-nexrad-level2/2019/11/25/KSOX/KSOX20191125_192134_V06', 's3://unidata-nexrad-level2/2019/11/25/KNKX/KNKX20191125_190352_V06', 's3://unidata-nexrad-level2/2019/11/25/KEYX/KEYX20191125_192456_V06', 's3://unidata-nexrad-level2/2019/11/25/KESX/KESX20191125_191847_V06', 's3://unidata-nexrad-level2/2019/11/25/KYUX/KYUX20191125_192426_V06']"
F,MD90,TLH UA /OV TLH140095/TM 1852/FL280/TP MD90/TB LGT CONT CAT,LGT CONT CAT,,28000.0,29.18053805309688,-83.17135459227346,2019-11-25 18:52:00+00:00,1.0,0,M,"('KTLH', 'KTBW', 'KJAX', 'KVAX', 'KMLB')","['s3://unidata-nexrad-level2/2019/11/25/KTLH/KTLH20191125_184903_V06', 's3://unidata-nexrad-level2/2019/11/25/KTBW/KTBW20191125_184440_V06', 's3://unidata-nexrad-level2/2019/11/25/KJAX/KJAX20191125_184246_V06', 's3://unidata-nexrad-level2/2019/11/25/KVAX/KVAX20191125_185151_V06', 's3://unidata-nexrad-level2/2019/11/25/KMLB/KMLB20191125_184834_V06']"
T,C510,CMA UUA /OV FIM/TM 1546/FL350/TP C510/TB SEV/RM ZLA CWSU,SEV,,35000.0,34.36,-118.88,2019-11-25 15:46:00+00:00,5.0,0,U,"('KVTX', 'KVBX', 'KSOX', 'KEYX', 'KHNX')","['s3://unidata-nexrad-level2/2019/11/25/KVTX/KVTX20191125_154025_V06', 's3://unidata-nexrad-level2/2019/11/25/KVBX/KVBX20191125_154136_V06', 's3://unidata-nexrad-level2/2019/11/25/KSOX/KSOX20191125_153822_V06', 's3://unidata-nexrad-level2/2019/11/25/KEYX/KEYX20191125_154415_V06', 's3://unidata-nexrad-level2/2019/11/25/KHNX/KHNX20191125_154354_V06']"
T,BE36,AND UUA /OV ODF360030/TM 1844/FL080/TP BE36/TB SEV 080/RM ZTLFD,SEV 080,,8000.0,35.2000405000405,-83.3,2019-11-27 18:44:00+00:00,5.0,0,L,"('KGSP', 'KMRX', 'KFFC', 'KCAE', 'KJKL')","['s3://unidata-nexrad-level2/2019/11/27/KGSP/KGSP20191127_183638_V06', 's3://unidata-nexrad-level2/2019/11/27/KMRX/KMRX20191127_184149_V06', 's3://unidata-nexrad-level2/2019/11/27/KFFC/KFFC20191127_183913_V06', 's3://unidata-nexrad-level2/2019/11/27/KCAE/KCAE20191127_184213_V06', 's3://unidata-nexrad-level2/2019/11/27/KJKL/KJKL20191127_183716_V06']"
F,C172,LNS UA /OV LNS/TM 1353/FL060/TP C172/TB MOD,MOD,,6000.0,40.12028,-76.29444,2019-11-11 13:53:00+00:00,3.0,0,L,"('KDIX', 'KDOX', 'KLWX', 'KCCX', 'KBGM')","['s3://unidata-nexrad-level2/2019/11/11/KDIX/KDIX20191111_135014_V06', 's3://unidata-nexrad-level2/2019/11/11/KDOX/KDOX20191111_134456_V06', 's3://unidata-nexrad-level2/2019/11/11/KLWX/KLWX20191111_134851_V06', 's3://unidata-nexrad-level2/2019/11/11/KCCX/KCCX20191111_134636_V06', 's3://unidata-nexrad-level2/2019/11/11/KBGM/KBGM20191111_134625_V06']"
F,B737,DOV UA /OV ENO103006 /TM 1130 /FL140 /TP B737 /TB LGT /IC LGT-MOD RIME /RM LGT TURB 140-180 IC 160-170 DURC OUT OF KPHL AWC-WEB,LGT,,14000.0,39.20750307246025,-75.3942019021985,2019-11-24 11:30:00+00:00,1.0,0,M,"('KDOX', 'KDIX', 'KLWX', 'KOKX', 'KAKQ')","['s3://unidata-nexrad-level2/2019/11/24/KDOX/KDOX20191124_112637_V06', 's3://unidata-nexrad-level2/2019/11/24/KDIX/KDIX20191124_112914_V06', 's3://unidata-nexrad-level2/2019/11/24/KLWX/KLWX20191124_112635_V06', 's3://unidata-nexrad-level2/2019/11/24/KOKX/KOKX20191124_112531_V06', 's3://unidata-nexrad-level2/2019/11/24/KAKQ/KAKQ20191124_112342_V06']"
T,B739,DEN UUA /OV DEN255048/TM 1748/FL244/TP B739/TB SEV/RM ONE BIG BUMP ZDV,SEV,,24400.0,39.62572799242709,-105.66386305481504,2019-11-30 17:48:00+00:00,5.0,0,M,"('KFTG', 'KPUX', 'KCYS', 'KGJX', 'KGLD')","['s3://unidata-nexrad-level2/2019/11/30/KFTG/KFTG20191130_174441_V06', 's3://unidata-nexrad-level2/2019/11/30/KPUX/KPUX20191130_174556_V06', 's3://unidata-nexrad-level2/2019/11/30/KCYS/KCYS20191130_174242_V06', 's3://unidata-nexrad-level2/2019/11/30/KGJX/KGJX20191130_173819_V06', 's3://unidata-nexrad-level2/2019/11/30/KGLD/KGLD20191130_174530_V06']"
F,E145,ORD UA /OV BVT/TM 2235/FL230/TP E145/TB MOD CHOP 210-230,MOD CHOP 210-230,,23000.0,40.56,-87.07,2019-11-26 22:35:00+00:00,3.0,0,M,"('KIND', 'KLOT', 'KIWX', 'KILX', 'KVWX')","['s3://unidata-nexrad-level2/2019/11/26/KIND/KIND20191126_223338_V06', 's3://unidata-nexrad-level2/2019/11/26/KLOT/KLOT20191126_223241_V06', 's3://unidata-nexrad-level2/2019/11/26/KIWX/KIWX20191126_223345_V06', 's3://unidata-nexrad-level2/2019/11/26/KILX/KILX20191126_223105_V06', 's3://unidata-nexrad-level2/2019/11/26/KVWX/KVWX20191126_223117_V06']"
F,B737,TUS UA /OV TUS130@15/TM 1445/FL130/TP B737/TB MOD,MOD,,13000.0,32.12027,-110.93798,2019-11-29 14:45:00+00:00,3.0,1,M,"('KEMX', 'KIWA', 'KFSX', 'KFSX', 'KYUX')","['s3://unidata-nexrad-level2/2019/11/29/KEMX/KEMX20191129_144344_V06', 's3://unidata-nexrad-level2/2019/11/29/KIWA/KIWA20191129_144407_V06', 's3://unidata-nexrad-level2/2019/11/29/KFSX/KFSX20191129_144013_V06', 's3://unidata-nexrad-level2/2019/11/29/KFSX/KFSX20191129_144013_V06', 's3://unidata-nexrad-level2/2019/11/29/KYUX/KYUX20191129_144302_V06']"
