URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight,nexrad_sites,aws_files
T,B737,HLN UUA /OV HLN 090050/TM 1959/FL400/TP B737/TB SEV/ZLC,SEV,,40000.0,46.6056,-110.7505274732266,2008-08-26 19:59:00+00:00,5.0,0,M,"('KTFX', 'KBLX', 'KMSX', 'KGGW', 'KSFX')","['s3://unidata-nexrad-level2/2008/08/26/KTFX/KTFX20080826_195649_V03.gz', 's3://unidata-nexrad-level2/2008/08/26/KBLX/KBLX20080826_195023_V03.gz', 's3://unidata-nexrad-level2/2008/08/26/KMSX/KMSX20080826_195427_V03.gz', 's3://unidata-nexrad-level2/2008/08/26/KGGW/KGGW20080826_195633_V03.gz', 's3://unidata-nexrad-level2/2008/08/26/KSFX/KSFX20080826_195704_V03.gz']"
T,GLF5,SLC UUA /OV TCH180016 /TM 2315 /FL090 /TP GLF5 /TB SEV,SEV,200808312300-KMSC-UBUS01-PIREP,9000.0,40.58331173331173,-111.98,2008-08-31 23:15:00+00:00,5.0,1,M,"('KMTX', 'KSFX', 'KICX', 'KGJX', 'KRIW')","['s3://unidata-nexrad-level2/2008/08/31/KMTX/KMTX20080831_225557_V03.gz', 's3://unidata-nexrad-level2/2008/08/31/KSFX/KSFX20080831_225639_V03.gz', 's3://unidata-nexrad-level2/2008/08/31/KICX/KICX20080831_231420_V03.gz', 's3://unidata-nexrad-level2/2008/08/31/KGJX/KGJX20080831_231247_V03.gz', 's3://unidata-nexrad-level2/2008/08/31/KRIW/KRIW20080831_225918_V03.gz']"
T,A306,JHW UUA /OV JHW110002 /TM 2119 /FL330 /TP A306 /TB SEV,SEV,,33000.0,42.141988405100506,-79.21577520676672,2008-08-26 21:19:00+00:00,5.0,0,H,"('KBUF', 'KCCX', 'KPBZ', 'KCLE', 'KBGM')","['s3://unidata-nexrad-level2/2008/08/26/KBUF/KBUF20080826_211642_V03.gz', 's3://unidata-nexrad-level2/2008/08/26/KCCX/KCCX20080826_211354_V03.gz', 's3://unidata-nexrad-level2/2008/08/26/KPBZ/KPBZ20080826_211353_V03.gz', 's3://unidata-nexrad-level2/2008/08/26/KCLE/KCLE20080826_211439_V03.gz']"
F,C414,KBPI UA /OV BPI270016 /TM 0127 /FL155 /TP C414 /WX FV25SM HZ FU /TB LGT,LGT,,15500.0,42.58507,-110.47336361776811,2008-08-05 01:27:00+00:00,1.0,0,L,"('KRIW', 'KSFX', 'KMTX', 'KBLX', 'KGJX')","['s3://unidata-nexrad-level2/2008/08/05/KRIW/KRIW20080805_012638_V03.gz', 's3://unidata-nexrad-level2/2008/08/05/KSFX/KSFX20080805_011834_V03.gz', 's3://unidata-nexrad-level2/2008/08/05/KMTX/KMTX20080805_012512_V03.gz', 's3://unidata-nexrad-level2/2008/08/05/KBLX/KBLX20080805_012521_V03.gz', 's3://unidata-nexrad-level2/2008/08/05/KGJX/KGJX20080805_012629_V03.gz']"
F,PA20,SVE UA /OV FMG360057 /TM 1903 /FL105 /TP PA20 /TA 09 /TB MOD /RM OCNL MOD,MOD,,10500.0,40.48007695007695,-119.66,2008-08-09 19:03:00+00:00,3.0,0,L,"('KRGX', 'KBBX', 'KLRX', 'KDAX', 'KMAX')","['s3://unidata-nexrad-level2/2008/08/09/KRGX/KRGX20080809_185434_V03.gz', 's3://unidata-nexrad-level2/2008/08/09/KBBX/KBBX20080809_185747_V04.gz', 's3://unidata-nexrad-level2/2008/08/09/KLRX/KLRX20080809_190245_V03.gz', 's3://unidata-nexrad-level2/2008/08/09/KDAX/KDAX20080809_185541_V03.gz', 's3://unidata-nexrad-level2/2008/08/09/KMAX/KMAX20080809_190015_V03.gz']"
F,BE9L,HZY UA /OV CXR090013 /TM 1854 /FL090 /TP BE9L /TB MOD,MOD,,9000.0,41.52,-80.87059548306196,2008-08-27 18:54:00+00:00,3.0,0,L,"('KCLE', 'KPBZ', 'KBUF', 'KCCX', 'KDTX')","['s3://unidata-nexrad-level2/2008/08/27/KCLE/KCLE20080827_185141_V03.gz', 's3://unidata-nexrad-level2/2008/08/27/KPBZ/KPBZ20080827_185044_V03.gz', 's3://unidata-nexrad-level2/2008/08/27/KBUF/KBUF20080827_185254_V03.gz', 's3://unidata-nexrad-level2/2008/08/27/KCCX/KCCX20080827_185307_V03.gz', 's3://unidata-nexrad-level2/2008/08/27/KDTX/KDTX20080827_184858_V03.gz']"
T,AT72,KMYR UUA /OV MYR135020 /TM 2352 /FL020 /TP AT72 /TB SEV 040-020,SEV 040-020,,2000.0,33.4442786477023,-78.6467313705159,2008-08-07 23:52:00+00:00,5.0,1,M,"('KLTX', 'KMHX', 'KCAE', 'KCLX', 'KRAX')","['s3://unidata-nexrad-level2/2008/08/07/KLTX/KLTX20080807_235040_V03.gz', 's3://unidata-nexrad-level2/2008/08/07/KMHX/KMHX20080807_234745_V03.gz', 's3://unidata-nexrad-level2/2008/08/07/KCAE/KCAE20080807_234735_V03.gz', 's3://unidata-nexrad-level2/2008/08/07/KCLX/KCLX20080807_234842_V03.gz', 's3://unidata-nexrad-level2/2008/08/07/KRAX/KRAX20080807_234754_V03.gz']"
T,AC50,ICT UUA /OV ICT060050/TM 1221/FL060/TP AC50/TB SEV/RM FM ZKC,SEV,200808141230-KWBC-UBKS91-PIREP,6000.0,38.166700416700415,-96.66719386567496,2008-08-14 12:21:00+00:00,5.0,1,L,"('KICT', 'KTWX', 'KVNX', 'KEAX', 'KINX')","['s3://unidata-nexrad-level2/2008/08/14/KICT/KICT20080814_121738_V03.gz', 's3://unidata-nexrad-level2/2008/08/14/KTWX/KTWX20080814_121713_V03.gz', 's3://unidata-nexrad-level2/2008/08/14/KVNX/KVNX20080814_121924_V04.gz', 's3://unidata-nexrad-level2/2008/08/14/KEAX/KEAX20080814_122053_V03.gz', 's3://unidata-nexrad-level2/2008/08/14/KINX/KINX20080814_121800_V03.gz']"
T,C210,AFP UUA /OV CLT100030 /TM 0045 /FL090 /TP C210 /TB SEV,SEV,,9000.0,35.135718878408305,-80.35150313223264,2008-08-30 00:45:00+00:00,5.0,0,L,"('KCAE', 'KGSP', 'KRAX', 'KFCX', 'KLTX')","['s3://unidata-nexrad-level2/2008/08/30/KCAE/KCAE20080830_004359_V03.gz', 's3://unidata-nexrad-level2/2008/08/30/KGSP/KGSP20080830_004409_V03.gz', 's3://unidata-nexrad-level2/2008/08/30/KRAX/KRAX20080830_004132_V03.gz', 's3://unidata-nexrad-level2/2008/08/30/KFCX/KFCX20080830_004257_V03.gz', 's3://unidata-nexrad-level2/2008/08/30/KLTX/KLTX20080830_010151_V03.gz']"
T,E145,LAL UUA /OV LAL043013/TM 1925/FL360/TP E145/TB SEV/RM SEVERE TURB. ZMA CWSU,SEV,,36000.0,28.147392803954453,-81.85120795000148,2008-08-18 19:25:00+00:00,5.0,1,M,"('KTBW', 'KMLB', 'KJAX', 'KAMX', 'KAMX')","['s3://unidata-nexrad-level2/2008/08/18/KTBW/KTBW20080818_192310_V03.gz', 's3://unidata-nexrad-level2/2008/08/18/KMLB/KMLB20080818_191913_V03.gz', 's3://unidata-nexrad-level2/2008/08/18/KJAX/KJAX20080818_185600_V03.gz', 's3://unidata-nexrad-level2/2008/08/18/KAMX/KAMX20080818_192457_V03.gz', 's3://unidata-nexrad-level2/2008/08/18/KAMX/KAMX20080818_192457_V03.gz']"
