label,issue,expire,fl_low,fl_high,polygon
1E,2015-03-01 00:55:00+00:00,2015-03-01 02:55:00+00:00,0.0,35000.0,"POLYGON ((-81.01789704403237 27.578165652292313, -80.86569311901548 27.448419880841172, -81.70389803749156 26.46512711427443, -81.85610196250845 26.59487288572557, -81.01789704403237 27.578165652292313))"
2E,2015-03-01 02:55:00+00:00,2015-03-01 04:55:00+00:00,0.0,33000.0,"POLYGON ((-80.99877067211446 27.357653815720127, -80.90130290928428 27.183011222951706, -82.03012576545188 26.553016920427037, -82.12759352828206 26.72765951319546, -80.99877067211446 27.357653815720127))"
PAPA 2,2015-03-01 03:45:00+00:00,2015-03-01 07:45:00+00:00,0.0,35000.0,"POLYGON ((-153.42 28, -147.06 27.12, -150.3 19.48, -157.24 21.36, -153.42 28))"
PAPA 3,2015-03-01 07:00:00+00:00,2015-03-01 11:00:00+00:00,0.0,35000.0,"POLYGON ((-153 29.3, -147 28.3, -151 20, -157 22, -153 29.3))"
1C,2015-03-01 07:30:00+00:00,2015-03-01 08:55:00+00:00,0.0,32000.0,"POLYGON ((-92.66634726296044 29.204291275272425, -91.77281525911877 28.561035739589954, -93.98927197484319 28.267145940503376, -93.80353351672373 28.668950387233526, -92.66634726296044 29.204291275272425))"
2C,2015-03-01 07:55:00+00:00,2015-03-01 09:55:00+00:00,0.0,32000.0,"POLYGON ((-92.60016230244482 29.063081009224742, -92.0873693055967 27.40074488748466, -93.11 26.97898984100855, -93.90639357049436 28.446843926913996, -92.60016230244482 29.063081009224742))"
3C,2015-03-01 08:55:00+00:00,2015-03-01 10:55:00+00:00,0.0,30000.0,"POLYGON ((-92.04772063941503 29.753723960894575, -91.03571626812398 28.35326538449789, -92.2175387169117 27.281125564916028, -93.76353843840683 28.75503802079858, -92.04772063941503 29.753723960894575))"
PAPA 4,2015-03-01 09:55:00+00:00,2015-03-01 13:55:00+00:00,0.0,35000.0,"POLYGON ((-149.3 29.3, -149 21.3, -153.3 18, -157 23, -153.3 29.3, -149.3 29.3))"
4C,2015-03-01 09:55:00+00:00,2015-03-01 11:55:00+00:00,0.0,30000.0,"POLYGON ((-91.58368863977213 29.874851353251074, -90.889339922516 27.486935836442697, -93.11 26.97898984100855, -93.69179473095363 28.909078579739848, -91.58368863977213 29.874851353251074))"
PAPA 5,2015-03-01 14:07:00+00:00,2015-03-01 18:05:00+00:00,0.0,35000.0,"POLYGON ((-149.3 30, -149 21.3, -153.3 18, -157.3 22.3, -153.3 30, -149.3 30))"
5C,2015-03-01 14:55:00+00:00,2015-03-01 16:55:00+00:00,,,"POLYGON ((-95.12614861202786 29.97335193230996, -93.28751253036185 30.05244209106786, -92.93067412702588 29.85495891725263, -95.09806945434721 29.77533284003867, -93.22505119255176 30.04092730625125, -92.83383060908635 30.0299484398907, -93.19066901242232 30.22743161370593, -93.25313035023241 30.23894639852254, -95.12614861202786 29.97335193230996))"
6C,2015-03-01 14:55:00+00:00,2015-03-01 16:55:00+00:00,0.0,34000.0,"POLYGON ((-92.67465998688289 31.540193089093762, -92.07735570434173 31.028784811507034, -92.20743085012535 30.87686227713714, -92.80473513266651 31.388270554723867, -92.67465998688289 31.540193089093762))"
FOXTROT 1,2015-03-01 15:40:00+00:00,2015-03-01 19:40:00+00:00,0.0,47000.0,"POLYGON ((-125 14, -122.15 13.15, -124.45 10, -128 10.15, -125 14))"
7C,2015-03-01 15:55:00+00:00,2015-03-01 17:55:00+00:00,0.0,34000.0,"POLYGON ((-91.97030716070273 32.01343031451069, -91.22030716070273 31.28456876929873, -91.35969283929728 31.1411406249102, -92.10969283929728 31.87000217012216, -91.97030716070273 32.01343031451069))"
9C,2015-03-01 16:55:00+00:00,2015-03-01 18:55:00+00:00,0.0,36000.0,"POLYGON ((-93.85559589241451 31.255284567488307, -92.83791333659642 31.050865221894217, -92.87730010893651 30.854781866749956, -93.89498266475461 31.059201212344046, -93.85559589241451 31.255284567488307))"
8C,2015-03-01 16:55:00+00:00,2015-03-01 18:55:00+00:00,0.0,32000.0,"POLYGON ((-91.50406995211212 32.43191078381506, -90.6790505706748 31.786789636125764, -90.8022475262816 31.629238025124113, -91.62726690771892 32.27435917281341, -91.50406995211212 32.43191078381506))"
FOXTROT 2,2015-03-01 17:50:00+00:00,2015-03-01 21:50:00+00:00,0.0,47000.0,"POLYGON ((-120.3 15.15, -124.3 10.15, -128.15 10.3, -124.3 14.45, -120.3 15.15))"
10C,2015-03-01 17:55:00+00:00,2015-03-01 19:55:00+00:00,0.0,38000.0,"POLYGON ((-93.21864337521622 31.61032943185949, -92.11375730825326 30.667850170813107, -92.24355272310113 30.515688578141155, -93.3484387900641 31.45816783918754, -93.21864337521622 31.61032943185949))"
PAPA 6,2015-03-01 18:00:00+00:00,2015-03-01 22:05:00+00:00,,,"POLYGON ((-153.3 30, -148.4 30, -147 23.5, -148 20.4, -150 18.5, -152.2 19.2, -155 25.1, -153.3 30))"
11C,2015-03-01 18:55:00+00:00,2015-03-01 20:55:00+00:00,0.0,38000.0,"POLYGON ((-93.16613293829789 31.571577171218312, -93.08680035338759 31.38798430378755, -94.21289827945463 30.9013844669463, -94.29223086436494 31.08497733437706, -93.16613293829789 31.571577171218312))"
12C,2015-03-01 19:55:00+00:00,2015-03-01 21:55:00+00:00,0.0,35000.0,"POLYGON ((-93.40796763613314 31.682981383517678, -92.78003612200622 31.464727962272974, -92.8456979644363 31.27581390125927, -93.47362947856321 31.494067322503973, -93.40796763613314 31.682981383517678))"
13C,2015-03-01 19:55:00+00:00,2015-03-01 21:55:00+00:00,0.0,35000.0,"POLYGON ((-90.71557219439238 32.4999981189967, -89.72067382499618 31.536972183345668, -89.85977459814494 31.393267712610005, -90.85467296754113 32.35629364826103, -90.71557219439238 32.4999981189967))"
QUEBEC 1,2015-03-01 20:20:00+00:00,2015-03-02 00:25:00+00:00,0.0,52000.0,"POLYGON ((142 11.3, 148.1 9.1, 154.5 8.1, 151.4 1.5, 144.4 4, 140 8, 142 11.3))"
14C,2015-03-01 20:55:00+00:00,2015-03-01 22:55:00+00:00,0.0,35000.0,"POLYGON ((-93.75420801895702 31.585098524675992, -92.40936975564873 31.22297840226196, -92.46137091513668 31.02985699119651, -93.80620917844497 31.391977113610544, -93.75420801895702 31.585098524675992))"
15C,2015-03-01 20:55:00+00:00,2015-03-01 22:55:00+00:00,0.0,35000.0,"POLYGON ((-90.82049910864895 32.77232071847233, -89.51007368503093 31.366408569165042, -89.65637602420031 31.230042790636976, -90.96680144781833 32.63595493994427, -90.82049910864895 32.77232071847233))"
16C,2015-03-01 21:55:00+00:00,2015-03-01 23:55:00+00:00,0.0,35000.0,"POLYGON ((-89.87623755620176 32.560857591961394, -88.61865050049663 31.473060006023033, -88.74949153364453 31.321796580024575, -90.00707858934966 32.40959416596294, -89.87623755620176 32.560857591961394))"
17C,2015-03-01 21:55:00+00:00,2015-03-01 23:55:00+00:00,0.0,38000.0,"POLYGON ((-91.67594318316742 32.392142289384296, -91.06728989582163 30.950925413285248, -93.1835056596888 29.986274652438738, -93.19243105422565 31.846348303066897, -91.67594318316742 32.392142289384296))"
PAPA 7,2015-03-01 22:00:00+00:00,2015-03-02 02:05:00+00:00,0.0,38000.0,"POLYGON ((-153.4 29.3, -147.4 29.1, -147 22.5, -151.3 23.3, -154.3 26.5, -153.4 29.3))"
19C,2015-03-01 22:55:00+00:00,2015-03-02 00:55:00+00:00,0.0,37000.0,"POLYGON ((-92.04 32.08628718173732, -90.4162248636625 31.24458054585929, -92.64743753828544 29.97321448923831, -93.11 30.573712818262685, -92.04 32.08628718173732))"
20C,2015-03-01 23:55:00+00:00,2015-03-02 01:55:00+00:00,0.0,37000.0,"POLYGON ((-91.99263108191563 31.259003506093833, -90.10377513633752 31.24458054585929, -91.99734978942344 29.874728053047917, -92.80075917012448 30.250287435061992, -91.99263108191563 31.259003506093833))"
QUEBEC 2,2015-03-02 00:20:00+00:00,2015-03-02 04:25:00+00:00,0.0,52000.0,"POLYGON ((141.4 11.5, 147.1 9.4, 154.3 7.5, 151.4 2.2, 143.4 5.1, 140.5 9.2, 141.4 11.5))"
1C,2015-03-02 00:55:00+00:00,2015-03-02 02:55:00+00:00,0.0,37000.0,"POLYGON ((-91.65439571701647 31.257232010844838, -89.41403704097111 31.297227652763507, -91.03458319894392 29.955486518555308, -92.33992816525088 29.861128297009248, -91.65439571701647 31.257232010844838))"
2C,2015-03-02 01:55:00+00:00,2015-03-02 03:55:00+00:00,0.0,37000.0,"POLYGON ((-88.73333151339516 31.49799042518937, -90.74654503539395 30.01831048375877, -92.22419422492321 29.818693376637544, -91.03881430639228 31.29765030211519, -88.73333151339516 31.49799042518937))"
PAPA 8,2015-03-02 02:00:00+00:00,2015-03-02 06:05:00+00:00,0.0,38000.0,"POLYGON ((-152.5 29.3, -149.2 29.1, -149.3 22.1, -153.3 22.4, -152.5 29.3))"
3C,2015-03-02 02:55:00+00:00,2015-03-02 04:55:00+00:00,0.0,37000.0,"POLYGON ((-89.63620188529998 31.077192645861402, -90.50005116213268 29.849057985895918, -91.76254658660193 30.08023951745027, -90.72812392182225 31.133176234794302, -89.63620188529998 31.077192645861402))"
GOLF 1,2015-03-02 03:15:00+00:00,2015-03-02 07:15:00+00:00,0.0,48000.0,"POLYGON ((-119.52199999999999 14.3, -119.53537682930464 14.027708384164482, -119.57537849103983 13.758039085439197, -119.64161974733592 13.493589166587105, -119.73346265868365 13.23690542488978, -119.85002272764027 12.99045986509738, -119.99017741702353 12.756625892671545, -120.15257696055832 12.537655456593393, -120.33565736186377 12.335657361863772, -120.53765545659338 12.152576960558317, -120.75662589267154 11.99017741702353, -120.99045986509738 11.85002272764027, -121.23690542488978 11.733462658683646, -121.4935891665871 11.641619747335923, -121.7580390854392 11.575378491039826, -122.02770838416448 11.535376829304639, -122.3 11.522, -122.57229161583551 11.535376829304639, -122.8419609145608 11.575378491039826, -123.1064108334129 11.641619747335923, -123.36309457511021 11.733462658683646, -123.60954013490262 11.85002272764027, -123.84337410732846 11.99017741702353, -124.06234454340661 12.152576960558317, -124.26434263813623 12.335657361863772, -124.44742303944167 12.537655456593393, -124.60982258297646 12.756625892671545, -124.74997727235973 12.990459865097378, -124.86653734131635 13.23690542488978, -124.95838025266407 13.493589166587103, -125.02462150896017 13.758039085439195, -125.06462317069536 14.02770838416448, -125.078 14.3, -125.06462317069536 14.57229161583552, -125.02462150896017 14.841960914560806, -124.95838025266407 15.106410833412896, -124.86653734131636 15.36309457511022, -124.74997727235973 15.609540134902621, -124.60982258297646 15.843374107328454, -124.44742303944167 16.062344543406606, -124.26434263813623 16.26434263813623, -124.06234454340661 16.447423039441684, -123.84337410732846 16.60982258297647, -123.60954013490262 16.74997727235973, -123.36309457511022 16.866537341316356, -123.1064108334129 16.958380252664078, -122.8419609145608 17.024621508960173, -122.57229161583551 17.064623170695363, -122.3 17.078, -122.02770838416448 17.064623170695363, -121.7580390854392 17.024621508960173, -121.4935891665871 16.958380252664078, -121.23690542488978 16.866537341316356, -120.99045986509738 16.749977272359732, -120.75662589267154 16.60982258297647, -120.53765545659338 16.447423039441684, -120.33565736186377 16.26434263813623, -120.15257696055832 16.06234454340661, -119.99017741702353 15.843374107328456, -119.85002272764027 15.609540134902623, -119.73346265868365 15.363094575110221, -119.64161974733592 15.106410833412898, -119.57537849103983 14.841960914560806, -119.53537682930464 14.57229161583552, -119.52199999999999 14.3))"
4C,2015-03-02 03:55:00+00:00,2015-03-02 05:55:00+00:00,0.0,36000.0,"POLYGON ((-89.20091891365409 30.727289410313478, -89.6916653507062 29.96029164658321, -91.5454168010561 29.955486518555308, -91.17124339671203 30.59217328327645, -89.20091891365409 30.727289410313478))"
QUEBEC 3,2015-03-02 04:08:00+00:00,2015-03-02 08:08:00+00:00,0.0,55000.0,"POLYGON ((155.3 7, 159 2.3, 141 0.45, 141 4.15, 155.3 7))"
GOLF 2,2015-03-02 04:45:00+00:00,2015-03-02 08:45:00+00:00,0.0,48000.0,"POLYGON ((-120.06240385730766 16.814477447541744, -124.76240385730766 14.514477447541742, -125.23759614269234 15.485522552458258, -120.53759614269234 17.785522552458257, -120.06240385730766 16.814477447541744))"
5C,2015-03-02 04:55:00+00:00,2015-03-02 06:55:00+00:00,0.0,37000.0,"POLYGON ((-89.0327396713436 30.728265205535713, -89.33326837883556 29.848325320623506, -91.29 29.91171624231642, -90.98035276256746 30.37898434129649, -89.0327396713436 30.728265205535713))"
PAPA 9,2015-03-02 05:33:00+00:00,2015-03-02 09:33:00+00:00,0.0,39000.0,"POLYGON ((-150.3 29.3, -149 22.3, -153 22, -154 29, -150.3 29.3))"
6C,2015-03-02 05:55:00+00:00,2015-03-02 07:55:00+00:00,0.0,37000.0,"POLYGON ((-91.11174637566765 30.426212118609058, -89.7787580842627 30.310930216173375, -89.92670745988288 29.696274890397316, -91.29 29.82452417705443, -91.11174637566765 30.426212118609058))"
7C,2015-03-02 06:55:00+00:00,2015-03-02 08:55:00+00:00,0.0,36000.0,"POLYGON ((-90.54511786837323 30.319442990420686, -89.28932830451531 30.102763848205786, -89.59452440575842 29.496458811560885, -90.70705570818663 29.59345013510345, -90.54511786837323 30.319442990420686))"
QUEBEC 4,2015-03-02 07:15:00+00:00,2015-03-02 11:15:00+00:00,0.0,55000.0,"POLYGON ((141 5, 146.3 4.3, 147.15 0.45, 141 1.15, 141 5))"
PAPA 10,2015-03-02 09:03:00+00:00,2015-03-02 13:03:00+00:00,0.0,40000.0,"POLYGON ((-152 28, -149.3 24, -153.15 23.15, -154.15 27.15, -152 28))"
8C,2015-03-02 09:55:00+00:00,2015-03-02 11:55:00+00:00,0.0,29000.0,"POLYGON ((-89.59489033265385 34.25086561920501, -88.74025224748245 33.95090199307593, -89.87254180680469 32.89091044801956, -90.8314975397306 33.26777855606409, -89.59489033265385 34.25086561920501))"
QUEBEC 5,2015-03-02 10:00:00+00:00,2015-03-02 14:00:00+00:00,0.0,55000.0,"POLYGON ((136 8.3, 146.45 4.15, 146 1.3, 134.15 5.45, 136 8.3))"
9C,2015-03-02 11:55:00+00:00,2015-03-02 13:55:00+00:00,0.0,31000.0,"POLYGON ((-91.780182262869 33.87794864627852, -91.70946616788171 33.18739909442214, -92.86211053787243 33.15771321846031, -93.10805417483827 33.56613958080594, -91.780182262869 33.87794864627852))"
PAPA 11,2015-03-02 12:40:00+00:00,2015-03-02 16:40:00+00:00,0.0,38000.0,"POLYGON ((-152.45 27.45, -150.15 25.45, -152 24, -154.3 26.15, -152.45 27.45))"
10C,2015-03-02 12:55:00+00:00,2015-03-02 14:55:00+00:00,0.0,32000.0,"POLYGON ((-91.4697544847365 34.089732798434284, -90.67883479140566 33.45936148209672, -91.73588603963192 33.1344541167586, -92.18 33.84815522131803, -91.4697544847365 34.089732798434284))"
QUEBEC 6,2015-03-02 13:40:00+00:00,2015-03-02 17:40:00+00:00,0.0,57000.0,"POLYGON ((135.45 8.3, 144.3 5, 142.45 3.3, 135.45 3.3, 135.45 8.3))"
11C,2015-03-02 13:55:00+00:00,2015-03-02 15:55:00+00:00,0.0,35000.0,"POLYGON ((-90.33438990282396 31.146273686415064, -89.63010584854739 30.618008933250724, -91.8691948725164 30.488720017594733, -92.08867435558442 30.906422997902656, -90.33438990282396 31.146273686415064))"
PAPA 12,2015-03-02 14:53:00+00:00,2015-03-02 18:53:00+00:00,0.0,38000.0,"POLYGON ((-153.3 27, -151 26.45, -150.3 20.45, -152.45 20.15, -153.3 27))"
12C,2015-03-02 14:55:00+00:00,2015-03-02 16:55:00+00:00,0.0,35000.0,"POLYGON ((-90.14048999016293 31.19771757411429, -89.66501926360621 30.787492533675188, -91.79330860263816 30.489033453401834, -92.26133866266268 31.055325282609473, -90.14048999016293 31.19771757411429))"
QUEBEC 7,2015-03-02 17:22:00+00:00,2015-03-02 21:25:00+00:00,0.0,57000.0,"POLYGON ((135.46 9.58, 144.3 6.05, 142.5 3.32, 135.42 3.29, 135.46 9.58))"
PAPA 13,2015-03-02 18:34:00+00:00,2015-03-02 22:35:00+00:00,0.0,38000.0,"POLYGON ((-153.43 27.1, -150.34 26.55, -150.14 20.15, -152.5 19.44, -153.43 27.1))"
2W,2015-03-02 18:55:00+00:00,2015-03-02 20:55:00+00:00,0.0,26000.0,"POLYGON ((-117.23 33.44547582294557, -116.66732691064031 33.2493061714706, -116.50082365213369 32.52322015852674, -117.07906912490286 32.47249970366556, -117.23 33.44547582294557))"
3W,2015-03-02 19:55:00+00:00,2015-03-02 21:55:00+00:00,0.0,26000.0,"POLYGON ((-120.30597785399618 35.066773038562566, -120.03273902212962 34.55672001579029, -120.2090355713338 34.46227676966494, -120.48227440320036 34.972329792437215, -120.30597785399618 35.066773038562566))"
INDIA 1,2015-03-02 22:22:00+00:00,2015-03-03 02:20:00+00:00,,,"POLYGON ((174.57 57.3, 169.16 53.57, 161.45 51.1, 169.58 50.25, 178.35 49.4, -175.57 50.21, 174.57 57.3))"
DELTA 1,2015-03-03 00:45:00+00:00,2015-03-03 04:45:00+00:00,0.0,46000.0,"POLYGON ((-60 38.3, -56 38.3, -63.3 35.3, -60 38.3))"
3W,2015-03-03 00:55:00+00:00,2015-03-03 02:55:00+00:00,0.0,27000.0,"POLYGON ((-113.70579261122379 34.06173169876147, -113.50687268279395 34.040974481378946, -113.64088766250228 32.756686241735416, -113.83980759093211 32.77744345911794, -113.70579261122379 34.06173169876147))"
DELTA 2,2015-03-03 01:45:00+00:00,2015-03-03 05:45:00+00:00,0.0,44000.0,"POLYGON ((-58 40, -53.3 39, -60 36.3, -58 40))"
INDIA 2,2015-03-03 02:04:00+00:00,2015-03-03 06:03:00+00:00,,,"POLYGON ((170.09 54.45, 178.03 53.08, -177.08 56.29, 175.4 58, 170.09 54.45))"
ROMEO 1,2015-03-03 03:58:00+00:00,2015-03-03 08:00:00+00:00,0.0,34000.0,"POLYGON ((-151.45 29, -150.15 25, -148.3 19.3, -151.15 19.15, -154.3 24, -155 28.15, -151.45 29))"
ROMEO 2,2015-03-03 07:50:00+00:00,2015-03-03 12:00:00+00:00,0.0,34000.0,"POLYGON ((-151.45 29, -150.15 25, -148.3 19.3, -151.15 19.15, -154.3 24, -155 28.15, -151.45 29))"
ROMEO 3,2015-03-03 11:45:00+00:00,2015-03-03 16:00:00+00:00,0.0,34000.0,"POLYGON ((-151.45 29, -150.15 25, -148.3 19.3, -151.15 19.15, -154.3 24, -155 28.15, -151.45 29))"
SIERRA 1,2015-03-03 12:25:00+00:00,2015-03-03 16:25:00+00:00,0.0,56000.0,"POLYGON ((147 8.3, 158.15 3.3, 152 0, 142 4.45, 147 8.3))"
HOTEL 1,2015-03-03 12:45:00+00:00,2015-03-03 16:45:00+00:00,0.0,50000.0,"POLYGON ((-143.3 9.15, -130.45 7, -131 5, -142 6, -143.3 9.15))"
ECHO 1,2015-03-03 13:00:00+00:00,2015-03-03 17:00:00+00:00,0.0,40000.0,"POLYGON ((-43.025571391100605 42.916443737106896, -47.025571391100605 38.2164437371069, -47.57442860889939 38.683556262893106, -43.57442860889939 43.3835562628931, -43.025571391100605 42.916443737106896))"
ECHO 2,2015-03-03 13:35:00+00:00,2015-03-03 17:35:00+00:00,0.0,38000.0,"POLYGON ((-43 45, -40 45, -46 36.3, -53.45 32.15, -55.45 33.45, -48.3 39, -43 45))"
SIERRA 2,2015-03-03 16:20:00+00:00,2015-03-03 20:25:00+00:00,0.0,56000.0,"POLYGON ((147 8.3, 158.15 3.3, 152 0, 142 4.45, 147 8.3))"
HOTEL 2,2015-03-03 16:35:00+00:00,2015-03-03 20:35:00+00:00,0.0,50000.0,"POLYGON ((-140 9, -129.45 7.3, -129.45 4.45, -140 5.15, -140 9))"
ECHO 3,2015-03-03 17:20:00+00:00,2015-03-03 21:20:00+00:00,0.0,40000.0,"POLYGON ((-42.45 45, -40 45, -40 38.3, -51.45 31.15, -54.15 33, -47.15 39.45, -42.45 45))"
TANGO 1,2015-03-03 18:20:00+00:00,2015-03-03 22:20:00+00:00,0.0,35000.0,"POLYGON ((-156 30, -150.3 30, -148 26, -152 24, -156 30))"
UNIFORM 1,2015-03-03 19:00:00+00:00,2015-03-03 23:00:00+00:00,0.0,50000.0,"POLYGON ((-149.3 9, -138 9, -137.3 5, -149.3 5.3, -149.3 9))"
