URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
T,BE9L,EAT UUA /OV EAT290040/TM 2015/FL120/TP BE9L/TB SEV 120/RM STRONG UDDF SKYKO1...ZSE,SEV 120,202511012000-KMSC-UBUS01-PIREP,12000.0,47.62703189798999,-121.13257666045452,2025-11-01 20:15:00,5.0,L,"('KATX', 'KLGX', 'KRTX', 'KOTX', 'KPDT')","['s3://unidata-nexrad-level2/2025/11/01/KATX/KATX20251101_201215_V06', 's3://unidata-nexrad-level2/2025/11/01/KLGX/KLGX20251101_201111_V06', 's3://unidata-nexrad-level2/2025/11/01/KRTX/KRTX20251101_201206_V06', 's3://unidata-nexrad-level2/2025/11/01/KOTX/KOTX20251101_201213_V06', 's3://unidata-nexrad-level2/2025/11/01/KPDT/KPDT20251101_201124_V06']"
F,A321,UUA /OV 5115N11018W /TM 0350 /FL200 /TP A321 /TB SEV,SEV,202511020400-CYEG-UACN01-PIREP,20000.0,51.25,-110.3,2025-11-02 03:50:00,5.0,M,"('KTFX', 'KGGW', 'KMSX', 'KBLX', 'KOTX')","['s3://unidata-nexrad-level2/2025/11/02/KTFX/KTFX20251102_034500_V06', 's3://unidata-nexrad-level2/2025/11/02/KGGW/KGGW20251102_034537_V06', 's3://unidata-nexrad-level2/2025/11/02/KMSX/KMSX20251102_034635_V06', 's3://unidata-nexrad-level2/2025/11/02/KBLX/KBLX20251102_034513_V06', 's3://unidata-nexrad-level2/2025/11/02/KOTX/KOTX20251102_034736_V06']"
T,E75L,MEI UUA /OV MEI225030/TM 1525/FL260/TP E75L/TB SEV TURB/RM ZME,SEV TURB,202511021500-KMSC-UBUS01-PIREP,26000.0,31.98116797155345,-89.16954117677196,2025-11-02 15:25:00,5.0,U,"('KDGX', 'KMOB', 'KLIX', 'KHDC', 'KGWX')","['s3://unidata-nexrad-level2/2025/11/02/KDGX/KDGX20251102_152017_V06', 's3://unidata-nexrad-level2/2025/11/02/KMOB/KMOB20251102_152455_V06', 's3://unidata-nexrad-level2/2025/11/02/KHDC/KHDC20251102_151917_V06', 's3://unidata-nexrad-level2/2025/11/02/KGWX/KGWX20251102_152256_V06']"
T,GLEX,LAR UUA /OV LAR/TM 1525/FL430/TP GLEX/TB SEV CHOP/RM DURC FL430-450  SMOOTH FL450  ZDVWC-34,SEV CHOP,202511021500-KMSC-UBUS01-PIREP,43000.0,41.31206,-105.675,2025-11-02 15:25:00,5.0,M,"('KCYS', 'KFTG', 'KRIW', 'KGJX', 'KPUX')","['s3://unidata-nexrad-level2/2025/11/02/KCYS/KCYS20251102_152155_V06', 's3://unidata-nexrad-level2/2025/11/02/KFTG/KFTG20251102_151940_V06', 's3://unidata-nexrad-level2/2025/11/02/KRIW/KRIW20251102_151659_V06', 's3://unidata-nexrad-level2/2025/11/02/KGJX/KGJX20251102_152447_V06', 's3://unidata-nexrad-level2/2025/11/02/KPUX/KPUX20251102_152407_V06']"
T,A320,YKM UUA /OV YKM/TM 1644/FL340/TP A320/TB SEV/RM ...ZSE,SEV,202511021600-KMSC-UBUS01-PIREP,34000.0,46.56817,-120.54406,2025-11-02 16:44:00,5.0,M,"('KPDT', 'KRTX', 'KLGX', 'KATX', 'KOTX')","['s3://unidata-nexrad-level2/2025/11/02/KPDT/KPDT20251102_164246_V06', 's3://unidata-nexrad-level2/2025/11/02/KRTX/KRTX20251102_163826_V06', 's3://unidata-nexrad-level2/2025/11/02/KLGX/KLGX20251102_164232_V06', 's3://unidata-nexrad-level2/2025/11/02/KATX/KATX20251102_164040_V06', 's3://unidata-nexrad-level2/2025/11/02/KOTX/KOTX20251102_164231_V06']"
T,B38M,SEA UUA /OV SEA080055/TM 2057/FL380/TP B38M/TB SEV 380/RM +/-25KT +/-200FT...ZSE,SEV 380,202511022100-KMSC-UBUS01-PIREP,38000.0,47.60388038958477,-120.97944259581236,2025-11-02 20:57:00,5.0,U,"('KATX', 'KOTX', 'KRTX', 'KPDT', 'KLGX')","['s3://unidata-nexrad-level2/2025/11/02/KATX/KATX20251102_205319_V06', 's3://unidata-nexrad-level2/2025/11/02/KOTX/KOTX20251102_205108_V06', 's3://unidata-nexrad-level2/2025/11/02/KRTX/KRTX20251102_205419_V06', 's3://unidata-nexrad-level2/2025/11/02/KPDT/KPDT20251102_205439_V06', 's3://unidata-nexrad-level2/2025/11/02/KLGX/KLGX20251102_205156_V06']"
T,C25B,CSV UUA /OV HCH/TM 0127/FL210/TP C25B/TB SEV/RM ZTLFD-41,SEV,202511030100-KMSC-UBUS01-PIREP,21000.0,35.78,-84.98,2025-11-03 01:27:00,5.0,U,"('KOHX', 'KHTX', 'KMRX', 'KHPX', 'KJKL')","['s3://unidata-nexrad-level2/2025/11/03/KOHX/KOHX20251103_012348_V06', 's3://unidata-nexrad-level2/2025/11/03/KHTX/KHTX20251103_012416_V06', 's3://unidata-nexrad-level2/2025/11/03/KMRX/KMRX20251103_012621_V06', 's3://unidata-nexrad-level2/2025/11/03/KHPX/KHPX20251103_012611_V06', 's3://unidata-nexrad-level2/2025/11/03/KJKL/KJKL20251103_012421_V06']"
T,S22T,LBF UUA /OV LBF300010/TM 0220/FL100/TP S22T/TB SEV/RM ZDVWC-19,SEV,202511030200-KMSC-UBUS01-PIREP,10000.0,41.20525008334008,-100.8605794977833,2025-11-03 02:20:00,5.0,U,"('KLNX', 'KGLD', 'KUEX', 'KUDX', 'KDDC')","['s3://unidata-nexrad-level2/2025/11/03/KLNX/KLNX20251103_021528_V06', 's3://unidata-nexrad-level2/2025/11/03/KGLD/KGLD20251103_021310_V06', 's3://unidata-nexrad-level2/2025/11/03/KUEX/KUEX20251103_021354_V06', 's3://unidata-nexrad-level2/2025/11/03/KUDX/KUDX20251103_021930_V06', 's3://unidata-nexrad-level2/2025/11/03/KDDC/KDDC20251103_021920_V06']"
T,A320,CXY UUA /OV HAR281015/TM 1044/FL230/TP A320/TB SEV,SEV,202511031000-KMSC-UBUS01-PIREP,23000.0,40.27770611273015,-77.34146717395825,2025-11-03 10:44:00,5.0,M,"('KCCX', 'KLWX', 'KDOX', 'KBGM', 'KPBZ')","['s3://unidata-nexrad-level2/2025/11/03/KCCX/KCCX20251103_104200_V06', 's3://unidata-nexrad-level2/2025/11/03/KLWX/KLWX20251103_104143_V06', 's3://unidata-nexrad-level2/2025/11/03/KDOX/KDOX20251103_104351_V06', 's3://unidata-nexrad-level2/2025/11/03/KBGM/KBGM20251103_103936_V06', 's3://unidata-nexrad-level2/2025/11/03/KPBZ/KPBZ20251103_104057_V06']"
T,A320,CXY UUA /OV HAR281015/TM 1044/FL230/TP A320/TB SEV 230-240,SEV 230-240,202511031000-KMSC-UBUS01-PIREP,23000.0,40.27770611273015,-77.34146717395825,2025-11-03 10:44:00,5.0,M,"('KCCX', 'KLWX', 'KDOX', 'KBGM', 'KPBZ')","['s3://unidata-nexrad-level2/2025/11/03/KCCX/KCCX20251103_104200_V06', 's3://unidata-nexrad-level2/2025/11/03/KLWX/KLWX20251103_104143_V06', 's3://unidata-nexrad-level2/2025/11/03/KDOX/KDOX20251103_104351_V06', 's3://unidata-nexrad-level2/2025/11/03/KBGM/KBGM20251103_103936_V06', 's3://unidata-nexrad-level2/2025/11/03/KPBZ/KPBZ20251103_104057_V06']"
