URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight
F,JS32,UUA /OV CYHU 090015 /TM 0208 /FL030 /TP JS32 /TB SEV /RM ABM STEHYACINTHE,SEV,,3000.0,45.5166666667,-73.05985259140145,2010-10-01 02:08:00,5.0,M
T,B737,LDJ UUA /OV JFK235017 /TM 0957 /FL030 /TP B737 /TB SEV,SEV,,3000.0,40.47608351277483,-74.06810021624818,2010-10-01 09:57:00,5.0,M
T,SW4,SCH UUA /OV ALB280018 /TM 1100 /FL110 /TP SW4 /TB SEV,SEV,201010011115-KWBC-UBNY90-PIREP,11000.0,42.80209867295502,-74.20236579017991,2010-10-01 11:00:00,5.0,M
T,SW4,SCH UUA /OV ALB292040 /TM 1104 /FL110 /TP SW4 /TB SEV 110-090,SEV 110-090,201010011110-KWBC-UBNY90-PIREP,11000.0,42.99975795772021,-74.64182716687313,2010-10-01 11:04:00,5.0,M
T,E190,ACY UUA /OV SIE330010/TM 1133/FL110/TP E190/TB SEV,SEV,,11000.0,39.24434925865205,-74.90739059234242,2010-10-01 11:33:00,5.0,U
T,B752,BDL UUA /OV BDL /TM 1145 /FL025 /TP B752 /TB EXTRM 025/BLO /RM 8 MILE FINAL RY 24,EXTRM 025,201010011155-KWBC-UBCT91-PIREP,2500.0,41.94,-72.69,2010-10-01 11:45:00,7.0,M
F,A320,PNE UA /OV RBV210005/TM 1254/FL100/TP A320/TB SEV,SEV,201010011300-KWBC-UBPA90-PIREP,10000.0,40.12782537067398,-74.5545565047576,2010-10-01 12:54:00,5.0,M
T,A319,TTN UUA /OV SBJ180015 /TM 1304 /FL100 /TP A319 /TB SEV,SEV,,10000.0,40.32997974997975,-74.74,2010-10-01 13:04:00,5.0,M
T,C560,IJD UUA /OV ORW270005 /TM 1545 /FL050 /TP C560 /TB SEV /RM -RA,SEV,,5000.0,41.56,-72.11137829846611,2010-10-01 15:45:00,5.0,M
T,C182,VGT UUA /OV VGT045010 /TM 1926 /FL040 /TP C182 /TB SEV,SEV,,4000.0,36.32855067614885,-115.04836494175196,2010-10-01 19:26:00,5.0,L
T,C182,LSV UUA /OV VGT045010 /TM 1926 /FL040 /TP C182 /TB SEV,SEV,201010011930-KWBC-UBNV90-PIREP,4000.0,36.21786067614885,-114.93413100027904,2010-10-01 19:26:00,5.0,L
T,B747,ANC UUA /OV ANC090020-ANC225010 /TM 0433 /FL100 /TP B747 /TB SEV 100-060 /RM SEV TB IN CLDS,SEV 100-060,201010020445-KWBC-UBAK91-PIREP,10000.0,61.15,-149.51912383245198,2010-10-02 04:33:00,5.0,H
T,H,ANC UUA /OV ANC/TM 1220/FL320/TP H/B77W/TB SEV/RM ZAN ANC VOR WBND TOANC 250070,SEV,,32000.0,61.17,-149.99,2010-10-02 12:20:00,5.0,L
T,C207,GCN UUA /OV GCN130015 /TM 2143 /FL090 /TP C207 /TB SEV /RM DURC 080-090,SEV,201010022150-KWBC-UBAZ90-PIREP,9000.0,35.799290081116254,-111.91338003549647,2010-10-02 21:43:00,5.0,L
T,M20,NHK UUA /OV PXT/TM 1343/FL080/TP M20/TB SEV,SEV,201010031355-KWBC-UBMD91-PIREP,8000.0,38.29,-76.4,2010-10-03 13:43:00,5.0,L
T,C182,NHK UUA /OV PXT/TM 1908/FL090/TP C182/TB SEV,SEV,,9000.0,38.29,-76.4,2010-10-03 19:08:00,5.0,L
T,P28R,DCA UUA /OV OTT100015/TM 1908/FL080/TP P28R/TB EXTRM,EXTRM,201010031915-KWBC-UBDC90-PIREP,8000.0,38.66658443920415,-76.42446088798413,2010-10-03 19:08:00,7.0,L
T,B737,SBY UUA /OV SBY-SBY020025/TM 0032/FL240/TP B737/TB SEV 240-280,SEV 240-280,,24000.0,38.3405,-75.5103,2010-10-04 00:32:00,5.0,M
T,P28A,MUO UUA /OV BOI135022 /TM 0032 /FL065 /TP P28A /TB SEV,SEV,,6500.0,43.30737651247253,-115.88270299706905,2010-10-04 00:32:00,5.0,L
T,P28A,MUO UUA /OV BOI135022 /TM 0032 /FL065 /TP P28A /TB SEV /RM /TB RPTD DURD 065-058,SEV,,6500.0,43.30737651247253,-115.88270299706905,2010-10-04 00:32:00,5.0,L
