label,issue,expire,fl_low,fl_high,polygon
1E,2012-05-01 00:55:00+00:00,2012-05-01 02:55:00+00:00,0.0,42000.0,"POLYGON ((-81.60818002272823 36.33426568995714, -81.50827586713383 36.1610053087531, -82.60359434025376 35.52943064405743, -82.70349849584817 35.70269102526147, -81.60818002272823 36.33426568995714))"
2E,2012-05-01 00:55:00+00:00,2012-05-01 02:55:00+00:00,0.0,42000.0,"POLYGON ((-79.81229509949853 42.37193476866676, -83.62733843074184 39.5207382397039, -84.68615225134555 36.83760589704297, -86.33353634597987 38.685806022637635, -83.07258124488554 41.031507153297625, -79.81229509949853 42.37193476866676))"
1C,2012-05-01 00:55:00+00:00,2012-05-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-94.58003408062255 34.774783481838234, -92.58461977454819 34.679331498059085, -90.13879820201375 33.577560610256896, -95.06832228897655 34.25971971085531, -94.58003408062255 34.774783481838234))"
2C,2012-05-01 00:55:00+00:00,2012-05-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-101.52572622808485 30.98350990637282, -101.31242492237271 29.82946505737113, -102.00990102739007 29.79993238755002, -103.06277080962697 29.978674224827614, -102.84299696391015 30.832287131734926, -101.52572622808485 30.98350990637282))"
3C,2012-05-01 00:55:00+00:00,2012-05-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-100.43232423755134 34.252276980899985, -99.86 33.31184477868196, -101.28052733829858 32.32509051735136, -101.6060578375243 33.084807733852614, -100.43232423755134 34.252276980899985))"
4C,2012-05-01 00:55:00+00:00,2012-05-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-100.88439746632952 35.5423195980979, -99.5723277770109 34.95611303170029, -100.36727538477221 34.52368060366836, -101.7954113092049 34.98249073929103, -100.88439746632952 35.5423195980979))"
5C,2012-05-01 00:55:00+00:00,2012-05-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-98.01446183661815 38.80200237928714, -97.5376956846022 36.476724790327836, -99.26351222778693 36.788163358874044, -100.33964195530888 38.0466891090225, -98.01446183661815 38.80200237928714))"
6C,2012-05-01 00:55:00+00:00,2012-05-01 02:55:00+00:00,0.0,45000.0,"POLYGON ((-96.66419768314465 37.13574032311808, -95.64868852191788 36.63573134097179, -95.30008010478169 35.29405585525074, -96.72724705771044 36.94593838327851, -95.58342696805025 36.56597840326034, -95.10650762248063 35.34435191966741, -95.45511603961683 36.68602740538846, -95.52037759348445 36.75578034309991, -96.66419768314465 37.13574032311808))"
3E,2012-05-01 01:55:00+00:00,2012-05-01 03:55:00+00:00,0.0,42000.0,"POLYGON ((-81.06904600828148 36.56534820655965, -80.98434829123423 36.38416791865011, -82.90272437686353 35.48737016672258, -82.98742209391078 35.66855045463212, -81.06904600828148 36.56534820655965))"
4E,2012-05-01 01:55:00+00:00,2012-05-01 03:55:00+00:00,0.0,42000.0,"POLYGON ((-79.5798451595885 42.40633016420588, -84.08201655327082 37.43310204072033, -87.23822183245761 36.513132644111366, -84.63088287360112 38.67854800198146, -84.20406842066343 37.4951785275226, -82.5166168479137 40.74754267205531, -84.46343130085138 38.64454319077779, -79.49162802919273 42.22683716182213, -82.54589143480212 40.72572932175369, -87.29418872591597 36.70514229708907, -84.13798344672918 37.62511169369803, -84.01593157933657 37.56303520689576, -84.44274603227426 38.746404681354626, -84.610197605024 38.7804094925583, -82.66338315208631 40.88340897383582, -82.63410856519789 40.90522232413744, -79.5798451595885 42.40633016420588))"
7C,2012-05-01 01:55:00+00:00,2012-05-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-101.90895905218223 30.563583605996868, -100.59312985355673 30.597714495710978, -101.04058138502877 29.595008181510938, -102.46607336090584 29.873048685196448, -101.90895905218223 30.563583605996868))"
8C,2012-05-01 01:55:00+00:00,2012-05-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-100.29 33.870893132790826, -99.7085372105754 32.78731911191074, -101.04325951123346 32.47446493334528, -101.681641233936 33.238675042336375, -100.29 33.870893132790826))"
9C,2012-05-01 01:55:00+00:00,2012-05-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-99.43671558845531 35.83105923249263, -98.53910043496457 35.0780278862356, -100.2127246152278 34.52368060366836, -101.4073206160412 34.82866217640802, -99.43671558845531 35.83105923249263))"
10C,2012-05-01 01:55:00+00:00,2012-05-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-97.01105285350636 39.398985841447804, -96.9983263526517 37.55756914692275, -97.50687459873315 36.34928898651502, -98.87809684274647 36.664515092459496, -99.88644150334216 37.91698936812068, -97.01105285350636 39.398985841447804))"
11C,2012-05-01 01:55:00+00:00,2012-05-01 03:55:00+00:00,0.0,45000.0,"POLYGON ((-97.19982119771963 37.07911197411591, -96.27730517560799 37.06122442185852, -94.99534962677417 36.6044474558701, -97.16320882745045 36.88249169453298, -96.22543471868194 37.05711321868053, -94.92822108319125 36.79284532909705, -96.21017663202507 37.249622295085466, -96.26204708895112 37.25373349826346, -97.19982119771963 37.07911197411591))"
12C,2012-05-01 02:55:00+00:00,2012-05-01 04:55:00+00:00,0.0,45000.0,"POLYGON ((-96.54043695938543 39.58470851718954, -94.7550808388016 37.51209190571716, -94.96178535498271 36.698646392483575, -98.74623571238233 36.34715600899554, -99.567031768456 37.532264601053534, -96.54043695938543 39.58470851718954))"
13C,2012-05-01 02:55:00+00:00,2012-05-01 04:55:00+00:00,0.0,45000.0,"POLYGON ((-98.64484961576666 35.75960187105838, -98.53910043496457 35.0780278862356, -99.68532905472999 34.36851321096221, -100.84992271437586 34.55972590121787, -100.8247224947678 35.28726475362841, -98.64484961576666 35.75960187105838))"
14C,2012-05-01 02:55:00+00:00,2012-05-01 04:55:00+00:00,0.0,45000.0,"POLYGON ((-100.67218216320951 33.6008801899579, -99.47936842599904 33.24795255537649, -100.2249267995552 32.60680696138301, -100.95787089743938 32.85723857488899, -100.67218216320951 33.6008801899579))"
15C,2012-05-01 02:55:00+00:00,2012-05-01 04:55:00+00:00,0.0,43000.0,"POLYGON ((-100.45 30.87089313279082, -99.96746773013163 30.292507092080594, -101.15177306765172 29.359456484491126, -101.73128793433634 30.498329877958653, -100.45 30.87089313279082))"
5E,2012-05-01 02:55:00+00:00,2012-05-01 04:55:00+00:00,0.0,40000.0,"POLYGON ((-80.32527253221674 36.962044902339194, -80.3596052046451 35.922068034594325, -81.8159167421292 35.824767909892564, -81.50959873561207 36.43839496447341, -80.32527253221674 36.962044902339194))"
6E,2012-05-01 02:55:00+00:00,2012-05-01 04:55:00+00:00,0.0,30000.0,"POLYGON ((-78.06258972446113 42.82875238481305, -77.98176736746095 42.64581046340373, -81.4969625839439 41.09282380773017, -81.57778494094408 41.27576572913949, -78.06258972446113 42.82875238481305))"
7E,2012-05-01 02:55:00+00:00,2012-05-01 04:55:00+00:00,0.0,42000.0,"POLYGON ((-81.93703734750947 40.14816621941935, -82.69183071532288 37.51462522893594, -86.82588968638024 36.25755220471438, -87.44378093391809 36.39224488726232, -83.39133857023532 39.892566070301626, -81.93703734750947 40.14816621941935))"
8E,2012-05-01 02:55:00+00:00,2012-05-01 04:55:00+00:00,0.0,35000.0,"POLYGON ((-82.31499141166111 35.21164886431027, -81.95135504802474 35.21164886431027, -81.95135504802474 34.84801250067391, -82.31499141166111 34.84801250067391, -82.31499141166111 35.21164886431027))"
16C,2012-05-01 03:55:00+00:00,2012-05-01 05:55:00+00:00,0.0,45000.0,"POLYGON ((-97.62 38.93, -93.91161127432188 37.5495776643868, -94.35825256352085 36.710878941177, -98.49111504279104 36.15763997556041, -98.93254176232153 37.296584825392486, -97.62 38.93))"
17C,2012-05-01 03:55:00+00:00,2012-05-01 05:55:00+00:00,0.0,45000.0,"POLYGON ((-98.50074717887483 35.8780292857771, -97.83299103328152 34.93866126814074, -99.86421887406017 34.01634008118133, -100.29 34.86910686720917, -98.50074717887483 35.8780292857771))"
18C,2012-05-01 03:55:00+00:00,2012-05-01 05:55:00+00:00,0.0,41000.0,"POLYGON ((-100.35677369948685 30.789898353399686, -99.67253226986837 30.292507092080594, -100.62433957135816 29.05251114857484, -101.31242492237271 29.82946505737113, -100.35677369948685 30.789898353399686))"
9E,2012-05-01 03:55:00+00:00,2012-05-01 05:55:00+00:00,0.0,44000.0,"POLYGON ((-81.28660489267794 36.89760286114037, -79.94184222210335 36.832852817658214, -79.82188864032281 36.35730609881366, -80.80307592546124 36.047187081794455, -81.28660489267794 36.89760286114037))"
10E,2012-05-01 03:55:00+00:00,2012-05-01 05:55:00+00:00,0.0,43000.0,"POLYGON ((-81.91814300873276 39.70915402986433, -82.1293030862432 37.92994068111287, -82.03715503054289 38.01789892055729, -83.71430322396594 37.89759010265285, -83.74786056151534 37.88918370731686, -86.7207123680923 36.56407521537606, -81.9306969137568 37.90636976152321, -81.71953683624636 39.68558311027467, -83.69999316288016 37.69810270417434, -82.02284496945711 37.81841152207878, -86.63928763190772 36.381400607569525, -83.66643582533077 37.70650909951033, -81.91814300873276 39.70915402986433))"
11E,2012-05-01 04:55:00+00:00,2012-05-01 06:55:00+00:00,0.0,43000.0,"POLYGON ((-80.91170371503074 39.89351122291869, -83.68959343949979 36.929336397146635, -86.43638828558903 36.83006524368862, -83.52584376709805 37.94393421317089, -83.59347310174645 37.02195556933243, -81.55991512843798 38.03245724227729, -83.616818550582 37.851633984067554, -80.72829628496925 39.81375086560854, -81.47696868208759 38.092192876851136, -86.44361171441096 37.02993475631138, -83.69681686832172 37.12920590976939, -83.79293720607505 37.0365867375836, -83.72530787142665 37.95856538142206, -83.63433308794271 38.0508656105254, -81.57742966579869 38.231688868735134, -81.66037611214908 38.171953234161286, -80.91170371503074 39.89351122291869))"
