Radar,Reflectivity,Longitude,Latitude,Altitude,Ray,Gate
KJGX,14.5,-83.53688351320476,32.65143217319513,364.0,0,62
KJGX,11.5,-83.4499379479244,32.66354053126761,272.0,1,29
KJGX,12.5,-83.45258043170746,32.66321569366271,274.0,1,30
KJGX,11.5,-83.78063350610901,32.62569769521174,625.0,2,154
KJGX,17.5,-83.4952045416834,32.66013458289823,311.0,3,46
KJGX,12.0,-83.78643365035232,32.62825283658371,626.0,3,156
KJGX,10.5,-83.7475754243118,32.638445038026724,586.0,5,141
KJGX,16.0,-83.74795607460288,32.64139211801713,589.0,6,141
KJGX,10.5,-83.74829957488357,32.64427767334808,586.0,7,141
KJGX,12.0,-83.5465719476357,32.663279419049374,362.0,9,65
KJGX,16.0,-86.35019437717526,32.60705517576404,7208.0,16,1116
KJGX,15.5,-86.35285673977862,32.60696251647726,7219.0,16,1117
KJGX,13.0,-83.7527876596082,32.67648481924469,588.0,18,142
KJGX,12.0,-83.52573699570743,32.678779396085275,342.0,20,57
KJGX,16.5,-83.6298249786219,32.68255738624321,448.0,21,96
KJGX,13.0,-83.6351648301762,32.682682945428944,454.0,21,98
KJGX,13.5,-83.63783475115014,32.68274563995783,457.0,21,99
KJGX,13.5,-83.57606407862126,32.68792979703214,392.0,25,76
KJGX,16.5,-83.58139565890015,32.68821480073789,398.0,25,78
KJGX,13.5,-84.8448857505261,32.76023347692336,2525.0,26,552
KJGX,11.5,-83.53051986110248,32.688124562771016,347.0,27,59
KJGX,10.5,-83.5331822414118,32.68830696598304,349.0,27,60
KJGX,15.5,-84.83871153308988,32.77089196973542,2513.0,27,550
KJGX,11.5,-83.68470783068393,32.70106366246121,510.0,28,117
KJGX,20.0,-83.53555463136864,32.691197197459594,352.0,29,61
KJGX,11.0,-84.96717515586073,32.82623558223469,2833.0,31,600
KJGX,12.5,-83.83675516233043,32.77849877385716,712.0,46,179
KJGX,10.5,-83.58730242874694,32.72782134399542,411.0,47,83
KJGX,11.0,-83.69688752303189,32.75727835158259,538.0,49,126
KJGX,11.5,-83.85791777537789,32.79895824084233,748.0,50,189
KJGX,12.0,-83.60548238017908,32.739907720857786,434.0,51,91
KJGX,11.5,-83.37414595536958,32.684109882619204,208.0,64,1
KJGX,15.0,-83.55836888479696,32.75049210704187,392.0,64,76
KJGX,16.5,-83.56328512821024,32.7522585660357,398.0,64,78
KJGX,15.0,-83.5657433230407,32.753141723555686,400.0,64,79
KJGX,16.0,-83.55757802274921,32.752030044434626,392.0,65,76
KJGX,15.5,-83.56002681503836,32.75293152043221,394.0,65,77
KJGX,14.5,-83.5624756186306,32.753832934722745,398.0,65,78
KJGX,16.0,-83.56492449092471,32.75473430843303,400.0,65,79
KJGX,10.5,-83.81005350787116,32.84462760880525,712.0,65,179
KJGX,11.0,-83.58849546948342,32.76549415119383,428.0,66,89
KJGX,11.5,-83.80340169055617,32.846164480333876,705.0,66,177
KJGX,11.0,-83.81806799832876,32.85165112792384,726.0,66,183
KJGX,14.0,-83.74807026012229,32.828954828636476,630.0,67,155
KJGX,15.5,-83.75293761804441,32.83082183347963,637.0,67,157
KJGX,13.0,-83.68020570281153,32.81782635786411,550.0,72,130
KJGX,13.5,-83.68496949502769,32.819872562360864,556.0,72,132
KJGX,11.0,-83.7908616650618,32.87766798771179,712.0,75,179
KJGX,10.5,-83.7283946089408,32.85639971407803,627.0,77,154
KJGX,12.5,-83.60712609854039,32.803589860397665,468.0,79,103
KJGX,11.0,-83.61172989776856,32.80587932319197,474.0,79,105
