URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight
F,B752,APF UA /OV DHP290040 /TM 1214 /FL120 /TP B752 /WX RA /TB MOD /RM IMC SMOOTH BLW 120,MOD,,12000.0,26.02803189798999,-81.0458785160806,2012-06-01 12:14:00,3.0,M
F,C172,JOT UA /OV LOT180009 /TM 1336 /FL020 /TP C172 /TA 22 /TB NEG /RM SMTH,NEG,,2000.0,41.45809784998785,-88.09619,2012-06-21 13:36:00,0.0,L
F,B737,LGC UA /OV LGC360010/TM 2354/FL360/TP B737/TB MOD/RM ZTL CWSU,MOD,201206140000-KMSC-UBUS01-PIREP,36000.0,33.21668016668016,-85.21,2012-06-13 23:54:00,3.0,M
T,PA32,FWA UUA /OV FWA230010 /TM 2124 /FL050 /TP PA32 /TB SEV,SEV,201206292135-KWBC-UBIN91-PIREP,5000.0,40.8728600540775,-85.35913219865317,2012-06-29 21:24:00,5.0,L
T,BE9L,FSD UUA /OV FSD/TM 1717/FL080/TP BE9L/TB SEV-EXT,SEV-EXT,,8000.0,43.57694,-96.75361,2012-06-27 17:17:00,5.0,L
T,B737,LBL UUA /OV LBL240030/TM 0041/FL380/TP B737/TB SEV/RM LOST 10000 FPMCWSU ZKC,SEV,,38000.0,36.79419974997976,-101.5024102606583,2012-06-15 00:41:00,5.0,M
T,A332,PVC UUA /OV BOS100100 /TM 2347 /FL370 /TP A332 /TB SEV,SEV,,37000.0,42.071132928027694,-68.78827035548653,2012-06-25 23:47:00,5.0,H
T,B737,GNV UUA /OV SZW 090040/TM 2032/FL360/TP B737/TB SEV/RM NO INJURIES ORDAMAGE. ZJX CWSU,SEV,,36000.0,30.56,-83.59573122933992,2012-06-07 20:32:00,5.0,M
T,G150,GRK UUA /OV LZZ/TM 1541/FL405/TP G150/TB SEV 405-430/RM FM ZHU AWC-WEB:KZHU,SEV 405-430,201206121552-KKCI-UBUS35-PIREP,40500.0,31.19,-98.14,2012-06-12 15:41:00,5.0,U
F,C172,JST UA /OV JST /TM 2000 /FL035 /TP C172 /SK FEW035/SCT040/OVC057 /WX FV10SM /TA 10 /TB NEG /RM -RA E-W JST,NEG,,3500.0,40.31611,-78.83394,2012-06-05 20:00:00,0.0,L
F,E45X,DEN UA /OV DEN090045/TM 0015/FL140/TP E45X/TB MOD/RM DURC TO FL240ZDV,MOD,,14000.0,39.8328,-103.68075278172368,2012-06-23 00:15:00,3.0,M
F,BE20,JNU UA /OV SSR020015/TM 2357/FL080/TP BE20/SK FEW080/TB NEG/IC NEG/RM DURC. CWSU ZAN,NEG,,8000.0,58.40494218399108,-135.08786150164747,2012-06-04 23:57:00,0.0,M
T,RJ,ATL UUA /OV ATL225008/TM 1329/FL310/TP RJ/TB SEV/RM ZTL CWSU,SEV,,31000.0,33.53581145908092,-84.55504177014886,2012-06-05 13:29:00,5.0,M
F,B738,MLC UA /OV MLC220030/TM 0100/FL360/TP B738/TB MOD/RM AWC-WEB:KZFW,MOD,201206010115-KWBC-UBOK90-PIREP,36000.0,34.46694675360954,-96.171664537745,2012-06-01 01:00:00,3.0,M
F,B738,PDX UA /OV BTG045063/TM 2041/FL250/TP B738/TB MOD 250-270/RM DURC..ZSE,MOD 250-270,,25000.0,46.49252225973776,-121.52589508244894,2012-06-06 20:41:00,3.0,M
F,DH8D,RDM UA /OV RDM /TM 0127 /FL080 /TP DH8D /TA M07 /TB LGT 140-000 /IC LGT RIME 150-080 /RM DURD,LGT 140-000,,8000.0,44.25389,-121.15,2012-06-09 01:27:00,1.0,M
F,PC12,HOB UA /OV CNM-HOB270020 /TM 2330 /FL170 /TP PC12 /TA 03 /TB CONT LGT-OCNL MOD 090-160/NEG,CONT LGT-OCNL MOD 090-160,201206202300-KMSC-UBUS01-PIREP,17000.0,32.64,-103.27,2012-06-20 23:30:00,2.0,L
T,P28T,FKA UUA /OV RST150020 /TM 1546 /FL080 /TP P28T /WV 27090KT /TB SEV,SEV,,8000.0,43.6154014826959,-92.26026089973072,2012-06-18 15:46:00,5.0,L
F,NAVI,GYR UA /OV GYR /TM 1347 /FL108 /TP NAVI /SK SKC /WX FV99SM /TB MOD,MOD,,10800.0,33.42235,-112.37358,2012-06-23 13:47:00,3.0,L
F,BE9L,INW UA /OV INW160045/TM 2200/FL200/TP BE9L/TB MOD/RM ZAB,MOD,,20000.0,34.31709344802677,-110.40927357128832,2012-06-29 22:00:00,3.0,L
T,BE36,1A5 UUA /OV 24A180015 /TM 1521 /FL075 /TP BE36 /SK SCT075-TOP079 /WV 35030KT /TB SEV,SEV,,7500.0,35.06587974997975,-83.2071,2012-06-03 15:21:00,5.0,L
T,SR22,MAF UUA /OV MAF090040/TM 1902/FL095/TP SR22/TB SEV/RM ALTITUDE FLUCTUATIONS +/- 200FT/NO INJURIES. AWC-WEB:KZFW,SEV,201206261913-KKCI-UBUS35-PIREP,9500.0,32.01,-101.40373162610692,2012-06-26 19:02:00,5.0,L
