URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
T,PC12,SUN UUA /OV HLE/TM 0151/FL130/TP PC12/TB SEV NO DAMAGE /ZLC,SEV NO DAMAGE,,13000.0,43.33,-114.24,2022-07-02 01:51:00,5.0,L,"('KSFX', 'KCBX', 'KMTX', 'KLRX', 'KMSX')","['s3://unidata-nexrad-level2/2022/07/02/KSFX/KSFX20220702_014827_V06', 's3://unidata-nexrad-level2/2022/07/02/KCBX/KCBX20220702_014852_V06', 's3://unidata-nexrad-level2/2022/07/02/KMTX/KMTX20220702_014615_V06', 's3://unidata-nexrad-level2/2022/07/02/KLRX/KLRX20220702_014701_V06', 's3://unidata-nexrad-level2/2022/07/02/KMSX/KMSX20220702_014705_V06']"
F,AC11,GDP UA /OV HUP100030/TM 1913/FL105/TP AC11/TB SEV/RM ZAB/FDCS,SEV,,10500.0,31.483168878408307,-104.80201516233495,2022-07-02 19:13:00,5.0,L,"('KEPZ', 'KHDX', 'KMAF', 'KFDX', 'KLBB')","['s3://unidata-nexrad-level2/2022/07/02/KEPZ/KEPZ20220702_190939_V06', 's3://unidata-nexrad-level2/2022/07/02/KHDX/KHDX20220702_191219_V06', 's3://unidata-nexrad-level2/2022/07/02/KMAF/KMAF20220702_191242_V06', 's3://unidata-nexrad-level2/2022/07/02/KFDX/KFDX20220702_190956_V06', 's3://unidata-nexrad-level2/2022/07/02/KLBB/KLBB20220702_190820_V06']"
F,C172,OGG UA /OV OGG204014/TM 1918/FL025/TP C172/TB SEV,SEV,,2500.0,20.67682212719032,-156.53159080030372,2022-07-02 19:18:00,5.0,L,"('PHMO', 'PHKM', 'PHWA', 'PHKI', 'KBHX')","['s3://unidata-nexrad-level2/2022/07/02/PHMO/PHMO20220702_191357_V06', 's3://unidata-nexrad-level2/2022/07/02/PHKM/PHKM20220702_191530_V06', 's3://unidata-nexrad-level2/2022/07/02/PHWA/PHWA20220702_191606_V06', 's3://unidata-nexrad-level2/2022/07/02/PHKI/PHKI20220702_191454_V06', 's3://unidata-nexrad-level2/2022/07/02/KBHX/KBHX20220702_191140_V06']"
F,B763,UUA /OV 4949N06311W /TM 2145 /FL360 /TP B763 /TB SEV /RM +/- 400FTVCTY CB,SEV,,36000.0,49.8166,-63.1833,2022-07-02 21:45:00,5.0,H,"('KCBW', 'KGYX', 'KBOX', 'KCXX', 'KENX')","['s3://unidata-nexrad-level2/2022/07/02/KCBW/KCBW20220702_214051_V06', 's3://unidata-nexrad-level2/2022/07/02/KGYX/KGYX20220702_214358_V06', 's3://unidata-nexrad-level2/2022/07/02/KBOX/KBOX20220702_214231_V06', 's3://unidata-nexrad-level2/2022/07/02/KCXX/KCXX20220702_214350_V06', 's3://unidata-nexrad-level2/2022/07/02/KENX/KENX20220702_214137_V06']"
T,C172,SPS UUA /OV SPS218060 /TM 2008 /FL038 /TP C172 /WX VC TS /TB SEV /RM ZFW AWC-WEB:,SEV,,3800.0,33.19052541745841,-99.2352950697508,2022-07-03 20:08:00,5.0,L,"('KDYX', 'KFDR', 'KFWS', 'KSJT', 'KLBB')","['s3://unidata-nexrad-level2/2022/07/03/KDYX/KDYX20220703_200351_V06', 's3://unidata-nexrad-level2/2022/07/03/KFDR/KFDR20220703_200340_V06', 's3://unidata-nexrad-level2/2022/07/03/KFWS/KFWS20220703_200542_V06', 's3://unidata-nexrad-level2/2022/07/03/KSJT/KSJT20220703_200532_V06', 's3://unidata-nexrad-level2/2022/07/03/KLBB/KLBB20220703_200706_V06']"
T,C172,SPS UUA /OV SPS218060 /TM 2008 /FL038 /TP C172 /WX VC TS /TB SEV /RM ZFW AWC-WEB,SEV,,3800.0,33.19052541745841,-99.2352950697508,2022-07-03 20:08:00,5.0,L,"('KDYX', 'KFDR', 'KFWS', 'KSJT', 'KLBB')","['s3://unidata-nexrad-level2/2022/07/03/KDYX/KDYX20220703_200351_V06', 's3://unidata-nexrad-level2/2022/07/03/KFDR/KFDR20220703_200340_V06', 's3://unidata-nexrad-level2/2022/07/03/KFWS/KFWS20220703_200542_V06', 's3://unidata-nexrad-level2/2022/07/03/KSJT/KSJT20220703_200532_V06', 's3://unidata-nexrad-level2/2022/07/03/KLBB/KLBB20220703_200706_V06']"
F,MO20,RIC UA /OV RIC015025/TM 1805/FL070/TP MO20/TB SEV,SEV,,7000.0,37.91400169431635,-77.18739710246706,2022-07-05 18:05:00,5.0,U,"('KAKQ', 'KLWX', 'KDOX', 'KRAX', 'KCCX')","['s3://unidata-nexrad-level2/2022/07/05/KAKQ/KAKQ20220705_180026_V06', 's3://unidata-nexrad-level2/2022/07/05/KLWX/KLWX20220705_180308_V06', 's3://unidata-nexrad-level2/2022/07/05/KDOX/KDOX20220705_180231_V06', 's3://unidata-nexrad-level2/2022/07/05/KRAX/KRAX20220705_180307_V06', 's3://unidata-nexrad-level2/2022/07/05/KCCX/KCCX20220705_180228_V06']"
T,BE35,ONL UUA /OV 8V2/TM 1957/FL058/TP BE35/SK UNKN-SCT070/WX HZ/TB SEV 055-047,SEV 055-047,,5800.0,42.56,-99.03,2022-07-05 19:57:00,5.0,L,"('KLNX', 'KFSD', 'KUEX', 'KOAX', 'KABR')","['s3://unidata-nexrad-level2/2022/07/05/KLNX/KLNX20220705_195136_V06', 's3://unidata-nexrad-level2/2022/07/05/KFSD/KFSD20220705_195221_V06', 's3://unidata-nexrad-level2/2022/07/05/KUEX/KUEX20220705_195318_V06', 's3://unidata-nexrad-level2/2022/07/05/KOAX/KOAX20220705_195416_V06', 's3://unidata-nexrad-level2/2022/07/05/KABR/KABR20220705_195157_V06']"
T,C210,ONL UUA /OV ONL180010/TM 2035/FL045/TP C210/TB CONS SEV CAT,CONS SEV CAT,,4500.0,42.30303983331984,-98.68806,2022-07-05 20:35:00,5.0,L,"('KLNX', 'KFSD', 'KOAX', 'KUEX', 'KABR')","['s3://unidata-nexrad-level2/2022/07/05/KLNX/KLNX20220705_203341_V06', 's3://unidata-nexrad-level2/2022/07/05/KFSD/KFSD20220705_203426_V06', 's3://unidata-nexrad-level2/2022/07/05/KOAX/KOAX20220705_203421_V06', 's3://unidata-nexrad-level2/2022/07/05/KUEX/KUEX20220705_202755_V06', 's3://unidata-nexrad-level2/2022/07/05/KABR/KABR20220705_203450_V06']"
T,DA40,PGA UUA /OV PGA /TM 2228 /FL100 /TP DA40 /WV 18025KT /TB SEV /RM DURD,SEV,,10000.0,36.92608,-111.44836,2022-07-05 22:28:00,5.0,L,"('KICX', 'KFSX', 'KFSX', 'KESX', 'KIWA')","['s3://unidata-nexrad-level2/2022/07/05/KICX/KICX20220705_222544_V06', 's3://unidata-nexrad-level2/2022/07/05/KFSX/KFSX20220705_222607_V06', 's3://unidata-nexrad-level2/2022/07/05/KFSX/KFSX20220705_222607_V06', 's3://unidata-nexrad-level2/2022/07/05/KESX/KESX20220705_222020_V06', 's3://unidata-nexrad-level2/2022/07/05/KIWA/KIWA20220705_222759_V06']"
