URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight
T,SH36,DTO UUA /OV DFW360025 /TM 2203 /FL040 /TP SH36 /TB SEV,SEV,,4000.0,33.31353041670042,-97.038,2009-08-05 22:03:00,5.0,M
F,E145,MLU UA /OV MLU/TM 2023/FL360/TP E145/TB SEV/RM AWC-WEB:KZHU,SEV,,36000.0,32.51086,-92.03769,2009-08-01 20:23:00,5.0,M
T,CRJ2,HND UUA /OV GFS300020/TM 2231/FL320/TP CRJ2/TB SEV/RM ZLA CWSU,SEV,,32000.0,35.29668016668017,-115.53299753630353,2009-08-23 22:31:00,5.0,M
F,A319,ACY UA /OV SIE080015/TM 1715/FL210/TP A319/TB SEV,SEV,,21000.0,39.14341556079585,-74.48272273618183,2009-08-28 17:15:00,5.0,M
T,PA31,AKW UUA /OV AKW215012 /TM 2338 /FL020 /TP PA31 /TB OCNL SEV /RMMOD OCNL SEV 050-020,OCNL SEV,,2000.0,55.40615632086581,-133.2729090756702,2009-08-27 23:38:00,5.0,L
F,LNC2,SAC UA /OV TVL-SAC /TM 1708 /FL105 /TP LNC2 /SK SKC /TB NEG /RM SMOOTH,NEG,200908041715-KWBC-UBCA90-PIREP,10500.0,38.67,-120.775,2009-08-04 17:08:00,0.0,L
F,C172,DMN UA /OV DMN090005 /TM 0510 /FL075 /TP C172 /TB LGT,LGT,200908290515-KWBC-UBNM90-PIREP,7500.0,32.28,-107.51142498037956,2009-08-29 05:10:00,1.0,L
T,B757,AMG UUA /OV AMG270030/TM 2106/FL390/TP B757/TB SEV 390/RM ZTL CWSU,SEV 390,,39000.0,31.53606,-83.0932477353252,2009-08-21 21:06:00,5.0,M
T,M20T,BWD UUA /OV JEN250020/TM 2047/FL240/TP M20T/TB SEV FL240-250/RM AWC-WEB:KZFW,SEV FL240-250,,24000.0,32.045984051005,-98.25003213406043,2009-08-01 20:47:00,5.0,L
F,C72R,TRL UA /OV 76F /TM 1758 /FL024 /TP C72R /SK BKN030 /TB LGT /RM TCU 2 N PPSN WV ENE 13KTS,LGT,,2400.0,32.68,-95.98,2009-08-11 17:58:00,1.0,L
T,B190,FNL UUA /OV DEN315040 /TM 2303 /FL130 /TP B190 /TB SEV,SEV,,13000.0,40.3042427045954,-105.27142407248736,2009-08-07 23:03:00,5.0,M
F,B06,PTI UA /OV ANC290090 /TM 2040 /FL010 /TP B06 /SK SKC /WX FV10+SM/WV 270015KT /TB LGT /RM RPRT THRU RAINY PASS,LGT,,1000.0,61.68307177047748,-152.91330305827725,2009-08-29 20:40:00,1.0,L
T,B763,MIA UUA /OV 2515N 5830W/TM 1405/FL380/TP B763/TB SEV CAT/RM FM ZNYCWSU,SEV CAT,,38000.0,25.25,-58.5,2009-08-29 14:05:00,5.0,H
F,B733,COU UA /OV STL290100/TM 1322/FL290/TP B733/TB CONT MOD CHOP 290/RM CONT MOD CHOP 290-200 DURD AWC-WEB:SWA,CONT MOD CHOP 290,200908041330-KWBC-UBMO90-PIREP,29000.0,39.43007974497497,-92.49145334607788,2009-08-04 13:22:00,3.0,M
F,A320,JFK UA /OV LENDY/TM 1137/FL190/TP A320/TB MDT SEV,MDT SEV,,19000.0,40.63861,-73.76222,2009-08-29 11:37:00,5.0,M
F,BE35,DEC UA /OV SPI090020 /TM 1751 /FL055 /TP BE35 /SK SKC /TA 21 /TB NEG /RM SCT CLDS NORTH,NEG,,5500.0,39.8447,-89.24971489510148,2009-08-17 17:51:00,0.0,L
F,PAY1,OXC UA /OV OXC /TM 0642 /FL070 /TP PAY1 /TB NEG /RM IMC SMOOTH RIDE,NEG,200908130600-KMSC-UBUS01-PIREP,7000.0,41.42,-73.13,2009-08-13 06:42:00,0.0,L
F,PA31,FLG UA /OV FLG276025/TM 1705/FL130/TP PA31/TB SEV TURB,SEV TURB,200908031715-KWBC-UBAZ90-PIREP,13000.0,35.19355705420068,-112.17684142958112,2009-08-03 17:05:00,5.0,L
F,PA24,CPW UA /OV 8V1270010 /TM 1756 /FL138 /TP PA24 /TB MOD CHOP,MOD CHOP,,13800.0,37.45,-106.8,2009-08-16 17:56:00,3.0,L
F,B738,HNM UA /OV ZINNO/TM 0315/FL370/TP B738/SK SCT/TA M54/WV 02023KT/TB OCNL LGT CHOP 370/RM PHOG-KPDX AWC-WEB:ASA,OCNL LGT CHOP 370,200908110335-KWBC-UBHI90-PIREP,37000.0,20.83,-73.67,2009-08-11 03:15:00,1.0,M
F,BE20,OTZ UA /OV OTZ /TM 0832 /FL210 /TP BE20 /TB NEG /IC LGT-MOD RIME 090-135,NEG,200908310800-KMSC-UBUS01-PIREP,21000.0,66.89,-162.54,2009-08-31 08:32:00,0.0,M
T,M20T,RDG UUA /OV RDG270010 /TM 1849 /FL045 /TP M20T /TB SEV 070-045 /RM DURD,SEV 070-045,,4500.0,40.3785,-76.18405312902158,2009-08-04 18:49:00,5.0,L
F,C206,MMV UA /OV MMV /TM 2016 /FL020 /TP C206 /SK SCT030-TOP035 /TA 20 /TB CONT LGT /RM LYR BKN TO THE WEST,CONT LGT,,2000.0,45.19455,-123.13607,2009-08-11 20:16:00,1.0,L
T,COL4,EMT UUA /OV VCV225050 /TM 1405 /FL120 /TP COL4 /TB SEV,SEV,,12000.0,34.00816661925575,-118.09890255658192,2009-08-06 14:05:00,5.0,U
F,C185,BIG UA /OV FAI-BIG /TM 2212 /FL040 /TP C185 /SK SCT-BKN040 /WX FV30SM /TB NEG,NEG,200908292220-KWBC-UBAK90-PIREP,4000.0,64.4,-146.865,2009-08-29 22:12:00,0.0,L
F,B738,TLH UA /OV SZW/TM 1322/FL340/TP B738/SK CLEAR/TA M46/WV 280027KT/TB NEG/RM SMOOTH AWC-WEB:ASA,NEG,,34000.0,30.56,-84.37,2009-08-04 13:22:00,0.0,M
T,C310,RNM UUA /OV JLI /TM 2047 /FL085 /TP C310 /TB SEV,SEV,,8500.0,33.14,-116.59,2009-08-01 20:47:00,5.0,L
F,PA32,BIH UA /OV MHV-BIH /TM 2356 /FL085 /TP PA32 /TB LGT CHOP,LGT CHOP,,8500.0,36.216055,-118.257805,2009-08-25 23:56:00,1.0,L
F,BE10,UA /OV CYZV 360010 /TM 1458 /FL030 /TP BE10 /TB LGT OCNL MDT,LGT OCNL MDT,,3000.0,50.39001016668016,-66.26556,2009-08-26 14:58:00,1.0,L
F,DH8,SEA UA /OV SEA035055/TM 0103/FL160/TP DH8/TB MOD CHOP 160-130/RM DURD..ZSE,MOD CHOP 160-130,,16000.0,48.19564019603169,-121.53687520374224,2009-08-29 01:03:00,3.0,M
T,B757,JFK UUA /OV 150 SE JFK /TM 1956/FL240/TP B757/TB SEV,SEV,200908242015-KWBC-UBNY91-PIREP,24000.0,38.86208985776725,-71.44052419362716,2009-08-24 19:56:00,5.0,M
F,B733,HND UA /OV LAS210030 /TM 2130 /FL110 /TP B733 /TB MOD,MOD,,11000.0,35.63885222404385,-115.47272428917542,2009-08-30 21:30:00,3.0,M
T,BE76,PSP UUA /OV PSP135004 /TM 2251 /FL025 /TP BE76 /TB SEV,SEV,,2500.0,33.78252572954046,-116.4499372839439,2009-08-05 22:51:00,5.0,L
F,C206,BIG UA /OV BIG094048 /TM 1843 /FL045 /TP C206 /SK OVC050 /WXFV10SM -RA /TB NEG /RM FV10SM E FV30SM W,NEG,,4500.0,63.934190300780685,-143.9000116171379,2009-08-21 18:43:00,0.0,L
T,E145,FTK UUA /OV SDF220015 /TM 1830 /FL050 /TP E145 /TB SEV,SEV,,5000.0,37.98286337680477,-85.94043089380598,2009-08-04 18:30:00,5.0,M
T,CRJ2,JBR UUA /OV 15W MEM/TM 0041/FL270/TP CRJ2/TB SEV/RM ZME,SEV,,27000.0,35.06111,-90.29044665552158,2009-08-19 00:41:00,5.0,M
F,C180,PLU UA /OV PLU /TM 2116 /FL075 /TP C180 /SK OVC035/TOP055 /TA 11 /TB NEG,NEG,,7500.0,47.1039167,-122.2871944,2009-08-06 21:16:00,0.0,L
T,LJ60,MEM UUA /OV UJM/TM 0105/FL110/TP LJ60/TB SEV/RM ZME,SEV,,11000.0,34.58,-90.67,2009-08-11 01:05:00,5.0,M
T,BE36,PSC UUA /OV PSC180005 /TM 1422 /FL012 /TP BE36 /TB SEV /RM LLWS +/- 20 KTS 012/BLO,SEV,,1200.0,46.18134991665992,-119.11903,2009-08-21 14:22:00,5.0,L
F,C150,LBR UA /OV PRX120025 /TM 2145 /FL045 /TP C150 /SK SKC /WX FV10SM /TA 30 /TB NEG,NEG,,4500.0,33.428259791649786,-95.01730387293152,2009-08-04 21:45:00,0.0,L
F,E170,RNP UA /OV FNT250010 /TM 1932 /FL320 /TP E170 /TB CONT LGT OCNL MOD CHOP,CONT LGT OCNL MOD CHOP,,32000.0,42.909662025502506,-83.96348585797949,2009-08-20 19:32:00,2.0,U
