URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight,nexrad_sites,aws_files
T,B77L,COU UUA /OV COU/TM 0205/FL310/TP B77L/TB SEV/RM CWSU ZKC,SEV,,31000.0,38.8169,-92.2183,2017-09-01 02:05:00,5.0,U,"('KLSX', 'KEAX', 'KSGF', 'KILX', 'KDVN')","['s3://unidata-nexrad-level2/2017/09/01/KLSX/KLSX20170901_015736_V06', 's3://unidata-nexrad-level2/2017/09/01/KEAX/KEAX20170901_015800_V06', 's3://unidata-nexrad-level2/2017/09/01/KSGF/KSGF20170901_020032_V06', 's3://unidata-nexrad-level2/2017/09/01/KILX/KILX20170901_020047_V06', 's3://unidata-nexrad-level2/2017/09/01/KDVN/KDVN20170901_015943_V06']"
T,P28A,EVB UUA /OV EVB145004 /TM 0349 /FL060 /TP P28A /TB SEV /RM DAB APCH,SEV,,6000.0,29.0010754402886,-80.90517280471371,2017-09-01 03:49:00,5.0,L,"('KMLB', 'KJAX', 'KTBW', 'KVAX', 'KAMX')","['s3://unidata-nexrad-level2/2017/09/01/KMLB/KMLB20170901_034513_V06', 's3://unidata-nexrad-level2/2017/09/01/KJAX/KJAX20170901_034610_V06', 's3://unidata-nexrad-level2/2017/09/01/KTBW/KTBW20170901_034433_V06', 's3://unidata-nexrad-level2/2017/09/01/KVAX/KVAX20170901_034838_V06', 's3://unidata-nexrad-level2/2017/09/01/KAMX/KAMX20170901_034449_V06']"
T,CRJ2,GFL UUA /OV GFL/TM 1650/FL270/TP CRJ2/TB SEV,SEV,,27000.0,43.34122,-73.61031,2017-09-01 16:50:00,5.0,M,"('KENX', 'KCXX', 'KTYX', 'KBGM', 'KBOX')","['s3://unidata-nexrad-level2/2017/09/01/KENX/KENX20170901_164727_V06', 's3://unidata-nexrad-level2/2017/09/01/KCXX/KCXX20170901_164812_V06', 's3://unidata-nexrad-level2/2017/09/01/KTYX/KTYX20170901_164435_V06', 's3://unidata-nexrad-level2/2017/09/01/KBGM/KBGM20170901_164843_V06', 's3://unidata-nexrad-level2/2017/09/01/KBOX/KBOX20170901_164639_V06']"
F,CRJ7,UUA /OV CYZR 320025 /TM 1827 /FL310 /TP CRJ7 /TB MDT-SEV /RM NORTH OF HOCKE INTERSECTION,MDT-SEV,,31000.0,43.31432103865871,-82.6735393314356,2017-09-01 18:27:00,5.0,M,"('KDTX', 'KCLE', 'KGRR', 'KAPX', 'KBUF')","['s3://unidata-nexrad-level2/2017/09/01/KDTX/KDTX20170901_182538_V06', 's3://unidata-nexrad-level2/2017/09/01/KCLE/KCLE20170901_182223_V06', 's3://unidata-nexrad-level2/2017/09/01/KGRR/KGRR20170901_182314_V06', 's3://unidata-nexrad-level2/2017/09/01/KAPX/KAPX20170901_182155_V06', 's3://unidata-nexrad-level2/2017/09/01/KBUF/KBUF20170901_182156_V06']"
F,M20T,UUA /OV CYMX 290004 /TM 1945 /FL025 /TP M20T /TB MDT-SEV /RM TB LGT OCNL MDT BLO 030,MDT-SEV,,2500.0,45.702303189799,-74.12834199332303,2017-09-01 19:45:00,5.0,L,"('KCXX', 'KTYX', 'KENX', 'KGYX', 'KBGM')","['s3://unidata-nexrad-level2/2017/09/01/KCXX/KCXX20170901_194427_V06', 's3://unidata-nexrad-level2/2017/09/01/KTYX/KTYX20170901_193939_V06', 's3://unidata-nexrad-level2/2017/09/01/KENX/KENX20170901_194414_V06', 's3://unidata-nexrad-level2/2017/09/01/KGYX/KGYX20170901_194442_V06', 's3://unidata-nexrad-level2/2017/09/01/KBGM/KBGM20170901_194351_V06']"
F,M20T,UUA /OV CYMX 290004 /TM 1945 /FL025 /TP M20T /TB MDT-SEV /RM TB LGT OCNL MDT BLO 020 COR COPY,MDT-SEV,,2500.0,45.702303189799,-74.12834199332303,2017-09-01 19:45:00,5.0,L,"('KCXX', 'KTYX', 'KENX', 'KGYX', 'KBGM')","['s3://unidata-nexrad-level2/2017/09/01/KCXX/KCXX20170901_194427_V06', 's3://unidata-nexrad-level2/2017/09/01/KTYX/KTYX20170901_193939_V06', 's3://unidata-nexrad-level2/2017/09/01/KENX/KENX20170901_194414_V06', 's3://unidata-nexrad-level2/2017/09/01/KGYX/KGYX20170901_194442_V06', 's3://unidata-nexrad-level2/2017/09/01/KBGM/KBGM20170901_194351_V06']"
F,B789,UUA /OV 4430N05527W /TM 2010 /FL350 /TP B789/TB SEV/RM TURB LT AT F330,SEV,,35000.0,44.5,-55.45,2017-09-01 20:10:00,5.0,U,"('KCBW', 'KGYX', 'KBOX', 'KCXX', 'KOKX')","['s3://unidata-nexrad-level2/2017/09/01/KCBW/KCBW20170901_200555_V06', 's3://unidata-nexrad-level2/2017/09/01/KGYX/KGYX20170901_200405_V06', 's3://unidata-nexrad-level2/2017/09/01/KBOX/KBOX20170901_200332_V06', 's3://unidata-nexrad-level2/2017/09/01/KCXX/KCXX20170901_200349_V06', 's3://unidata-nexrad-level2/2017/09/01/KOKX/KOKX20170901_200908_V06']"
T,E145,GNV UUA /OV CTY270030/TM 0005/FL180/TP E145/SK OVC/TB SEV,SEV,,18000.0,29.63553,-83.68004583315674,2017-09-02 00:05:00,5.0,M,"('KTLH', 'KVAX', 'KJAX', 'KEVX', 'KTBW')","['s3://unidata-nexrad-level2/2017/09/02/KTLH/KTLH20170902_000156_V06', 's3://unidata-nexrad-level2/2017/09/02/KVAX/KVAX20170902_000122_V06', 's3://unidata-nexrad-level2/2017/09/02/KJAX/KJAX20170902_000124_V06', 's3://unidata-nexrad-level2/2017/09/02/KEVX/KEVX20170902_000149_V06', 's3://unidata-nexrad-level2/2017/09/02/KTBW/KTBW20170902_000128_V06']"
T,E190,AFP UUA /OV CLT090015/TM 0103/FL060/TP E190/TB SEV/RM SEV TURB BTW ALT 060-100,SEV,,6000.0,35.22255,-80.64825693232076,2017-09-02 01:03:00,5.0,U,"('KGSP', 'KCAE', 'KRAX', 'KFCX', 'KLTX')","['s3://unidata-nexrad-level2/2017/09/02/KGSP/KGSP20170902_010045_V06', 's3://unidata-nexrad-level2/2017/09/02/KCAE/KCAE20170902_010002_V06', 's3://unidata-nexrad-level2/2017/09/02/KRAX/KRAX20170902_005937_V06', 's3://unidata-nexrad-level2/2017/09/02/KFCX/KFCX20170902_005941_V06', 's3://unidata-nexrad-level2/2017/09/02/KLTX/KLTX20170902_010257_V06']"
T,E175,SSI UUA /OV SSI135030/TM 0404/FL350/TP E175/TB SEV,SEV,,35000.0,30.79863797155345,-80.97766839714288,2017-09-02 04:04:00,5.0,U,"('KJAX', 'KVAX', 'KCLX', 'KMLB', 'KJGX')","['s3://unidata-nexrad-level2/2017/09/02/KJAX/KJAX20170902_040109_V06', 's3://unidata-nexrad-level2/2017/09/02/KVAX/KVAX20170902_040305_V06', 's3://unidata-nexrad-level2/2017/09/02/KCLX/KCLX20170902_040328_V06', 's3://unidata-nexrad-level2/2017/09/02/KMLB/KMLB20170902_040202_V06', 's3://unidata-nexrad-level2/2017/09/02/KJGX/KJGX20170902_035955_V06']"
