URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,in_sigmet,Plane Weight,nexrad_sites,aws_files
F,B737,UUA /OV CYYC 254056 /TM 1820 /FL340 /TP B737 /TB SEV,SEV,,34000.0,50.85660762969919,-115.44953594518066,2017-03-04 18:20:00+00:00,5.0,0,M,"('KOTX', 'KMSX', 'KTFX', 'KPDT', 'KCBX')","['s3://unidata-nexrad-level2/2017/03/04/KOTX/KOTX20170304_181845_V06', 's3://unidata-nexrad-level2/2017/03/04/KMSX/KMSX20170304_181839_V06', 's3://unidata-nexrad-level2/2017/03/04/KTFX/KTFX20170304_181135_V06', 's3://unidata-nexrad-level2/2017/03/04/KPDT/KPDT20170304_181656_V06', 's3://unidata-nexrad-level2/2017/03/04/KCBX/KCBX20170304_181524_V06']"
F,B734,JNU UA /OV JNU /TM 0629 /FL030 /TP B734 /SK SKC /TB LGT 030-010/RM DURD RWY 26,LGT 030-010,,3000.0,58.35,-134.57,2017-03-18 06:29:00+00:00,1.0,0,M,"('PACG', 'PAIH', 'PAIH', 'PAPD', 'KLGX')","['s3://unidata-nexrad-level2/2017/03/18/PACG/PACG20170318_062613_V06', 's3://unidata-nexrad-level2/2017/03/18/PAIH/PAIH20170318_062233_V06', 's3://unidata-nexrad-level2/2017/03/18/PAIH/PAIH20170318_062233_V06', 's3://unidata-nexrad-level2/2017/03/18/PAPD/PAPD20170318_062301_V06', 's3://unidata-nexrad-level2/2017/03/18/KLGX/KLGX20170318_062738_V06']"
T,GLEX,GCK UUA /OV GCK/TM 0325/FL470/TP GLEX/TB SEV/RM ZKCFD/WR,SEV,,47000.0,37.92753,-100.72442,2017-03-07 03:25:00+00:00,5.0,0,M,"('KDDC', 'KGLD', 'KVNX', 'KICT', 'KPUX')","['s3://unidata-nexrad-level2/2017/03/07/KDDC/KDDC20170307_032247_V06', 's3://unidata-nexrad-level2/2017/03/07/KGLD/KGLD20170307_031744_V06', 's3://unidata-nexrad-level2/2017/03/07/KVNX/KVNX20170307_032239_V06', 's3://unidata-nexrad-level2/2017/03/07/KICT/KICT20170307_032255_V06', 's3://unidata-nexrad-level2/2017/03/07/KPUX/KPUX20170307_032045_V06']"
F,C25M,TRM UA /OV TRM075012 /TM 2020 /FL100 /TP C25M /TB SEV /RM ZLAWC AWC-WEB,SEV,,10000.0,33.67843800189323,-115.92764253659436,2017-03-31 20:20:00+00:00,5.0,0,U,"('KNKX', 'KSOX', 'KYUX', 'KEYX', 'KESX')","['s3://unidata-nexrad-level2/2017/03/31/KNKX/KNKX20170331_201030_V06', 's3://unidata-nexrad-level2/2017/03/31/KSOX/KSOX20170331_201335_V06', 's3://unidata-nexrad-level2/2017/03/31/KYUX/KYUX20170331_201954_V06', 's3://unidata-nexrad-level2/2017/03/31/KEYX/KEYX20170331_201649_V06', 's3://unidata-nexrad-level2/2017/03/31/KESX/KESX20170331_201735_V06']"
T,B717,VJI UUA /OV HMV300025/TM 0135/FL260/TP B717/TB SEV/RM NO DAMAGES OR INJURIES ZTLFD,SEV,,26000.0,36.64835020835021,-82.57857976971748,2017-03-08 01:35:00+00:00,5.0,0,M,"('KMRX', 'KJKL', 'KGSP', 'KRLX', 'KFCX')","['s3://unidata-nexrad-level2/2017/03/08/KMRX/KMRX20170308_013042_V06', 's3://unidata-nexrad-level2/2017/03/08/KJKL/KJKL20170308_013210_V06', 's3://unidata-nexrad-level2/2017/03/08/KGSP/KGSP20170308_012921_V06', 's3://unidata-nexrad-level2/2017/03/08/KRLX/KRLX20170308_013434_V06', 's3://unidata-nexrad-level2/2017/03/08/KFCX/KFCX20170308_013129_V06']"
F,B737,SLC UA /OV SLC170030/TM 1457/FL150/TP B737/TB LGT CHOP 150-095/RM DURD,LGT CHOP 150-095,,15000.0,40.28755623874002,-111.85532953892906,2017-03-16 14:57:00+00:00,1.0,0,M,"('KMTX', 'KICX', 'KSFX', 'KGJX', 'KRIW')","['s3://unidata-nexrad-level2/2017/03/16/KMTX/KMTX20170316_145037_V06', 's3://unidata-nexrad-level2/2017/03/16/KICX/KICX20170316_144818_V06', 's3://unidata-nexrad-level2/2017/03/16/KSFX/KSFX20170316_145618_V06', 's3://unidata-nexrad-level2/2017/03/16/KGJX/KGJX20170316_145549_V06', 's3://unidata-nexrad-level2/2017/03/16/KRIW/KRIW20170316_145434_V06']"
T,B738,PADQ UUA /OV 4700N 15559W/TM 2300/FL360/TP B738/TB SEV/RM ZOA CWSU,SEV,,36000.0,47.0,-155.9833,2017-03-26 23:00:00+00:00,5.0,0,M,"('PAKC', 'PAHG', 'PABC', 'PAIH', 'PAIH')","['s3://unidata-nexrad-level2/2017/03/26/PAKC/PAKC20170326_225957_V06', 's3://unidata-nexrad-level2/2017/03/26/PAHG/PAHG20170326_225711_V06', 's3://unidata-nexrad-level2/2017/03/26/PABC/PABC20170326_225420_V06', 's3://unidata-nexrad-level2/2017/03/26/PAIH/PAIH20170326_225642_V06', 's3://unidata-nexrad-level2/2017/03/26/PAIH/PAIH20170326_225642_V06']"
F,CRJ7,DAY UA /OV LCK070015/TM 2356/FL120/TP CRJ7/TB MOD CHOP 120-140,MOD CHOP 120-140,,12000.0,39.89929196174624,-82.62194729271127,2017-03-07 23:56:00+00:00,3.0,0,M,"('KILN', 'KCLE', 'KRLX', 'KPBZ', 'KJKL')","['s3://unidata-nexrad-level2/2017/03/07/KILN/KILN20170307_235434_V06', 's3://unidata-nexrad-level2/2017/03/07/KCLE/KCLE20170307_235533_V06', 's3://unidata-nexrad-level2/2017/03/07/KRLX/KRLX20170307_235348_V06', 's3://unidata-nexrad-level2/2017/03/07/KPBZ/KPBZ20170307_235358_V06', 's3://unidata-nexrad-level2/2017/03/07/KJKL/KJKL20170307_235138_V06']"
F,E145,BVO UA /OV BVO180010/TM 1932/FL330/TP E145/TB LGT/RM ZKCFD,LGT,,33000.0,36.59579983331983,-96.01115,2017-03-30 19:32:00+00:00,1.0,0,M,"('KINX', 'KICT', 'KOUN', 'KSRX', 'KSGF')","['s3://unidata-nexrad-level2/2017/03/30/KINX/KINX20170330_192422_V06', 's3://unidata-nexrad-level2/2017/03/30/KICT/KICT20170330_192434_V06', 's3://unidata-nexrad-level2/2017/03/30/KSRX/KSRX20170330_192620_V06', 's3://unidata-nexrad-level2/2017/03/30/KSGF/KSGF20170330_192535_V06']"
F,B77W,RWF UA /OV RWF288060/TM 1249/FL350/TP B77W/TB LGT,LGT,,35000.0,44.85593202477652,-96.41659349752176,2017-03-11 12:49:00+00:00,1.0,0,U,"('KFSD', 'KABR', 'KMPX', 'KMVX', 'KOAX')","['s3://unidata-nexrad-level2/2017/03/11/KFSD/KFSD20170311_124041_V06', 's3://unidata-nexrad-level2/2017/03/11/KABR/KABR20170311_124425_V06', 's3://unidata-nexrad-level2/2017/03/11/KMPX/KMPX20170311_124531_V06', 's3://unidata-nexrad-level2/2017/03/11/KMVX/KMVX20170311_124456_V06', 's3://unidata-nexrad-level2/2017/03/11/KOAX/KOAX20170311_124715_V06']"
T,SR22,OJC UUA /OV BUM 130030/TM 2044/FL090/TP SR22/TB SEV/RM +/-1500 FPM CWSU ZKC,SEV,,9000.0,37.95858016223251,-93.85202952233782,2017-03-29 20:44:00+00:00,5.0,0,L,"('KSGF', 'KEAX', 'KTWX', 'KINX', 'KSRX')","['s3://unidata-nexrad-level2/2017/03/29/KSGF/KSGF20170329_204005_V06', 's3://unidata-nexrad-level2/2017/03/29/KEAX/KEAX20170329_204344_V06', 's3://unidata-nexrad-level2/2017/03/29/KTWX/KTWX20170329_203942_V06', 's3://unidata-nexrad-level2/2017/03/29/KINX/KINX20170329_204245_V06', 's3://unidata-nexrad-level2/2017/03/29/KSRX/KSRX20170329_204346_V06']"
F,B738,ICT UA /OV ICT /TM 1946 /FL360 /TP B738 /TB CONT LGT CHOP /RM SMOOTH AT FL380//STL-LAX AWC-WEB:,CONT LGT CHOP,,36000.0,37.65,-97.43,2017-03-15 19:46:00+00:00,1.0,0,M,"('KVNX', 'KICT', 'KTWX', 'KTLX', 'KDDC')","['s3://unidata-nexrad-level2/2017/03/15/KVNX/KVNX20170315_194214_V06', 's3://unidata-nexrad-level2/2017/03/15/KICT/KICT20170315_193719_V06', 's3://unidata-nexrad-level2/2017/03/15/KTWX/KTWX20170315_193755_V06', 's3://unidata-nexrad-level2/2017/03/15/KTLX/KTLX20170315_193822_V06', 's3://unidata-nexrad-level2/2017/03/15/KDDC/KDDC20170315_194258_V06']"
T,CRJ7,PRC UUA /OV BXK07515/TM 0351/FL170/TP CRJ7/TB SEV,SEV,,17000.0,33.4204167,-112.6861808,2017-03-23 03:51:00+00:00,5.0,1,M,"('KIWA', 'KYUX', 'KFSX', 'KFSX', 'KEMX')","['s3://unidata-nexrad-level2/2017/03/23/KIWA/KIWA20170323_034929_V06', 's3://unidata-nexrad-level2/2017/03/23/KYUX/KYUX20170323_034954_V06', 's3://unidata-nexrad-level2/2017/03/23/KFSX/KFSX20170323_034659_V06', 's3://unidata-nexrad-level2/2017/03/23/KFSX/KFSX20170323_034659_V06', 's3://unidata-nexrad-level2/2017/03/23/KEMX/KEMX20170323_034529_V06']"
T,DH8C,UNV UUA /OV KUNV/TM 0255/FL030/TP DH8C/TB SEV BLO 040/RM LLWS +/-30 KT SFC-008 DURD RY24 UNV,SEV BLO 040,,3000.0,40.85,-77.85,2017-03-09 02:55:00+00:00,5.0,0,M,"('KCCX', 'KPBZ', 'KLWX', 'KBGM', 'KBUF')","['s3://unidata-nexrad-level2/2017/03/09/KCCX/KCCX20170309_024710_V06', 's3://unidata-nexrad-level2/2017/03/09/KPBZ/KPBZ20170309_025009_V06', 's3://unidata-nexrad-level2/2017/03/09/KLWX/KLWX20170309_024610_V06', 's3://unidata-nexrad-level2/2017/03/09/KBGM/KBGM20170309_024841_V06', 's3://unidata-nexrad-level2/2017/03/09/KBUF/KBUF20170309_025146_V06']"
T,BE36,CNM UUA /OV CNM/TM 0346/FL094/TP BE36/TB SEV/RM ZAB,SEV,,9400.0,32.33747,-104.26328,2017-03-01 03:46:00+00:00,5.0,0,L,"('KHDX', 'KMAF', 'KEPZ', 'KFDX', 'KLBB')","['s3://unidata-nexrad-level2/2017/03/01/KMAF/KMAF20170301_034525_V06', 's3://unidata-nexrad-level2/2017/03/01/KEPZ/KEPZ20170301_033932_V06', 's3://unidata-nexrad-level2/2017/03/01/KFDX/KFDX20170301_033954_V06']"
T,BE36,ALS UUA /OV ALS350020/TM 2030/FL170/TP BE36/TB SEV/RM ZDV,SEV,,17000.0,37.76718584083999,-105.9342958636642,2017-03-22 20:30:00+00:00,5.0,0,L,"('KPUX', 'KGJX', 'KFTG', 'KABX', 'KCYS')","['s3://unidata-nexrad-level2/2017/03/22/KPUX/KPUX20170322_202906_V06', 's3://unidata-nexrad-level2/2017/03/22/KGJX/KGJX20170322_202915_V06', 's3://unidata-nexrad-level2/2017/03/22/KFTG/KFTG20170322_202135_V06', 's3://unidata-nexrad-level2/2017/03/22/KABX/KABX20170322_202146_V06', 's3://unidata-nexrad-level2/2017/03/22/KCYS/KCYS20170322_202610_V06']"
F,PC2,ROW UA /OV CME360020/TM 2258/FL230/TP PC2/TA M18/TB NEG/IC LGT RIME 225-260/RM ZAB,NEG,,23000.0,33.673360333360336,-104.62,2017-03-05 22:58:00+00:00,0.0,0,U,"('KFDX', 'KHDX', 'KLBB', 'KABX', 'KEPZ')","['s3://unidata-nexrad-level2/2017/03/05/KFDX/KFDX20170305_224745_V06', 's3://unidata-nexrad-level2/2017/03/05/KABX/KABX20170305_225237_V06', 's3://unidata-nexrad-level2/2017/03/05/KEPZ/KEPZ20170305_225331_V06']"
F,B733,MCN UA /OV MCN190035 /TM 0508 /FL360 /TP B733 /TB NEG/RM AWC-WEB:,NEG,,36000.0,32.11833227853002,-83.76958262382472,2017-03-16 05:08:00+00:00,0.0,0,M,"('KJGX', 'KVAX', 'KFFC', 'KEOX', 'KMXX')","['s3://unidata-nexrad-level2/2017/03/16/KJGX/KJGX20170316_050123_V06', 's3://unidata-nexrad-level2/2017/03/16/KFFC/KFFC20170316_050634_V06', 's3://unidata-nexrad-level2/2017/03/16/KEOX/KEOX20170316_050330_V06', 's3://unidata-nexrad-level2/2017/03/16/KMXX/KMXX20170316_045918_V06']"
T,CL30,GUC UUA /OV HBU120040/TM 2112/FL380/TP CL30/TB SEV MTN WAVE /RM +-.08 M  FL380 CLIMBING  ZDV,SEV MTN WAVE,,38000.0,38.11663966663967,-106.30272588941354,2017-03-12 21:12:00+00:00,5.0,0,U,"('KFTG', 'KPUX', 'KGJX', 'KABX', 'KCYS')","['s3://unidata-nexrad-level2/2017/03/12/KFTG/KFTG20170312_210508_V06', 's3://unidata-nexrad-level2/2017/03/12/KPUX/KPUX20170312_210822_V06', 's3://unidata-nexrad-level2/2017/03/12/KGJX/KGJX20170312_211118_V06', 's3://unidata-nexrad-level2/2017/03/12/KABX/KABX20170312_210620_V06', 's3://unidata-nexrad-level2/2017/03/12/KCYS/KCYS20170312_210838_V06']"
F,737,FCI UA /OV FAK180040 /TM 2048 /FL380 /TP 737 /TB OCNL MOD CHOP 380/RM AWC-WEB,OCNL MOD CHOP 380,,38000.0,36.86327933327934,-77.83,2017-03-17 20:48:00+00:00,3.0,0,M,"('KAKQ', 'KRAX', 'KFCX', 'KLWX', 'KDOX')","['s3://unidata-nexrad-level2/2017/03/17/KAKQ/KAKQ20170317_204115_V06', 's3://unidata-nexrad-level2/2017/03/17/KRAX/KRAX20170317_204704_V06', 's3://unidata-nexrad-level2/2017/03/17/KFCX/KFCX20170317_204514_V06', 's3://unidata-nexrad-level2/2017/03/17/KLWX/KLWX20170317_204551_V06']"
F,B752,FOD UA /OV FOD340020/TM 2238/FL370/TP B752/TB CONT MOD,CONT MOD,,37000.0,42.86299724532143,-94.35797076388828,2017-03-24 22:38:00+00:00,3.0,0,M,"('KDMX', 'KFSD', 'KMPX', 'KOAX', 'KARX')","['s3://unidata-nexrad-level2/2017/03/24/KDMX/KDMX20170324_223650_V06', 's3://unidata-nexrad-level2/2017/03/24/KFSD/KFSD20170324_223520_V06', 's3://unidata-nexrad-level2/2017/03/24/KMPX/KMPX20170324_223611_V06', 's3://unidata-nexrad-level2/2017/03/24/KOAX/KOAX20170324_223409_V06', 's3://unidata-nexrad-level2/2017/03/24/KARX/KARX20170324_223323_V06']"
T,PA46,LBL UUA /OV LBL280065/TM 2052/FL090/TP PA46/TB SEV 090-190/RM CWSU ZKC,SEV 090-190,,9000.0,37.232354096782,-102.29661835025216,2017-03-06 20:52:00+00:00,5.0,0,L,"('KDDC', 'KPUX', 'KAMA', 'KGLD', 'KFDX')","['s3://unidata-nexrad-level2/2017/03/06/KDDC/KDDC20170306_204453_V06', 's3://unidata-nexrad-level2/2017/03/06/KPUX/KPUX20170306_204253_V06', 's3://unidata-nexrad-level2/2017/03/06/KAMA/KAMA20170306_204451_V06', 's3://unidata-nexrad-level2/2017/03/06/KGLD/KGLD20170306_204308_V06', 's3://unidata-nexrad-level2/2017/03/06/KFDX/KFDX20170306_205029_V06']"
T,PC12,DEN UUA /OV BRK260030/TM 0505/FL240/TP PC12/TB SEV /RM NO INJURIES OR DAMAGE,SEV,,24000.0,38.853168878408304,-105.26312017935702,2017-03-24 05:05:00+00:00,5.0,0,L,"('KPUX', 'KFTG', 'KCYS', 'KGJX', 'KGLD')","['s3://unidata-nexrad-level2/2017/03/24/KPUX/KPUX20170324_050317_V06', 's3://unidata-nexrad-level2/2017/03/24/KFTG/KFTG20170324_050451_V06', 's3://unidata-nexrad-level2/2017/03/24/KCYS/KCYS20170324_045922_V06', 's3://unidata-nexrad-level2/2017/03/24/KGJX/KGJX20170324_050334_V06', 's3://unidata-nexrad-level2/2017/03/24/KGLD/KGLD20170324_050314_V06']"
F,DH8D,BOI UA /OV BOI/TM 1530/FL090/TP DH8D/TB SEV,SEV,,9000.0,43.56667,-116.24056,2017-03-05 15:30:00+00:00,5.0,0,M,"('KCBX', 'KSFX', 'KPDT', 'KLRX', 'KMSX')","['s3://unidata-nexrad-level2/2017/03/05/KCBX/KCBX20170305_152852_V06', 's3://unidata-nexrad-level2/2017/03/05/KSFX/KSFX20170305_152631_V06', 's3://unidata-nexrad-level2/2017/03/05/KPDT/KPDT20170305_152235_V06', 's3://unidata-nexrad-level2/2017/03/05/KLRX/KLRX20170305_152946_V06', 's3://unidata-nexrad-level2/2017/03/05/KMSX/KMSX20170305_152551_V06']"
