URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight
T,A320,ILM UUA /OV ILM120020/TM 0141/FL360/TP A320/TB SEV CHOP,SEV CHOP,,36000.0,34.10331983331984,-77.55065237425127,2013-04-01 01:41:00,5.0,M
T,PA32,HRJ UUA /OV HRJ /TM 1725 /FL050 /TP PA32 /TB SEV /RM OCNL MOD TURB,SEV,,5000.0,35.37861,-78.73361,2013-04-01 17:25:00,5.0,L
T,BE35,LBB UUA /OV LBB360008 /TM 0102 /FL050 /TP BE35 /TB SEV /RM GUST FRONT,SEV,,5000.0,33.79698413334413,-101.82278,2013-04-02 01:02:00,5.0,L
T,P28A,CJR UUA /OV CHO045025 /TM 1545 /FL080 /TP P28A /TB SEV,SEV,,8000.0,38.43329169037213,-78.0782323096402,2013-04-02 15:45:00,5.0,L
T,BE35,VGT UUA /OV VGT340010 /TM 1900 /FL060 /TP BE35 /TB SEV 055-060,SEV 055-060,,6000.0,36.36731812266072,-115.26509497558158,2013-04-02 19:00:00,5.0,L
T,P46T,OKC UUA /OV IRW160030/TM 2025/FL280/TP P46T/TB SEV/RM AWC-WEB:KZFW,SEV,,28000.0,34.890115632017846,-97.40029158750482,2013-04-02 20:25:00,5.0,L
F,C172,UUA /OV CYCQ 300050 /TM 2333 /FL085 /TP C172 /TB MDT-SEV /RM TURB EXTENDS FROM LEMORAY PINE PASS TO HALFWAY RIVER EAST OF TRENCH AND WEST OF HWY,MDT-SEV,,8500.0,56.10392041670042,-122.90701966709604,2013-04-02 23:33:00,5.0,L
F,C525,LFT UA /OV KLFT315005/TM 1305/FL060/TP C525/TB EXTRM,EXTRM,,6000.0,30.257526928074427,-92.05774670112244,2013-04-03 13:05:00,7.0,L
T,C501,MCI UUA /OV MCI/TM 1637/FL370/TP C501/TB SEV 370/RM AWC-WEB:KZKC,SEV 370,201304031645-KWBC-UBMO90-PIREP,37000.0,39.29,-94.74,2013-04-03 16:37:00,5.0,L
T,C501,MCI UUA /OV MCI/TM 1637/FL370/TP C501/TB SEV/RM AWC-WEB:KZKC,SEV,201304031645-KWBC-UBMO90-PIREP,37000.0,39.29,-94.74,2013-04-03 16:37:00,5.0,L
T,B777,FAM UUA /OV FAM 090050/TM 1748/FL400/TP B777/TB SEV/RM ZME,SEV,,40000.0,37.76103,-89.37443511355278,2013-04-03 17:48:00,5.0,H
T,C510,MCO UUA /OV 38NW MCO/TM 2010/FL150/TP C510/TB SEV/RM NO DAMAGE ORINJURIES. ZJX CWSU,SEV,,15000.0,28.792684500856275,-81.89897825492,2013-04-03 20:10:00,5.0,U
T,C510,MCO UUA /OV 38NW MCO/TM 2010/FL150/TP C510/TB SEV/RM NO DAMAGE OR INJURIES. ZJX CWSU,SEV,201304032025-KWBC-UBFL90-PIREP,15000.0,28.913294500856274,-82.02066267495852,2013-04-03 20:10:00,5.0,U
T,B737,GNV UUA /OV 10NW GNV/TM 2018/FL240/TP B737/TB SEV/RM NO INJURIES ORDAMAGE. ZJX CWSU,SEV,,24000.0,29.78730381601481,-82.43319265335455,2013-04-03 20:18:00,5.0,M
T,B737,GNV UUA /OV 10NW GNV/TM 2018/FL240/TP B737/TB SEV/RM NO INJURIES OR DAMAGE. ZJX CWSU,SEV,201304032040-KWBC-UBFL91-PIREP,24000.0,29.66560381601481,-82.51698287970622,2013-04-03 20:18:00,5.0,M
T,LJ60,BKW UUA /OV BKW350020/TM 2339/FL410/TP LJ60/TB SEV,SEV,,41000.0,38.11562584083999,-81.19740827061035,2013-04-03 23:39:00,5.0,M
F,A319,CAE UA /OV 30SW CAE/TM 1403/FL340/TP A319/TB SEV FL280-FL340/RM REPORTED BY SEVERAL AIRCRAFTS A319/B737/B753. ZJX,SEV FL280-FL340,,34000.0,33.588317971553444,-81.54430569364212,2013-04-04 14:03:00,5.0,M
F,A319,CAE UA /OV 30SW CAE/TM 1403/FL340/TP A319/TB SEV FL280-FL340/RMREPORTED BY SEVERAL AIRCRAFTS A319/B737/B753. ZJX,SEV FL280-FL340,,34000.0,33.588317971553444,-81.54430569364212,2013-04-04 14:03:00,5.0,M
F,A319,CAE UA /OV 30SW CAE/TM 1403/FL340/TP A319/TB SEV/RM REPORTED BY SEVERAL AIRCRAFTS A319/B737/B753. ZJX,SEV,,34000.0,33.588317971553444,-81.54430569364212,2013-04-04 14:03:00,5.0,M
F,A319,CAE UA /OV 30SW CAE/TM 1403/FL340/TP A319/TB SEV/RM REPORTED BYSEVERAL AIRCRAFTS A319/B737/B753. ZJX,SEV,,34000.0,33.588317971553444,-81.54430569364212,2013-04-04 14:03:00,5.0,M
