URGENT,AIRCRAFT,REPORT,TURBULENCE,PRODUCT_ID,FL,LAT,LON,datetime,turbulence_intensity,Plane Weight
T,A332,MIA UUA /OV 2240N041W/TM 0152/FL340/TP A332/TB SEV,SEV,201302010200-KWBC-UBFL90-PIREP,34000.0,22.6666,-0.6833,2013-02-01 01:52:00,5.0,H
T,LJ25,GNV UUA /OV SZW 090050/TM 1501/FL380/TP LJ25/TB SEV TURB/RM CWSU ZJX,SEV TURB,,38000.0,30.56,-83.4021640366749,2013-02-01 15:01:00,5.0,L
T,C25B,TBN UUA /OV MAP 200030/TM 1721/FL380/TP C25B/TB SEV CAT/RM CWSU ZKC,SEV CAT,,38000.0,37.12011563201785,-92.00583134849768,2013-02-01 17:21:00,5.0,U
T,SR22,AVL UUA /OV SUG010025/TM 1920/FL085/TP SR22/TB SEV 085-100/RM MTW UPDFTS AND DWNDFTS. NO INJURIES OR DAMAGE RPTD. ZTL CWSU,SEV 085-100,,8500.0,35.820369801049985,-82.18121852842681,2013-02-01 19:20:00,5.0,L
T,SR22,AVL UUA /OV SUG010025/TM 1920/FL085/TP SR22/TB SEV 085-100/RM MTW  UPDFTS AND DWNDFTS. NO INJURIES OR DAMAGE RPTD. ZTL CWSU,SEV 085-100,,8500.0,35.820369801049985,-82.18121852842681,2013-02-01 19:20:00,5.0,L
T,PC12,CCU UUA /OV DEN245045 /TM 2135 /FL160 /TP PC12 /TB SEV 160-150,SEV 160-150,,16000.0,39.5158106296094,-105.54273360989022,2013-02-02 21:35:00,5.0,L
F,PA18,UUA /OV CYBA /TM 2155 /FL115 /TP PA18 /TA -10 /WV 230045 /TB MDT-SEV /RM MDT OCNL SEV TURB CYBA-CFN7,MDT-SEV,,11500.0,51.21,-115.54,2013-02-02 21:55:00,5.0,L
T,A333,ORF UUA /OV 3852N 04737W/TM 0040/FL370/TP A333/TB SEV/RM SEV TURBULANCE FROM 3700N/05000W TO 3852N/04737W,SEV,,37000.0,38.8666,-47.6166,2013-02-03 00:40:00,5.0,H
T,A333,ORF UUA /OV 3852N 04737W/TM 0040/FL370/TP A333/TB SEV/RM SEVTURBULANCE FROM 3700N/05000W TO 3852N/04737W,SEV,,37000.0,38.8666,-47.6166,2013-02-03 00:40:00,5.0,H
T,MO20,WJF UUA /OV GMN140020/TM 0047/FL077/TP MO20/TB SEV/RM ZLA,SEV,,7700.0,34.54463116907302,-118.5990487752268,2013-02-03 00:47:00,5.0,U
T,SR22,MKS UUA /OV CHS045025 /TM 1655 /FL040 /TP SR22 /TB SEV,SEV,,4000.0,33.19325169037213,-79.68957091258144,2013-02-03 16:55:00,5.0,L
T,B737,ANC UUA /OV TED284092/TM 2005/FL300/TP B737/TB SEV/RM SMOOTH AT 260 ZAN,SEV,201302032020-KWBC-UBAK91-PIREP,30000.0,61.15,-150.21,2013-02-03 20:05:00,5.0,M
T,B737,ANC UUA /OV TED284092/TM 2005/FL300/TP B737/TB SEV/RM SMOOTH AT 260ZAN,SEV,,30000.0,61.54097695331564,-153.0755846182612,2013-02-03 20:05:00,5.0,M
F,M6,UUA /OV CYQF 040015 /TM 2145 /FL055 /TP M6 /TB SEV /RM OCNL SEV TURB,SEV,,5500.0,52.37374662319523,-113.63233556261022,2013-02-04 21:45:00,5.0,L
T,B733,EYW UUA /OV MTH/TM 1602/FL290/TP B733/TB SEV 290-305/RM NO INJURIES NO DAMAGE. CWSU ZMA,SEV 290-305,201302061615-KWBC-UBFL90-PIREP,29000.0,24.71,-81.1,2013-02-06 16:02:00,5.0,M
T,B733,MTH UUA /OV MTH /TM 1602 /FL290 /TP B733 /TB SEV,SEV,,29000.0,24.72619,-81.05136,2013-02-06 16:02:00,5.0,M
T,B733,EYW UUA /OV MTH/TM 1602/FL290/TP B733/TB SEV 290-305/RM NO INJURIESNO DAMAGE. CWSU ZMA,SEV 290-305,,29000.0,24.72619,-81.05136,2013-02-06 16:02:00,5.0,M
T,PA31,ANC UUA /OV KTS /TM 0130 /FL002 /TP PA31 /TB SEV /RM FINAL RY4,SEV,201302070155-KWBC-UBAK90-PIREP,200.0,65.33,-166.46,2013-02-07 01:30:00,5.0,L
